Wavelength (nm),Sum,Li I (6.5e-03),Li II (3.2e-01),Li III (5.5e-29),C I (1.2e-01),C II (5.2e-02),C III (1.4e-08),O I (4.8e-01),O II (1.6e-02),O III (1.1e-12)
180.14,2.137e-25,,,,,,,,2.136e-25,1.271e-28
180.23,5.460e-24,,,,,,,,5.460e-24,1.761e-28
180.31,8.599e-23,,,,,,,,8.599e-23,2.075e-28
180.39,1.205e-21,,,,,,,,1.205e-21,2.169e-28
180.47,1.503e-20,,,,,,,,1.503e-20,2.014e-28
180.55,1.669e-19,,,,,,,,1.669e-19,1.660e-28
180.64,2.176e-18,,,,,,,,2.176e-18,1.158e-28
180.72,1.885e-17,,,,,,,,1.885e-17,7.412e-29
180.8,1.453e-16,,,,,,,,1.453e-16,4.212e-29
180.88,9.963e-16,,,,,,,,9.963e-16,2.125e-29
180.96,6.080e-15,,,,,,,,6.080e-15,9.516e-30
181.04,3.302e-14,,,,,,,,3.302e-14,3.784e-30
181.13,1.927e-13,,,,,,,,1.927e-13,1.163e-30
181.21,8.168e-13,,,,,,,,8.168e-13,3.591e-31
181.29,3.080e-12,,,,,,,,3.080e-12,9.844e-32
181.37,1.034e-11,,,,,,,,1.034e-11,2.396e-32
181.45,3.087e-11,,,,,,,,3.087e-11,5.177e-33
181.54,9.194e-11,,,,,,,,9.194e-11,8.012e-34
181.62,2.143e-10,,,,,,,,2.143e-10,1.344e-34
181.7,4.444e-10,,,,,,,,4.444e-10,2.003e-35
181.78,8.204e-10,,,,,,,,8.204e-10,2.649e-36
181.86,1.348e-9,,,,,,,,1.348e-9,3.110e-37
181.94,1.975e-9,,,,,,,,1.975e-9,3.242e-38
182.03,2.648e-9,,,,,,,,2.648e-9,2.210e-39
182.11,3.061e-9,,,,,,,,3.061e-9,1.789e-40
182.19,3.208e-9,,,,,,,,3.208e-9,1.286e-41
182.27,3.125e-9,,,,,,,,3.125e-9,8.203e-43
182.35,2.972e-9,,,,,,,,2.972e-9,4.647e-44
182.44,2.996e-9,,,,,,,,2.996e-9,
182.52,3.385e-9,,,,,,,,3.385e-9,
182.6,4.162e-9,,,,,,,,4.162e-9,
182.68,5.191e-9,,,,,,,,5.191e-9,
182.76,6.200e-9,,,,,,,,6.200e-9,
182.85,6.925e-9,,,,,,,,6.925e-9,3.958e-44
182.93,6.960e-9,,,,,,,,6.960e-9,6.355e-43
183.01,6.392e-9,,,,,,,,6.392e-9,9.113e-42
