Ritz wavelength (nm),Li I (6.5e-03),Li II (3.2e-01),Li III (5.5e-29),C I (1.2e-01),C II (5.2e-02),C III (1.4e-08),O I (4.8e-01),O II (1.6e-02),O III (1.1e-12)
180.382,,,,,,,,,1.262e-28
182.1551,,,,,,,,1.795e-9,
182.7284,,,,,,,,1.165e-9,
182.93555,,,,,,,,3.253e-9,
183.59076,,,,,,,,1.648e-9,
184.85,,,,,,,,,5.644e-29
185.1941,,,,,2.610e-5,,,,
188.06,,,,,,2.980e-20,,,
189.429,,,,,,1.194e-16,,,
189.7102,,,,,,,,,1.062e-27
189.744,,,,,,1.754e-20,,,
189.757,,,,,,1.595e-20,,,
189.762,,,,,,3.270e-20,,,
190.3048,,,,,,,,,7.635e-28
190.7634,,,,,,,,,4.622e-28
191.0212,,,,,1.189e-4,,,,
191.0593,,,,,2.140e-4,,,,
191.0619,,,,,2.378e-5,,,,
191.5318,,,,,2.657e-4,,,,
191.6007,,,,,1.352e-4,,,,
192.0019,,,,,,,,,8.473e-24
192.024,,,,,,,,,3.911e-28
192.2957,,,,,,4.506e-16,,,
192.3164,,,,,,3.115e-16,,,
192.3268,,,,,,3.906e-17,,,
192.3341,,,,,,2.103e-16,,,
192.3382,,,,,,3.922e-17,,,
192.373,,,,,6.509e-8,,,,
192.425,,,,,2.427e-7,,,,
192.466,,,,,1.275e-7,,,,
192.8305,,,,,5.927e-4,,,,
193.090544,,,,5.205e+3,,,,,
195.74358,,,,,,,,3.056e-9,
196.02599,,,,,,,,3.673e-9,
196.21317,,,,,,,,2.904e-9,
196.22222,,,,,,,,1.348e-8,
196.37852,,,,,,,,7.210e-9,
196.42717,,,,,,,,2.894e-9,
198.776,,,,,8.684e-5,,,,
198.8092,,,,,3.476e-5,,,,
199.5444,,,,,3.408e-7,,,,
199.5744,,,,,1.366e-7,,,,
200.9335,,,,,,6.752e-17,,,
200.9564,,,,,,2.019e-16,,,
201.0093,,,,,,3.371e-16,,,
201.65822,,,,,,,,2.448e-9,
201.7925,,,,,3.970e-5,,,,
201.8379,,,,,7.940e-5,,,,
202.03299,,,,,,,,5.683e-9,
202.14364,,,,,,,,2.293e-9,
202.70978,,,,,,,,2.468e-9,
202.76014,,,,,,,,2.303e-9,
204.228,,,,,,,,,6.385e-28
205.008,,,,,,,,,4.881e-28
205.1609,,,,,,3.966e-19,,,
205.179,,,,,4.898e-7,,,,
205.18,,,,,7.862e-7,,,,
205.181,,,,,1.194e-6,,,,
205.218,,,,,1.736e-6,,,,
205.239,,,,,1.954e-7,,,,
205.286,,,,,2.539e-7,,,,
205.334,,,,,1.982e-7,,,,
206.485,,,,,,8.378e-21,,,
206.642,,,,,,,,,1.776e-28
208.192538,,,7.290e-70,,,,,,
208.195216,,,3.810e-70,,,,,,
208.207444,,,3.803e-71,,,,,,
208.211294,,,1.906e-70,,,,,,
208.225239,,,2.398e-69,,,,,,
208.225292,,,1.311e-69,,,,,,
208.230652,,,1.457e-70,,,,,,
208.235263,,,3.425e-69,,,,,,
208.237943,,,1.713e-70,,,,,,
208.243267,,,3.886e-71,,,,,,
208.245564,,,7.604e-71,,,,,,
208.957,,,,,,4.654e-20,,,
208.978,,,,,,8.682e-20,,,
209.1135,,,,,9.440e-7,,,,
209.1187,,,,,2.386e-6,,,,
209.1645,,,,,4.518e-6,,,,
209.1701,,,,,9.502e-7,,,,
209.1851,,,,,,8.529e-18,,,
209.1974,,,,,,4.769e-17,,,
209.2012,,,,,,8.523e-18,,,
209.206,,,,,,2.557e-17,,,
209.2111,,,,,,1.135e-17,,,
209.2168,,,,,1.208e-6,,,,
209.2876,,,,,,,,1.081e-9,
209.3156,,,,,1.017e-6,,,,
210.0436,,,,,,6.568e-20,,,
210.1283,,,,,,,,1.663e-9,
211.463,,,,,1.344e-7,,,,
213.1813,,,,,,,,7.825e-9,
213.2017,,,,,,,,4.450e-9,
213.7415,,,,,3.163e-4,,,,
213.7897,,,,,5.685e-4,,,,
213.7925,,,,,6.317e-5,,,,
215.47,,,,,1.168e-7,,,,
215.539,,,,,2.340e-7,,,,
215.626,,,,,3.518e-7,,,,
216.2926,,,,,,3.244e-16,,,
216.539,,,,,,,,,1.120e-25
217.385,,,,,1.419e-3,,,,
217.4166,,,,,7.100e-4,,,,
217.6955,,,,,,3.791e-17,,,
218.217,,,,,,3.291e-20,,,
218.2569,,,,,,,,3.284e-9,
218.7479,,,,,6.659e-7,,,,
218.8378,,,,,3.319e-6,,,,
218.8707,,,,,1.334e-6,,,,
218.9606,,,,,6.670e-7,,,,
219.0469,,,,,,,,2.196e-9,
219.5482,,,,,,,,1.112e-9,
220.253,,,,,,8.111e-20,,,
222.816,,,,,,,,,1.179e-24
222.892,,,,,,,,,2.889e-28
222.974,,,,,,,,3.011e-10,
223.283,,,,,,,,2.109e-10,
223.336,,,,,,,,,8.629e-28
223.877,,,,,,,,,1.416e-27
223.923,,,,,9.910e-8,,,,
223.93,,,,,9.867e-8,,,,
224.099,,,,,1.070e-7,,,,
224.117,,,,,1.069e-7,,,,
224.212,,,,,2.502e-7,,,,
225.2738,,,,,,,,3.148e-9,
225.963,,,,,,,,1.279e-9,
226.781,,,,,2.715e-7,,,,
226.889,,,,,3.235e-7,,,,
226.938,,,,,2.530e-7,,,,
226.968,,,,,1.203e-6,,,,
227.012,,,,,2.530e-7,,,,
227.018,,,,,6.349e-7,,,,
228.3444,,,,,,,,2.857e-9,
228.377,,,,,,,,,4.745e-28
228.4833,,,,,,,,3.992e-9,
229.0846,,,,,,,,3.305e-8,
229.3297,,,,,,,,7.290e-8,
229.6871,,,,,,1.294e-7,,,
230.0333,,,,,,,,1.860e-7,
230.2806,,,,,,,,3.746e-8,
231.1525,,,,,,,,,1.068e-25
231.4689,,,,,,,,,1.078e-25
231.548,,,,,,,,,5.942e-25
231.7321,,,,,,,,,3.218e-25
231.9477,,,,,,,,,1.445e-25
232.5921,,,,,,,,1.808e-9,
232.7947,,,,,,,,2.720e-9,
232.9801,,1.252e-25,,,,,,,
232.9838,,7.514e-26,,,,,,,
236.514,,,,,,,,2.428e-9,
236.78,,3.362e-26,,,,,,,
237.2215,,,,,,,,,1.799e-25
237.2831,,,,,,,,,1.853e-25
237.5719,,,,,,,,4.312e-9,
237.8891,,,,,,,,,1.002e-24
238.2292,,,,,,,,,2.047e-24
238.3918,,,,,,,,,1.455e-24
239.0432,,,,,,,,,7.315e-23
240.176,,,,,2.063e-4,,,,
240.2301,,1.027e-25,,,,,,,
240.2323,,3.425e-26,,,,,,,
240.2324,,1.918e-25,,,,,,,
240.2362,,3.425e-26,,,,,,,
240.2403,,,,,4.117e-4,,,,
240.2437,,4.567e-26,,,,,,,
240.6376,,,,,,,,1.137e-8,
240.7477,,,,,,,,7.883e-9,
