Ritz wavelength (nm),Al I (4.9e-02),Al II (9.5e-01),Al III (7.0e-04)
181.8355,,2.610e+1,
181.8391,,3.266e+0,
181.9249,,3.275e+0,
181.9285,,1.459e+1,
181.9315,,3.148e+0,
182.0092,,3.161e+0,
182.0122,,9.440e+0,
182.8587,,2.850e+1,
183.2838,,1.726e+1,
183.4807,,5.771e+0,
183.6965,,3.088e+0,
185.4716,,,9.548e+2
185.5926,,2.673e+3,
185.8025,,7.942e+3,
185.99809,,1.687e+1,
186.2311,,1.301e+4,
186.279,,,4.842e+2
190.4327,,9.041e+0,
190.6409,,1.115e+1,
190.6596,,6.697e+0,
190.6673,,9.155e+0,
191.0825,,3.235e+1,
191.1013,,1.138e+1,
192.9977,,6.944e+0,
193.105,,8.855e+2,
193.2377,,5.631e+0,
193.4503,,2.077e+1,
193.4713,,4.196e+0,
193.584,,,3.154e-3
193.5863,,,1.574e-4
193.5949,,,2.206e-3
193.6908,,5.635e+0,
193.9262,,6.956e+0,
194.3522,,,1.652e-7
194.3567,,,1.154e-7
195.8761,,3.179e+1,
195.9036,,5.692e+0,
195.9117,,7.592e+0,
199.0533,,7.117e+3,
201.6052,,1.182e+1,
201.6234,,8.179e+0,
201.637,,5.523e+0,
202.2082,,5.769e+0,
207.3633,,,3.608e-7
207.3684,,,2.529e-7
207.4009,,5.463e+1,
209.2667,,,3.342e-6
209.4263,,2.787e+1,
209.4741,,2.419e+0,
209.4789,,1.935e+1,
209.5097,,2.421e+0,
209.5138,,1.307e+1,
211.8316,6.815e+2,,
212.33586,1.343e+3,,
212.96627,1.038e+3,,
213.47331,1.853e+3,,
213.47596,2.048e+2,,
214.55548,1.468e+3,,
215.06989,2.629e+3,,
215.0728,2.915e+2,,
216.88265,2.244e+3,,
217.40707,4.014e+3,,
217.41127,4.458e+2,,
219.2604,,4.879e+1,
219.4191,,4.227e+0,
219.4244,,3.378e+1,
219.5457,,4.233e+0,
219.5502,,2.288e+1,
220.46181,1.432e+2,,
220.46676,3.636e+3,,
221.00603,6.489e+3,,
221.01301,7.214e+2,,
221.346,,,2.406e-6
224.3047,,2.322e+0,
225.8007,1.791e+2,,
226.34644,6.576e+3,,
226.37374,3.563e+2,,
226.90963,1.094e+4,,
226.92225,1.213e+3,,
229.9362,,,1.009e-6
229.9425,,,7.071e-7
232.4198,,9.412e+0,
232.5496,,6.514e+0,
232.6493,,4.405e+0,
236.70518,9.311e+3,,
237.20695,3.563e+2,,
237.3122,1.664e+4,,
237.33497,1.848e+3,,
237.83941,7.052e+2,,
247.5256,,2.012e+1,
256.79823,3.539e+3,,
257.5094,9.947e+3,,
257.53962,1.104e+3,,
263.1546,,3.408e+2,
263.7691,,1.461e+1,
263.8254,,1.010e+1,
263.8692,,6.846e+0,
265.24758,1.526e+3,,
266.03863,3.052e+3,,
276.2772,,,4.193e-6
276.2863,,,2.948e-6
281.6185,,2.290e+3,
308.2151,2.420e+4,,
309.27084,4.508e+4,,
309.28369,4.783e+3,,
352.4869,,,9.078e-8
358.6557,,4.177e+2,
358.6931,,3.623e+1,
358.7072,,2.890e+2,
358.7325,,3.616e+1,
358.7445,,1.946e+2,
360.163,,,3.361e-3
361.2355,,,1.878e-3
365.1087,,5.234e+0,
365.5004,,9.741e+0,
370.2106,,,5.146e-5
370.3225,,8.683e+0,
371.3123,,,1.034e-4
394.4006,2.477e+4,,
396.15201,4.889e+4,,
398.0097,,,1.964e-7
398.02,,,1.372e-7
414.9913,,,3.438e-5
415.0173,,,2.402e-5
451.257,,,3.473e-4
452.894,,,6.896e-5
452.919,,,6.208e-4
458.5818,,1.515e+0,
466.3046,,2.663e+2,
490.403,,,5.320e-7
490.419,,,3.717e-7
514.494,,1.902e+0,
514.571,,2.481e+0,
515.823,,2.014e+0,
559.33,,7.714e+1,
569.66,,,2.250e-3
572.273,,,1.121e-3
585.376,,3.482e+0,
618.158,,4.488e+0,
618.233,,5.842e+0,
618.345,,7.638e+0,
620.153,,6.201e+0,
622.619,,4.709e+1,
623.162,,3.519e+1,
623.175,,1.055e+2,
624.32,,3.504e+1,
624.337,,1.952e+2,
682.339,,3.214e+1,
683.713,,5.318e+1,
690.5638,1.110e+2,,
690.6279,1.576e+2,,
692.034,,2.548e+1,
704.208,,5.285e+2,
705.671,,3.161e+2,
708.3969,1.655e+2,,
708.4643,2.365e+2,,
736.1568,2.664e+2,,
736.2296,3.812e+2,,
747.141,,7.655e+1,
763.522,,,1.995e-6
763.56,,,1.395e-6
768.197,,,2.610e-6
783.5309,4.717e+2,,
783.6134,6.730e+2,,
788.178,,,1.907e-5
790.551,,,1.060e-5
792.158,,,1.113e-7
835.432,,2.189e+1,
835.949,,1.513e+1,
836.348,,1.021e+1,
864.07,,1.375e+2,
877.2871,9.741e+2,,
877.3902,1.395e+3,,
928.663,,2.352e+1,
928.833,,3.094e+1,
929.084,,4.011e+1,
933.172,,3.347e+1,
957.153,,,5.523e-6
960.605,,,9.879e-6
