Ritz wavelength (nm),B I (2.9e-01),B II (7.1e-01),B III (9.5e-07)
181.784357,2.968e+3,,
181.834888,5.917e+3,,
182.589392,3.333e+4,,
182.63989,6.000e+4,,
182.640371,6.647e+3,,
184.28193,,1.166e+2,
184.8275,,5.362e-2,
185.7183,,1.914e-3,
189.1194,,2.224e-3,
192.6674,,1.212e-1,
192.7461,,7.292e-2,
192.782,,2.423e-2,
193.6915,,5.783e-3,
193.7048,,1.739e-2,
193.7299,,4.646e-3,
193.7321,,3.492e-3,
193.7455,,5.771e-3,
193.7566,,4.640e-3,
195.3491,,,6.239e-11
195.3826,,,1.126e-10
195.3873,,,1.245e-11
200.5868,,1.831e-2,
200.6085,,1.319e-2,
200.6238,,7.863e-3,
203.036,,9.460e-4,
203.038,,2.838e-3,
203.053,,4.722e-3,
203.9842,,3.356e-3,
206.57787,,,8.842e-1
206.6379,1.284e+3,,
206.665,2.978e+3,,
206.6728,1.143e+3,,
206.6926,3.728e+2,,
206.7003,2.363e+2,,
206.7197,1.243e+3,,
206.7202,1.119e+3,,
206.72356,,,4.430e-1
207.7028,,,2.097e-10
207.7127,,,2.997e-10
207.7154,,,1.498e-11
208.88886,1.667e+4,,
208.955615,3.307e+3,,
208.956995,3.000e+4,,
212.3856,,3.738e-2,
212.4545,,2.016e-2,
212.4705,,6.775e-3,
212.496,,8.944e-3,
212.4987,,6.706e-3,
222.0295,,4.498e-2,
223.4591,,,3.957e-11
226.464,,1.092e-2,
232.303,,6.744e-3,
232.8651,,7.264e-2,
239.3212,,3.375e-2,
239.5044,,2.589e+0,
242.5256,,1.298e-2,
245.9657,,9.001e-3,
245.9694,,2.696e-2,
245.9909,,4.450e-2,
249.676894,5.113e+4,,
249.772263,1.023e+5,,
251.9263,,1.302e-2,
266.9498,,7.001e-3,
270.8698,,2.865e-3,
270.8742,,8.583e-3,
270.9003,,1.434e-2,
279.693,,2.124e-3,
280.479,,,1.953e-13
291.8078,,9.978e-2,
303.2258,,6.614e-3,
303.2262,,5.377e-2,
317.933,,6.121e-2,
330.242,,1.780e-2,
332.3138,,5.317e-2,
332.3206,,1.596e-1,
332.3598,,2.635e-1,
345.130358,,5.470e+2,
369.177,,3.853e-3,
378.849,,1.380e-3,
412.1928,,1.239e+0,
419.4792,,7.968e-2,
424.359,,,1.422e-12
447.2029,,3.933e-2,
447.2151,,1.182e-1,
447.2862,,1.966e-1,
478.4203,,6.650e-2,
494.0365,,3.291e-1,
608.0394,,4.144e-1,
614.891,,1.583e-2,
628.551,,4.261e-2,
657.112,,8.927e-4,
671.765,,4.377e-3,
703.0272,,2.297e+0,
703.2027,,1.382e+0,
703.2329,,4.596e-1,
715.955,,1.143e-3,
716.016,,9.234e-4,
716.511,,6.926e-4,
716.846,,9.049e-4,
717.045,,3.420e-3,
717.602,,1.137e-3,
722.85,,4.495e-3,
763.862,,1.592e-2,
821.1786,6.942e+2,,
912.1,,3.550e-3,
922.643,,6.653e-2,
944.636,,3.197e-1,
