Ritz wavelength (nm),Be I (1.3e-01),Be II (8.7e-01),Be III (3.1e-04)
191.85,,,5.329e-59
192.965,2.072e+2,,
192.967,3.858e+2,,
194.3616,3.111e+2,,
194.3707,5.804e+2,,
195.5,,,7.837e-58
196.4532,2.219e+2,,
196.4556,4.991e+2,,
196.465,9.338e+2,,
199.7955,3.933e+2,,
199.7979,1.185e+3,,
199.8072,1.956e+3,,
205.5878,8.232e+2,,
205.5904,2.471e+3,,
205.6003,6.198e+2,,
205.6004,3.479e+3,,
207.7,,,2.218e-57
208.04,,,7.390e-58
212.22,,,2.717e-58
212.568,4.443e+2,,
212.72,,,1.236e-58
213.65,,,2.004e-59
217.4966,2.265e+3,,
217.4994,5.106e+3,,
217.4995,1.698e+3,,
217.5103,9.515e+3,,
217.5105,1.699e+3,,
219.16,,,2.677e-59
229.691,,9.272e-1,
234.860414,6.445e+5,,
235.0697,1.084e+3,,
235.0826,1.807e+3,,
238.198,,1.160e+0,
240.1,,,5.978e-61
241.3449,,1.823e+0,
249.4542,1.115e+4,,
249.458,2.501e+4,,
249.4581,8.379e+3,,
249.4726,5.506e+4,,
250.7413,,1.674e+0,
250.7446,,2.393e+0,
261.7994,,2.443e+0,
261.8126,,4.397e+0,
265.0461,2.466e+4,,
265.0558,1.969e+4,,
265.0601,1.480e+4,,
265.0625,7.375e+4,,
265.0699,1.969e+4,,
265.0765,2.457e+4,,
272.885,,4.448e+0,
272.8887,,6.373e+0,
290.9,,,2.729e-60
291.3,,,9.816e-61
304.6522,,8.343e+0,
304.669,,1.507e+1,
313.04219,,3.547e+6,
313.10667,,1.774e+6,
319.3812,2.040e+2,,
319.7103,,1.832e+1,
319.715,,2.619e+1,
322.9619,3.001e+2,,
328.29,4.729e+2,,
332.1013,6.101e+3,,
332.1081,1.830e+4,,
332.1338,3.054e+4,,
336.765,8.045e+2,,
351.5545,1.569e+3,,
372.08,,,5.863e-49
372.29,,,3.524e-49
381.3453,3.673e+3,,
388,,,2.198e-60
418.5,,,7.959e-61
424.9,,,9.955e-60
436.0665,,5.558e+1,
436.0986,,9.996e+1,
436.1032,,1.113e+1,
448.5,,,1.736e-60
448.7,,,2.443e-59
449.4,,,6.826e-60
449.6,,,1.976e-60
455,,,3.665e-60
457.266603,9.860e+3,,
465.5,,,1.245e-60
467.3332,,1.892e+2,
467.342,,2.694e+2,
467.3448,,1.344e+1,
515.6,,,3.514e-61
527.0806,,3.228e+1,
627.9737,,1.853e+0,
656.4519,2.439e+2,,
720.9132,4.716e+2,,
825,,,1.433e-60
825.4075,2.930e+3,,
832,,,4.449e-61
854.7663,2.645e+2,,
880.1367,1.083e+3,,
947.7035,,5.840e+0,
