Ritz wavelength (nm),Bi I (6.3e-02),Bi II (9.3e-01),Bi III (3.2e-03)
183.4283,,,2.614e-3
185.2732,,,2.941e-4
186.3753,,,5.512e-4
188.0215,,,3.848e-5
188.2532,,,8.266e-5
188.3654,,,2.957e-5
190.23422,,7.861e+4,
191.2057,,,5.536e-4
195.47096,6.165e+3,,
196.00506,1.099e+3,,
198.8257,,,1.911e-4
202.09581,,,1.375e+0
202.11469,5.012e+2,,
206.16272,1.409e+4,,
206.5767,,,1.230e-4
206.8911,,,2.614e-3
206.9869,,,9.838e-5
207.3197,,,4.853e-2
210.331,,,6.716e-4
211.02172,5.068e+3,,
211.9568,,,8.091e-5
218.4149,,,8.636e-4
221.3654,,,2.730e-4
222.82124,1.347e+4,,
223.06108,5.404e+4,,
227.65592,4.065e+3,,
240.0881,2.930e+3,,
241.46905,,,1.373e-1
243.7476,,,1.638e-5
243.7684,,,6.146e-4
244.3427,,,4.641e-4
252.449,6.137e+2,,
262.78988,3.947e+3,,
269.67385,9.080e+2,,
273.04941,5.864e+2,,
278.04773,1.732e+3,,
280.96146,9.562e+2,,
284.7435,,,8.824e-3
285.55597,,,1.721e-1
286.3787,3.837e+2,,
289.79666,1.028e+4,,
293.82936,1.039e+4,,
298.9019,8.264e+3,,
299.3336,3.349e+3,,
302.46211,1.262e+4,,
303.9321,,,4.278e-2
306.77019,5.855e+4,,
310.448,,,4.884e-5
311.501,,,2.347e-2
339.71983,2.739e+3,,
340.52291,4.567e+2,,
345.0994,,,3.922e-2
347.342,,,1.990e-4
347.374,,,7.000e-3
348.552,,,5.349e-3
351.0864,1.119e+3,,
351.314,,,3.094e-5
351.987,,,2.414e-5
354.075,,,7.994e-3
359.60967,1.671e+3,,
361.341,,,2.364e-2
369.553,,,3.688e-1
370.841,,,2.712e-3
384.893,,,1.770e-2
412.17037,1.102e+3,,
422.469,,,9.296e-5
423.421,,,7.105e-5
432.792,,,8.415e-3
456.143,,,1.813e-1
472.2527,3.296e+3,,
475.128,,,1.191e-2
479.742,,,8.365e-2
505.178,,,7.383e-5
505.244,,,6.153e-5
507.928,,,1.106e-1
614.039,,,2.902e-4
616.071,,,2.266e-4
662.323,,,5.110e-4
755.25,,,5.556e-4
759.964,,,1.531e-3
763.743,,,1.583e-4
800.84,,,5.162e-4
806.946,,,1.974e-3
810.149,,,1.576e-3
866.96,,,1.043e-3
893.192,,,1.218e-3
