Ritz wavelength (nm),Br I (5.7e-01)
436.515,9.509e+0
444.173,1.531e+1
447.26,1.908e+1
447.772,4.385e+1
449.041,5.490e+0
452.559,2.419e+1
635.073,5.196e+1
663.16,2.694e+1
700.522,1.016e+2
734.853,1.809e+2
793.868,2.459e+2
797.849,1.423e+2
798.993,6.866e+1
813.151,1.181e+2
827.241,2.602e+3
833.469,3.519e+2
834.366,3.928e+2
844.656,8.944e+2
847.744,5.781e+2
856.628,3.716e+1
863.867,8.713e+2
869.851,6.032e+2
881.994,5.225e+2
882.524,1.154e+3
889.762,1.858e+3
893.24,4.197e+1
894.937,4.399e+1
896.398,4.133e+2
916.607,5.555e+2
917.363,3.144e+2
917.818,3.791e+2
926.542,1.309e+3
932.086,4.651e+2
