Ritz wavelength (nm),C I (6.9e-01),C II (3.1e-01),C III (8.0e-08)
185.1941,,1.535e-4,
188.06,,,1.753e-19
189.429,,,7.021e-16
189.744,,,1.032e-19
189.757,,,9.385e-20
189.762,,,1.924e-19
191.0212,,6.993e-4,
191.0593,,1.259e-3,
191.0619,,1.399e-4,
191.5318,,1.563e-3,
191.6007,,7.952e-4,
192.2957,,,2.651e-15
192.3164,,,1.833e-15
192.3268,,,2.298e-16
192.3341,,,1.237e-15
192.3382,,,2.307e-16
192.373,,3.829e-7,
192.425,,1.427e-6,
192.466,,7.498e-7,
192.8305,,3.487e-3,
193.090544,3.062e+4,,
198.776,,5.108e-4,
198.8092,,2.045e-4,
199.5444,,2.005e-6,
199.5744,,8.035e-7,
200.9335,,,3.972e-16
200.9564,,,1.188e-15
201.0093,,,1.983e-15
201.7925,,2.335e-4,
201.8379,,4.671e-4,
205.1609,,,2.333e-18
205.179,,2.881e-6,
205.18,,4.625e-6,
205.181,,7.021e-6,
205.218,,1.021e-5,
205.239,,1.149e-6,
205.286,,1.494e-6,
205.334,,1.166e-6,
206.485,,,4.928e-20
208.957,,,2.738e-19
208.978,,,5.107e-19
209.1135,,5.553e-6,
209.1187,,1.404e-5,
209.1645,,2.658e-5,
209.1701,,5.590e-6,
209.1851,,,5.017e-17
209.1974,,,2.805e-16
209.2012,,,5.014e-17
209.206,,,1.504e-16
209.2111,,,6.675e-17
209.2168,,7.108e-6,
209.3156,,5.981e-6,
210.0436,,,3.864e-19
211.463,,7.906e-7,
213.7415,,1.861e-3,
213.7897,,3.344e-3,
213.7925,,3.716e-4,
215.47,,6.869e-7,
215.539,,1.376e-6,
215.626,,2.069e-6,
216.2926,,,1.908e-15
217.385,,8.346e-3,
217.4166,,4.176e-3,
217.6955,,,2.230e-16
218.217,,,1.936e-19
218.7479,,3.917e-6,
218.8378,,1.953e-5,
218.8707,,7.847e-6,
218.9606,,3.923e-6,
220.253,,,4.771e-19
223.923,,5.829e-7,
223.93,,5.804e-7,
224.099,,6.297e-7,
224.117,,6.286e-7,
224.212,,1.472e-6,
226.781,,1.597e-6,
226.889,,1.903e-6,
226.938,,1.488e-6,
226.968,,7.074e-6,
227.012,,1.488e-6,
227.018,,3.735e-6,
229.6871,,,7.614e-7
240.176,,1.213e-3,
240.2403,,2.422e-3,
247.85614,2.529e+3,,
250.9126,,7.588e-2,
251.1735,,1.494e-2,
251.2058,,1.357e-1,
253.898,,1.832e-6,
254.042,,4.257e-6,
254.089,,1.704e-6,
254.339,,1.832e-6,
254.349,,1.702e-6,
254.68,,4.413e-7,
259.1398,,5.499e-6,
259.184,,9.891e-6,
260.3161,,3.259e-6,
260.4876,,6.500e-6,
262.021,,1.075e-4,
264.0532,,1.504e-5,
264.0585,,2.412e-5,
264.0892,,3.667e-5,
264.1398,,5.320e-5,
264.14,,,2.220e-20
264.1534,,6.015e-6,
264.2331,,7.812e-6,
264.3432,,6.075e-6,
267.0238,,,1.106e-18
267.1318,,,1.639e-18
267.2953,,,2.365e-18
269.7416,,,5.677e-19
269.7765,,,9.443e-19
272.7306,,3.842e-6,
272.7555,,,2.410e-17
272.8717,,1.918e-5,
272.9214,,7.702e-6,
273.0627,,3.836e-6,
274.6488,,7.868e-3,
274.7276,,1.416e-2,
274.733,,1.572e-3,
276.5122,,2.799e-6,
276.6111,,5.606e-6,
276.7677,,8.431e-6,
279.4569,,,7.012e-19
279.646,,,1.037e-18
279.9479,,,1.496e-18
280.8068,,,3.746e-19
283.6707,,5.423e-1,
283.7605,,2.707e-1,
286.3712,,,2.679e-18
290.572,,2.803e-6,
290.6009,,2.786e-6,
290.8831,,3.018e-6,
290.899,,3.013e-6,
291.0723,,7.012e-6,
296.6184,,7.573e-6,
296.6655,,7.564e-6,
296.687,,1.901e-5,
296.7623,,9.659e-6,
296.786,,3.615e-5,
296.8837,,8.136e-6,
308.2355,,1.977e-6,
308.304,,2.257e-6,
312.2116,,3.504e-6,
312.4149,,5.410e-6,
316.5462,,6.907e-4,
316.7935,,3.832e-4,
336.1051,,7.566e-4,
336.1721,,4.195e-4,
349.824,,,2.441e-21
350.6783,,,3.383e-17
358.4971,,2.776e-5,
358.7652,,3.310e-5,
358.8905,,2.594e-5,
358.9651,,1.232e-4,
359.0758,,2.588e-5,
359.0876,,6.504e-5,
360.8778,,,3.227e-18
360.9052,,,7.264e-18
360.9071,,,2.422e-18
360.962,,,1.354e-17
360.9676,,,2.418e-18
370.3695,,,3.005e-18
380.612,,,7.595e-20
383.1726,,4.352e-4,
383.5716,,2.414e-4,
388.3816,,,7.693e-18
388.5938,,,1.136e-17
388.6145,,,1.423e-18
388.9137,,,1.634e-17
388.9463,,,1.418e-18
391.8968,,2.214e-2,
392.0681,,4.421e-2,
400.9882,,1.524e-5,
401.7272,,1.016e-5,
405.6061,,,9.744e-18
406.794,,,3.649e-17
406.8916,,,5.102e-17
407.026,,,6.227e-17
407.0306,,,3.185e-18
412.1845,,,7.290e-18
415.2514,,,4.807e-18
415.6504,,,7.100e-18
416.2877,,,1.021e-17
418.69,,,5.437e-17
426.7001,,5.429e-2,
426.7261,,8.113e-2,
431.3106,,3.991e-5,
