Ritz wavelength (nm),Ca I (1.7e-02),Ca II (8.9e-01),Ca III (9.1e-02)
180.7337,,1.646e+3,
180.7882,,,4.407e-8
181.2157,,,3.506e-8
181.3588,,,6.846e-9
181.4495,,2.912e+3,
181.4647,,2.797e+2,
183.0059,,,1.539e-8
183.8008,,6.859e+4,
184.0061,,1.023e+5,
184.3088,,3.538e+2,
184.5779,,,3.818e-11
185.0691,,7.030e+2,
187.0267,,,5.062e-8
187.237,,,5.928e-8
190.7383,,,2.730e-11
191.0101,,,1.502e-8
193.56812,,,3.841e-11
193.969,,,9.533e-9
194.3017,,,8.365e-10
194.826,,,2.253e-8
195.30643,,,1.323e-10
195.3549,,,1.281e-8
196.46184,,,4.124e-10
196.79283,,,6.996e-10
197.2821,,,2.093e-8
197.70172,,,7.326e-11
197.85521,,,7.040e-11
198.1195,,,2.703e-10
198.95093,,,2.352e-11
199.966,,,7.944e-9
200.08954,,,1.446e-10
200.2986,,,4.096e-11
201.86956,,,1.372e-10
202.60553,,,1.297e-10
202.65914,,,1.411e-11
203.3358,,,2.637e-10
204.154,,,1.377e-8
204.57991,,,1.700e-10
204.68184,,,8.063e-11
204.71906,,,3.488e-11
206.2156,,,3.208e-11
207.48422,,,6.035e-11
207.891,,,3.955e-10
209.8495,,,3.038e-10
210.3235,,8.618e+3,
210.7129,,,2.502e-11
211.2757,,1.528e+4,
211.3146,,1.682e+3,
211.4407,,,1.667e-9
212.3019,,,2.672e-9
212.9188,,,7.092e-10
213.39506,,,8.318e-10
214.0354,,,1.089e-9
214.3745,,,3.244e-11
215.0795,9.304e+1,,
215.243,,,1.257e-9
216.3413,,,9.653e-11
217.13137,,,4.727e-11
217.15628,,,5.544e-10
217.8586,,,2.822e-10
218.2017,,,7.475e-11
219.12063,,,3.776e-11
219.7787,,2.099e+3,
220.0727,2.660e+2,,
220.2408,,,6.486e-11
220.43139,,,8.348e-11
220.8611,,4.198e+3,
221.9851,,,3.414e-11
227.5466,6.296e+2,,
227.6513,,,3.739e-10
228.1471,,,2.069e-13
229.8335,,,2.803e-14
231.08,,,9.995e-11
231.2074,,,1.026e-8
232.1239,,,6.887e-14
232.3329,,,5.732e-14
233.5126,,,2.860e-14
233.8654,,,3.819e-14
234.1544,,,2.662e-14
234.3796,,,2.183e-14
235.1363,,,4.234e-11
235.5344,,,4.034e-14
235.6632,,,5.120e-14
239.3172,,,2.185e-10
239.8559,4.619e+2,,
243.1091,,,5.442e-11
244.255,,,5.886e-11
247.0287,,,3.528e-11
247.2533,,,4.775e-11
