Ritz wavelength (nm),Ce I (5.5e-03),Ce II (8.4e-01)
342.27048,,5.737e+3
342.62049,,4.237e+3
348.5053,,6.133e+3
350.79409,,2.117e+3
352.05202,,2.372e+3
353.40448,,9.957e+3
353.90789,,8.988e+3
355.2724,,3.133e+3
355.50012,,4.955e+3
356.08019,,2.301e+4
357.74556,,2.024e+4
364.69621,,4.294e+3
365.31042,,5.481e+3
365.36641,,9.647e+3
365.49341,,2.618e+3
365.58444,,1.584e+4
365.92251,,4.311e+3
365.99705,,3.758e+3
366.06381,,6.823e+3
366.7978,,1.161e+4
369.49082,,2.244e+3
370.49758,,1.833e+3
370.92873,,1.244e+4
370.9929,,1.185e+4
371.6366,,1.270e+4
371.97913,,3.590e+3
372.56728,,5.914e+3
372.80185,,8.912e+3
372.84173,,1.815e+4
374.80547,,5.470e+3
376.41152,,9.602e+3
377.16,,4.205e+3
377.6606,,2.768e+3
378.1616,,8.184e+3
378.66324,,9.187e+3
378.87463,,7.879e+3
379.23239,,5.010e+3
380.15258,,4.381e+4
380.30963,,9.630e+3
380.81134,,1.373e+4
380.92177,,8.590e+3
381.57931,,5.972e+3
381.90221,,5.260e+3
382.39003,,6.169e+3
383.455,,6.147e+3
383.61066,,3.830e+3
383.85377,,1.355e+4
384.37673,,4.412e+3
384.81002,,4.432e+3
384.85919,,1.308e+4
385.31557,,8.073e+3
385.41854,,1.183e+4
385.43195,,1.453e+4
385.52984,,8.026e+3
385.70246,,7.085e+3
385.76414,,4.480e+3
386.81335,,2.558e+3
387.83668,,9.847e+3
388.24448,,1.233e+4
388.99819,,1.773e+4
389.07445,,3.357e+3
389.09783,,3.130e+3
389.6802,,8.064e+3
389.82633,,7.493e+3
390.33328,,2.758e+3
390.43367,,4.069e+3
390.8404,,1.303e+4
390.85363,,5.468e+3
390.93105,,3.868e+3
391.21879,,4.180e+3
391.24198,,1.113e+4
391.61398,,3.406e+3
391.7639,,3.848e+3
391.98026,,9.478e+3
392.31071,,9.257e+3
393.10834,,7.534e+3
393.13663,,5.637e+3
394.03297,,1.050e+4
394.09697,,4.768e+3
394.21506,,1.603e+4
394.27455,,5.560e+4
394.38838,,1.856e+4
394.79661,,3.177e+3
395.25321,,1.509e+4
395.36522,,3.752e+3
395.62778,,1.901e+4
396.09089,,8.375e+3
396.44958,,4.309e+3
396.70423,,8.649e+3
397.16807,,6.343e+3
397.86462,,8.962e+3
398.089,,8.107e+3
398.29014,,6.107e+3
398.32883,,4.081e+3
398.46715,,1.026e+4
399.23801,,1.031e+4
399.38188,,2.105e+4
399.92368,,2.294e+4
400.15631,,3.749e+3
400.37675,,2.090e+4
400.56334,,4.521e+3
401.23859,,3.006e+4
401.48971,,1.002e+4
402.44846,,9.221e+3
402.51391,,2.955e+3
402.84036,,1.072e+4
403.13316,,1.141e+4
403.76621,,4.572e+3
404.07528,,2.830e+4
404.25806,,1.679e+4
404.63379,,1.102e+4
405.14237,,2.719e+3
405.19903,,2.301e+3
405.35031,,6.760e+3
406.29367,,3.322e+3
406.88361,,9.236e+3
407.1775,,1.246e+4
407.29185,,4.548e+3
407.34744,,2.783e+4
407.56997,,2.326e+4
407.58467,,2.181e+4
408.04383,,3.881e+3
408.32218,,2.552e+4
408.5236,,9.912e+3
408.73624,,3.064e+3
408.88519,,4.784e+3
410.17691,,1.299e+4
410.74232,,1.239e+4
411.13927,,6.010e+3
411.72879,,4.703e+3
411.81434,,1.866e+4
411.90084,,4.801e+3
411.9883,,7.663e+3
411.99529,,9.396e+2
412.08274,,8.566e+3
412.32198,,4.373e+3
412.38695,,2.877e+4
412.47871,,1.109e+4
412.73644,,2.847e+4
412.77477,,7.316e+3
412.80615,,4.319e+3
413.07051,,1.017e+4
413.54236,,5.222e+3
413.7466,,4.827e+3
413.76453,,4.223e+4
414.23967,,2.344e+4
414.4492,,8.025e+3
414.4996,,1.770e+4
414.62322,,1.220e+4
