Ritz wavelength (nm),Cl I (8.1e-01),Cl II (1.9e-01),Cl III (2.8e-07)
180.8415,,,1.040e-10
181.7624,,,1.415e-10
182.242,,,9.304e-10
182.4511,,,1.151e-10
182.8344,,,6.635e-10
183.2041,,,4.667e-10
183.3157,,,2.891e-10
189.7729,,,9.404e-11
190.1527,,,4.075e-10
191.2864,,,2.201e-10
191.4023,,,1.166e-10
191.7796,,,9.250e-11
192.0244,,,9.250e-11
225.291,,,1.101e-12
225.562,,,2.243e-13
226.885,,,1.452e-12
227.829,,,1.254e-12
228.393,,,4.873e-12
229.137,,,2.903e-12
229.1744,,,4.489e-13
229.179,,,1.254e-12
229.8538,,,3.756e-12
234.057,,,5.545e-12
234.766,,,4.204e-13
235.965,,,7.426e-13
235.993,,,5.201e-14
237.033,,,1.040e-12
237.948,,,1.119e-12
240.333,,,2.527e-12
241.641,,,1.161e-12
242.243,,,3.695e-13
242.7775,,1.764e-3,
243.014,,4.741e-3,
243.017,,2.963e-3,
243.4071,,9.142e-3,
243.4119,,2.370e-3,
243.587,,,5.198e-14
243.617,,,7.430e-13
243.961,,,4.703e-13
243.991,,,5.201e-14
244.244,,,2.439e-13
244.715,,,1.240e-12
244.859,,,1.254e-12
246.839,,,9.747e-13
246.918,,,9.869e-13
247.0778,,,4.353e-13
247.731,,,1.348e-12
248.173,,,1.039e-12
248.425,,,1.547e-12
248.505,,,9.657e-13
248.686,,,1.227e-12
249.6002,,1.055e-3,
249.8534,,1.785e-3,
250.2741,,2.515e-3,
250.418,,,3.134e-12
251.127,,,1.335e-12
251.943,,,5.994e-12
253.174,,,3.935e-12
253.245,,,6.997e-12
253.381,,,9.105e-13
254.075,,,7.870e-13
254.257,,,1.034e-12
254.3997,,1.196e-3,
254.4857,,1.559e-3,
254.6957,,3.524e-3,
254.7771,,1.154e-3,
254.9881,,6.490e-3,
256.245,,,4.878e-13
257.7089,,,1.033e-11
258.072,,,1.354e-11
260.109,,,1.259e-11
260.346,,,1.997e-11
260.941,,,2.908e-11
261.69,,,3.960e-11
261.871,,,4.928e-12
262.471,,,1.851e-13
263.267,,,2.565e-13
263.315,,,6.391e-12
263.899,,,6.968e-13
265.113,,,4.694e-12
266.154,,,1.066e-11
266.224,,,4.238e-12
266.317,,,4.245e-12
266.55,,,1.918e-11
266.6454,,9.520e-4,
266.7346,,1.541e-3,
266.955,,,5.509e-12
267.048,,,8.490e-13
268.239,,,3.028e-12
269.1053,,,6.147e-12
269.142,,,4.388e-12
269.961,,,4.874e-13
271.0001,,,9.521e-12
290.6217,,1.045e-3,
296.551,,,6.397e-11
297.062,,,7.107e-12
299.176,,,3.660e-11
302.2913,,1.432e-3,
310.4421,,,7.733e-11
313.9297,,,1.511e-10
317.5315,,1.984e-4,
318.125,,2.052e-4,
318.1633,,6.156e-4,
318.742,,2.757e-4,
318.8999,,4.960e-4,
319.1283,,,2.109e-10
323.1774,,2.865e-4,
324.438,,,4.819e-11
