Ritz wavelength (nm),Co I (5.3e-02),Co II (9.5e-01),Co III (1.2e-03)
180.0939,,,7.005e-5
180.0974,,,2.389e-4
180.10306,,,6.259e-4
180.29123,,,6.051e-4
180.495429,,1.793e+3,
180.553259,,,1.434e-2
180.60858,,,1.170e-3
180.83756,,,7.478e-3
180.892175,,1.008e+2,
180.92288,,,7.751e-4
181.04549,,,1.988e-3
181.13084,,,3.687e-3
181.13164,,8.116e+1,
181.146165,,,1.320e-2
181.16952,,,3.739e-4
181.218668,,6.616e+1,
181.234337,,,8.743e-4
181.24723,,,6.090e-4
181.25445,,,2.443e-3
181.30369,,,2.973e-3
181.3144,,2.550e+1,
181.31822,,,9.638e-3
181.40759,,,1.320e-3
181.422,,,5.608e-3
181.4571,,,7.345e-5
181.46771,,,4.176e-3
181.48593,,,1.810e-3
181.50505,,,1.167e-3
181.55903,,,6.506e-3
181.56799,,,4.844e-3
181.60753,,,1.950e-4
181.62403,,,1.383e-3
181.66127,,,1.649e-3
181.75036,,,1.151e-3
181.75451,,,5.952e-4
181.76206,,,3.842e-3
181.7731,,,8.227e-5
181.856749,,1.220e+2,
181.86805,,,8.466e-3
181.90083,,,4.061e-4
181.925253,,,2.131e-3
181.93274,,,7.510e-3
181.96941,,,4.134e-5
181.97263,,,1.167e-3
182.00538,,,3.165e-3
182.12586,,,3.976e-3
182.168272,,,7.775e-3
182.17616,,,5.296e-3
182.176935,,1.524e+2,
182.20392,,,3.101e-3
182.2213,,,1.264e-3
182.30596,,,1.972e-2
182.30829,,,1.804e-2
182.34051,,,9.037e-4
182.36177,,,4.138e-3
182.4866,,,5.189e-3
182.53607,,,7.322e-3
182.5459,,,5.735e-3
182.54704,,,1.366e-3
182.594234,,,1.380e-2
182.611649,,3.154e+1,
182.70808,,,1.124e-2
182.96689,,,4.389e-3
182.96817,,,5.717e-4
183.009055,,,1.219e-1
183.05789,,,1.264e-2
183.07788,,,2.229e-3
183.08595,,,5.826e-4
183.14333,,,2.711e-2
183.14868,,,1.073e-3
183.190948,,,5.946e-2
183.21957,,,9.594e-3
183.38667,,,1.738e-4
183.48302,,,4.862e-3
183.499538,,,6.183e-2
183.52498,,,2.316e-2
183.56108,,,6.592e-3
183.56772,,,8.100e-4
183.595078,,8.165e+1,
183.61959,,,7.229e-3
183.6205,,,1.970e-3
183.762807,,,2.387e-2
183.78395,,,3.601e-3
183.927618,,2.195e+2,
183.937239,,2.574e+3,
183.95217,,,1.701e-3
183.96229,,,1.009e-3
184.02268,,4.757e+2,
184.15756,,,5.713e-5
184.19121,,,9.694e-4
184.3317,,,1.420e-3
184.34422,,,2.393e-2
184.35339,,,7.273e-3
184.39547,,,4.305e-4
184.46519,,,6.947e-4
184.47209,,,2.271e-3
184.50646,,,3.390e-3
184.51134,,1.089e+2,
184.5624,,,3.203e-5
184.592731,,3.760e+3,
184.60351,,,4.039e-4
184.61475,,,3.214e-2
184.61947,,,5.574e-4
184.650833,,,7.009e-3
184.72956,,,2.512e-3
184.7821,,,5.148e-3
184.80238,,,6.315e-4
184.92893,,,2.519e-3
184.94701,,,2.282e-2
184.99283,,,3.599e-3
185.04975,,,1.211e-2
185.07704,,,6.087e-4
185.15005,,,3.358e-4
185.193334,,,3.112e-2
185.26337,,,2.283e-3
185.291419,,,1.994e-2
185.32707,,,1.022e-3
185.33413,,,6.647e-5
185.37326,,1.220e+2,
185.38342,,,1.110e-3
185.41958,,,3.397e-3
185.43868,,,5.145e-3
185.44377,,,5.303e-3
185.475785,,,9.398e-3
185.53226,,,8.876e-4
185.59504,,,2.788e-3
185.76485,,,2.605e-4
185.84821,,,2.458e-3
185.95034,,,3.426e-3
186.021981,,4.213e+2,
186.08489,,,4.784e-5
186.14346,,9.062e+1,
186.17698,,,2.475e-2
186.229033,,6.774e+2,
186.236889,,3.642e+2,
186.26561,,,4.995e-3
186.31206,,,2.119e-3
186.34645,,,4.396e-3
186.36048,,,1.238e-3
186.38201,,,2.955e-2
186.387318,,5.532e+2,
186.38992,,,7.850e-3
186.418572,,,1.118e-2
186.45171,,,1.397e-4
186.540798,,,5.278e-3
186.54561,,,6.777e-3
186.64855,,,3.890e-3
186.66126,,,7.046e-3
186.701683,,6.310e+2,
186.748324,,,6.754e-3
186.79245,,,4.039e-4
186.87837,,,3.551e-4
186.9347,,,2.019e-5
186.94357,,,2.603e-4
187.0017,,,5.955e-4
187.06275,,,3.080e-3
187.186721,,,2.527e-2
187.194587,,,1.604e-2
187.1997,,,1.785e-3
187.2503,,,6.013e-4
187.25313,,,1.480e-3
187.257333,,,2.288e-2
187.4349,,,7.133e-3
187.44245,,,8.003e-4
187.482006,,,1.538e-2
187.5091,,,1.253e-3
187.50912,,,6.705e-3
187.74584,,,2.326e-3
187.75442,,,3.965e-3
187.91561,,,1.755e-3
187.923859,,,1.875e-2
187.93783,,,3.617e-3
187.97478,,,1.884e-3
188.03142,,,1.389e-3
188.0445,,,7.894e-4
188.08825,,,1.092e-3
188.09197,,,2.452e-3
188.1076,,,2.504e-3
188.142422,,,1.404e-2
188.1667,,,7.376e-3
188.16908,,,1.206e-2
188.17117,,,3.308e-2
188.186849,,,1.689e-2
188.23179,,,7.710e-3
188.3283,,,1.050e-2
188.3552,,,1.274e-5
188.45184,,,5.680e-4
188.64617,,,2.246e-3
188.67419,,,1.801e-2
188.83435,,,3.672e-3
188.84432,,,7.251e-4
188.90811,,,1.362e-3
188.931901,,,6.543e-3
189.06342,,,1.741e-3
189.20054,,,3.516e-3
189.39077,,,8.004e-4
189.52593,,,5.843e-4
189.536314,,,1.267e-2
189.548454,,6.756e+2,
189.60259,,,1.126e-3
189.97937,,,1.054e-3
190.0751,,,1.535e-3
190.08058,,,3.297e-4
190.13568,,,4.390e-3
190.535209,,,6.207e-3
190.56774,,,2.168e-3
190.6262,,,1.693e-3
190.74513,,,5.059e-4
190.9445,,,7.330e-5
190.9663,,,9.905e-4
191.01467,,,4.140e-4
191.083965,,,7.115e-3
191.11677,,,8.491e-4
191.24584,,,4.644e-4
191.29517,,,1.596e-3
191.6103,,,2.072e-4
191.73111,,,1.994e-3
191.763096,,5.948e+2,
191.91188,,,2.846e-1
192.4533,,,7.791e-4
192.52578,,,1.151e-3
192.71956,,,4.899e-4
192.773708,,,1.270e-2
192.847945,,,8.540e-3
192.85709,,,9.858e-1
192.87999,,,1.129e-2
192.975994,,,3.257e-1
193.04785,,,2.016e-2
193.27507,,,9.580e-5
193.32441,,,4.855e-3
193.42693,,,2.694e-4
193.47315,,,5.207e-3
193.502335,,,3.423e-2
193.63827,,,3.312e-3
193.67773,,,2.065e-3
193.693709,,,2.676e-1
193.707636,,4.209e+2,
193.765934,,,2.869e-2
194.014994,,,3.895e-1
194.06673,,,2.072e-4
194.128513,,1.496e+4,
194.14607,,,7.270e-3
194.1728,,,7.046e-4
194.17331,,,8.057e-3
194.23695,,,1.557e-1
194.24961,,,1.219e-2
194.279676,,,9.146e-3
194.523672,,,1.086e-1
194.679385,,,8.606e-2
194.86563,,,3.807e-2
194.89983,,,5.911e-4
194.95337,,,3.749e-3
194.98109,,,1.218e-1
195.010078,,9.398e+3,
195.0631,,,7.018e-5
195.091627,,,1.452e-1
195.09801,,,7.114e-3
195.215876,,,4.674e-2
195.39431,,,1.197e-1
195.479922,,,2.312e-1
195.488313,,,1.105e-2
195.55069,,,3.726e-3
195.579451,,,1.753e-1
195.601394,,,1.737e-1
195.74284,,6.914e+3,
195.85872,,,1.267e-3
195.941779,,,3.447e-1
196.14473,,,3.243e-3
196.374352,,,5.062e-2
196.47585,,,6.204e-4
196.66766,,,6.210e-4
196.9301,,,1.478e-3
197.005668,,,2.462e-1
197.18885,,,3.206e-2
197.36674,,,7.273e-4
197.37565,,,1.635e-3
197.48844,,,2.371e-2
197.703238,,,1.188e-1
197.7459,,,6.830e-5
197.894928,,,6.011e-3
198.011372,,,5.315e-2
198.13494,,,2.959e-2
198.20386,,,2.511e-4
198.23453,,,1.815e-4
198.43207,,,1.047e-3
198.484673,,1.520e+3,
198.6684,,,7.419e-5
198.71942,,,2.582e-3
198.79403,,,2.334e-4
198.95981,,,2.266e-2
198.96539,,,2.405e-2
199.0819,,,1.371e-4
199.1927,,,9.138e-5
199.21565,,,9.304e-4
199.362582,,,2.852e-2
199.370989,,1.476e+0,
199.53914,,,1.791e-2
199.8188,,,6.826e-5
199.97863,,,1.917e-3
199.9904,,,8.146e-5
200.10842,,,4.929e-3
200.38882,,,3.298e-4
200.55363,,,1.184e-3
201.05928,,,1.390e-3
201.151619,,1.909e+4,
201.162076,,,8.458e-3
201.27193,,,1.311e-3
201.3024,,,1.840e-4
201.388156,,,1.093e-2
201.58077,,,6.717e-3
201.9411,,,2.521e-4
202.105193,,2.146e+0,
202.235364,,1.677e+4,
202.44549,,,3.089e-3
202.4866,,,3.198e-5
202.57595,,6.633e+3,
202.5849,,,1.561e-4
