Ritz wavelength (nm),Cr I (2.7e-02),Cr II (9.7e-01)
199.99536,5.025e+2,
205.559868,,8.975e+4
206.157673,,6.681e+4
206.550391,,4.543e+4
235.430952,7.586e+1,
236.4731,1.386e+2,
236.59188,1.122e+2,
236.68156,1.007e+2,
237.505779,5.674e+1,
238.330662,4.874e+2,
238.5729,1.662e+2,
238.921819,1.339e+2,
240.862412,5.353e+2,
240.875087,1.700e+2,
247.913369,9.501e+1,
249.256975,3.248e+2,
249.507847,1.175e+2,
249.630633,5.619e+2,
249.984166,1.155e+2,
250.252921,2.814e+2,
250.430631,5.777e+2,
250.810991,1.541e+2,
250.898025,1.676e+2,
251.362067,1.438e+2,
252.711718,6.930e+2,
253.894988,8.932e+1,
254.471024,1.264e+2,
254.954402,2.323e+2,
256.069175,3.492e+2,
257.174239,5.197e+2,
257.765266,2.989e+2,
257.915492,1.295e+2,
258.46575,1.087e+2,
258.820323,1.326e+2,
259.18474,7.472e+2,
260.356971,1.144e+2,
261.826874,8.581e+1,
262.04776,1.034e+2,
262.286699,2.033e+2,
262.532219,1.141e+2,
262.659903,1.139e+2,
262.982298,9.032e+1,
265.358063,,1.690e+4
265.858838,,1.900e+4
266.60136,,3.828e+4
266.87088,,2.314e+4
266.936765,7.278e+1,
267.180686,,3.277e+4
267.198136,1.209e+2,
267.282784,,2.656e+4
267.36537,1.092e+2,
267.816246,1.687e+2,
268.03394,1.008e+2,
269.025252,1.195e+2,
269.654121,7.777e+1,
270.059442,1.073e+2,
270.199133,4.610e+2,
270.348033,1.134e+2,
271.617943,1.574e+2,
272.65124,1.193e+3,
273.190853,8.941e+2,
273.647395,5.198e+2,
274.009522,,8.092e+3
274.497631,,4.975e+3
275.160071,1.097e+2,
275.287419,6.029e+2,
275.709669,7.795e+2,
276.174675,4.713e+2,
276.436442,5.885e+2,
276.991155,1.261e+3,
278.069629,2.227e+3,
278.761747,,8.780e+3
282.236775,,4.021e+4
283.563154,,2.461e+5
284.001456,,3.717e+4
284.32456,,6.802e+4
284.983458,,8.056e+4
285.135255,,2.588e+4
285.676181,,1.128e+4
285.739861,,9.606e+3
286.093129,,3.144e+4
286.256914,,5.516e+4
286.673983,,5.468e+4
286.709401,,1.955e+4
286.764712,,2.532e+4
287.043231,,3.411e+4
287.163215,2.901e+2,
287.381444,,7.898e+3
287.844733,,6.480e+3
287.927187,4.079e+2,
288.08638,,1.404e+4
288.69922,3.844e+2,
288.926001,1.596e+3,
289.325039,1.010e+3,
289.416998,2.870e+2,
289.67518,4.271e+2,
289.853245,,1.594e+4
289.920894,1.305e+2,
290.548841,3.804e+2,
290.905144,5.915e+2,
291.0901,4.841e+2,
291.114546,5.050e+2,
292.181149,,1.037e+4
293.08452,,5.973e+3
293.513436,,1.757e+4
295.335249,,5.047e+3
296.604134,,5.270e+3
296.764225,1.084e+3,
297.110761,1.575e+3,
297.190113,,3.816e+4
297.5481,1.440e+3,
297.973606,,3.011e+4
298.078995,5.024e+2,
298.532036,,3.121e+4
298.864712,1.232e+3,
298.91897,,2.530e+4
299.188747,9.930e+2,
299.406767,4.264e+2,
299.510196,7.344e+2,
299.657788,1.970e+3,
299.878437,4.192e+2,
300.08842,2.588e+3,
300.505869,2.041e+3,
301.371163,1.416e+3,
301.51968,1.684e+3,
302.06664,1.549e+3,
302.15582,1.038e+4,
302.43483,2.166e+3,
302.916096,3.914e+2,
303.02444,2.593e+3,
303.13523,3.202e+2,
303.418749,8.294e+2,
303.704458,1.609e+3,
304.084074,1.264e+3,
305.387423,1.889e+3,
311.864901,,4.336e+4
312.036919,,5.679e+4
312.260128,,5.843e+3
312.870006,,2.066e+4
313.668596,,2.423e+4
314.84487,3.394e+2,
315.515386,4.055e+2,
316.375954,4.890e+2,
323.77226,7.186e+2,
323.8077,1.331e+2,
357.868618,2.290e+4,
359.348538,1.831e+4,
360.532884,1.429e+4,
363.97965,2.834e+3,
374.388144,1.557e+3,
374.44912,1.025e+2,
375.716951,6.867e+1,
375.766107,4.604e+2,
375.804616,1.293e+2,
376.823828,4.101e+2,
376.873275,9.568e+1,
380.479845,6.462e+2,
388.32867,2.305e+2,
390.875593,3.665e+2,
391.915844,6.867e+2,
392.86372,2.231e+2,
396.3684,3.687e+3,
396.974253,2.962e+3,
398.123145,8.932e+1,
398.389886,1.815e+3,
399.11134,1.447e+3,
400.14374,3.790e+2,
403.90899,5.461e+2,
403.92952,4.890e+1,
404.87794,4.553e+2,
404.97737,3.984e+1,
405.87689,4.061e+2,
406.57036,1.652e+2,
409.7643,5.501e+1,
411.13503,1.245e+2,
412.6512,1.866e+2,
416.55153,3.192e+2,
420.4465,1.835e+2,
421.31753,9.476e+1,
422.272739,5.619e+1,
423.2263,5.200e+1,
423.894915,9.676e+1,
425.222528,5.220e+1,
425.433602,8.450e+3,
425.54994,1.358e+2,
426.1337,1.180e+2,
426.16137,5.916e+1,
426.31382,6.946e+2,
426.87876,1.244e+2,
426.99504,4.840e+1,
427.10614,9.317e+1,
427.290255,7.029e+1,
427.47971,6.495e+3,
427.59701,1.514e+2,
428.04033,4.553e+2,
428.29902,2.787e+1,
428.97173,4.824e+3,
429.1958,1.198e+2,
429.60799,2.429e+1,
429.66127,2.377e+1,
429.704668,6.868e+1,
429.77324,4.159e+2,
429.80355,7.095e+1,
429.970132,7.225e+1,
430.05023,1.318e+2,
430.11743,2.288e+2,
430.27352,8.375e+1,
430.543673,6.520e+1,
430.76684,3.257e+1,
430.9717,2.349e+1,
431.7901,2.547e+1,
431.96293,9.353e+1,
432.506125,1.576e+2,
433.7168,6.566e+1,
433.755701,3.279e+2,
433.87722,5.288e+1,
433.944609,5.721e+2,
434.01278,1.263e+2,
434.450128,1.149e+3,
434.5077,5.341e+1,
434.681838,1.301e+2,
435.17622,1.499e+3,
435.39399,7.085e+1,
435.962444,3.231e+2,
436.312902,1.846e+2,
437.07616,2.258e+1,
437.0885,3.084e+1,
437.127465,3.390e+2,
437.36473,9.522e+1,
437.415357,1.820e+2,
437.533013,1.061e+2,
437.67945,1.563e+2,
438.4975,2.820e+2,
441.108773,1.056e+2,
441.29946,3.511e+1,
441.38548,1.283e+2,
442.26891,1.283e+2,
442.42787,2.414e+2,
442.8503,6.322e+1,
442.99232,6.879e+1,
443.21665,1.024e+2,
443.27591,1.286e+2,
444.37074,4.337e+1,
445.973437,1.266e+2,
446.534868,6.944e+1,
448.28707,1.071e+2,
449.05,1.938e+2,
449.23052,1.596e+2,
449.5266,8.040e+1,
449.685195,3.143e+2,
449.872367,7.475e+1,
450.02775,2.364e+2,
450.68388,1.585e+2,
451.189055,2.386e+2,
451.43575,7.666e+1,
452.48347,5.789e+1,
452.64538,6.345e+2,
452.745542,7.777e+1,
453.068239,1.107e+2,
453.073802,4.858e+2,
453.513583,9.588e+1,
453.569676,3.759e+2,
454.04987,2.953e+2,
454.070408,5.549e+2,
454.46119,2.383e+2,
455.3947,3.603e+1,
455.616745,8.667e+1,
455.864413,,3.019e+3
456.32442,6.950e+1,
456.41555,2.026e+2,
456.96143,1.186e+2,
457.16716,1.548e+2,
457.83167,3.431e+1,
458.819838,,3.149e+3
459.25385,6.137e+1,
459.55894,3.438e+2,
460.074835,2.381e+2,
460.63582,4.701e+1,
461.4511,4.083e+1,
461.612404,2.873e+2,
461.953289,1.514e+2,
462.24492,3.097e+2,
462.5922,1.251e+2,
463.95068,1.125e+2,
463.96691,4.196e+1,
464.19949,5.337e+1,
464.616212,8.285e+2,
464.67747,6.691e+1,
465.215743,4.064e+2,
465.68137,3.903e+1,
466.33111,1.039e+2,
466.59061,9.906e+1,
466.93168,1.624e+2,
468.08529,8.470e+1,
468.93566,1.973e+2,
469.39388,7.419e+1,
469.84597,2.606e+2,
