Ritz wavelength (nm),Cs I (2.2e-02),Cs III (2.3e-05)
180.18302,,2.383e-7
180.33885,,7.865e-10
182.39248,,1.099e-7
182.46948,,1.271e-7
182.65823,,1.271e-8
182.92758,,4.115e-10
183.38218,,8.325e-10
183.87437,,1.240e-9
183.89268,,2.146e-10
183.89945,,3.884e-8
184.03283,,2.583e-8
184.18027,,6.385e-7
185.78869,,8.138e-9
187.08277,,5.999e-8
187.20896,,1.808e-8
188.2184,,2.340e-9
188.318938,,2.489e-7
189.55445,,2.405e-10
189.56848,,1.942e-8
189.78106,,5.574e-8
190.2519,,1.687e-9
190.30566,,1.207e-7
191.03448,,3.530e-8
191.54973,,6.823e-7
191.98651,,1.193e-7
192.32905,,8.117e-7
193.59553,,1.740e-7
193.71051,,6.150e-9
194.285,,4.226e-10
194.51749,,1.519e-8
194.60105,,1.028e-10
195.13728,,5.986e-10
195.23172,,6.809e-10
195.35334,,4.811e-10
195.67289,,1.550e-10
196.1333,,4.519e-7
196.35468,,6.810e-8
196.49702,,3.801e-8
196.8031,,7.820e-8
198.14681,,2.419e-7
198.3648,,9.209e-8
200.29495,,5.623e-7
200.89035,,1.627e-7
202.09176,,1.045e-6
202.30781,,1.510e-9
202.3162,,2.877e-10
202.89938,,3.488e-6
202.98668,,2.510e-7
202.9898,,9.157e-7
203.00132,,2.297e-7
203.02394,,1.296e-6
203.37003,,6.584e-10
203.51101,,1.458e-5
204.15257,,2.336e-7
205.25893,,5.884e-9
205.52434,,4.305e-7
205.64269,,5.408e-6
205.77309,,1.772e-6
205.8604,,7.978e-7
207.16656,,4.843e-7
207.44717,,1.768e-9
207.64334,,1.369e-5
207.72978,,2.028e-5
208.31458,,3.977e-6
208.38896,,7.990e-6
208.8678,,1.002e-5
209.1971,,5.211e-6
209.36091,,2.704e-7
209.85853,,1.263e-7
209.9444,,1.480e-7
210.16304,,3.176e-6
210.92473,,5.693e-7
211.03032,,1.197e-6
211.40342,,3.306e-8
211.41618,,2.389e-6
212.13631,,2.223e-9
212.77956,,5.299e-7
213.14251,,8.850e-9
213.19874,,1.366e-6
213.25525,,8.303e-10
213.80243,,6.419e-8
214.13772,,4.880e-7
214.14663,,1.614e-6
214.68661,,9.607e-7
214.72661,,6.689e-8
215.70317,,9.470e-7
215.78685,,8.268e-9
215.90597,,8.818e-10
216.36186,,4.440e-8
216.90145,,1.127e-7
217.96558,,1.344e-6
218.21625,,3.765e-7
218.63253,,1.758e-7
218.95487,,1.913e-6
219.13263,,5.981e-9
220.06901,,2.532e-7
220.93584,,7.711e-10
221.79376,,3.765e-9
