Ritz wavelength (nm),Dy I (8.1e-03),Dy II (9.6e-01)
286.2694,3.302e+1,
296.46,3.573e+1,
314.7689,4.619e+1,
326.3185,5.168e+1,
338.5014,,5.892e+4
340.77925,,7.789e+4
346.09661,,4.456e+4
349.44896,,4.414e+4
351.1014,4.537e+1,
353.17052,,3.143e+5
353.6018,,1.074e+5
357.1437,2.459e+1,
363.02382,,3.551e+4
364.53965,,1.132e+5
369.48115,,4.025e+4
375.7052,1.743e+3,
375.73674,,3.610e+4
386.8805,1.772e+3,
387.21038,,6.271e+4
389.85292,,5.832e+4
394.46798,,8.039e+4
396.7509,1.003e+2,
396.83853,,1.079e+5
400.04502,,6.271e+4
401.3824,4.239e+1,
402.3714,1.655e+2,
404.59701,2.847e+3,
407.79651,,5.289e+4
408.5333,1.022e+2,
410.33047,,2.467e+4
410.3874,2.937e+2,
412.9122,1.861e+2,
414.6063,5.962e+2,
416.79743,1.616e+3,
418.3717,9.797e+2,
418.68213,2.347e+3,
419.0938,1.024e+2,
419.16398,7.014e+2,
419.48464,1.649e+3,
419.8019,4.188e+2,
420.1309,4.371e+2,
420.224,2.896e+2,
421.1715,4.407e+3,
421.318,7.689e+2,
421.516,9.220e+2,
421.8094,1.208e+3,
422.111,1.463e+3,
422.2212,2.800e+2,
422.5154,1.374e+3,
423.2025,3.707e+2,
423.9856,4.435e+2,
424.5915,3.825e+2,
427.6691,7.717e+1,
457.7776,5.255e+1,
458.9364,2.920e+2,
461.2259,1.771e+2,
488.8082,4.924e+1,
504.264,9.293e+1,
507.067,5.128e+1,
526.711,2.823e+1,
530.158,2.604e+1,
554.727,1.155e+1,
563.95,2.187e+1,
565.201,1.579e+1,
594.579,4.703e+1,
597.449,1.897e+1,
598.856,2.243e+1,
608.826,3.140e+1,
616.843,2.339e+1,
625.909,4.938e+1,
657.937,3.714e+1,
