Ritz wavelength (nm),F I (1.0e+00),F II (2.5e-03),F III (4.5e-14)
303.4527,,,6.766e-29
303.9245,,,1.357e-27
303.975,,,9.413e-28
311.3606,,,4.808e-25
311.5695,,,1.156e-24
312.1536,,,2.172e-24
312.4779,,,4.731e-25
313.4221,,,6.027e-25
314.2779,,,1.967e-28
314.5543,,,9.462e-26
314.6982,,,4.941e-25
315.4421,,,3.502e-28
315.6126,,,3.900e-29
316.5883,,,5.525e-26
317.4179,,,7.172e-25
317.4758,,,4.133e-25
320.2761,,1.062e-8,
321.397,,,7.970e-26
350.139,,2.887e-8,
350.1449,,6.511e-8,
350.1572,,5.048e-8,
350.284,,2.180e-8,
350.2964,,8.430e-8,
350.3109,,1.350e-7,
350.5368,,9.591e-9,
350.5513,,6.715e-8,
350.5628,,2.599e-7,
353.5188,,6.794e-9,
353.6869,,1.461e-8,
353.8505,,4.966e-9,
354.1768,,2.779e-8,
354.4413,,5.068e-9,
364.0884,,1.846e-10,
364.1941,,1.290e-10,
364.2776,,9.746e-11,
384.7086,,3.154e-6,
384.9985,,2.258e-6,
385.1668,,1.357e-6,
402.4726,,1.088e-6,
402.501,,2.177e-7,
402.5491,,6.533e-7,
410.3075,,6.813e-8,
410.3213,,2.256e-8,
410.3506,,1.269e-7,
410.3713,,3.026e-8,
410.387,,2.256e-8,
410.916,,5.938e-8,
411.272,,7.422e-9,
411.2969,,7.443e-9,
411.6535,,3.190e-8,
411.699,,7.179e-9,
411.8752,,7.177e-9,
411.9207,,2.074e-8,
429.9165,,4.846e-8,
444.6527,,5.367e-9,
444.6689,,9.998e-10,
444.6721,,7.971e-9,
444.7148,,9.992e-10,
444.7188,,1.152e-8,
623.965,8.232e+0,,
634.851,6.586e+0,,
641.365,3.860e+0,,
669.048,6.869e-1,,
677.398,4.781e+0,,
679.552,9.505e-1,,
683.426,7.109e+0,,
685.603,3.305e+1,,
687.022,6.471e+0,,
690.247,1.748e+1,,
690.981,6.751e+0,,
696.635,8.638e-1,,
703.746,1.127e+1,,
712.789,6.583e+0,,
720.236,3.971e+0,,
730.9032,2.757e+0,,
731.102,6.405e+0,,
731.4303,2.086e+0,,
733.196,9.235e+0,,
739.868,2.052e+1,,
742.564,7.404e+0,,
748.272,2.477e+0,,
748.914,7.799e-1,,
751.492,1.232e+0,,
755.223,5.173e+0,,
757.339,5.037e+0,,
760.717,2.737e+0,,
775.469,1.520e+1,,
780.021,7.663e+0,,
782.259,2.288e-1,,
787.918,4.291e-1,,
789.859,1.454e+0,,
793.095,2.355e-1,,
793.632,4.486e-1,,
795.407,1.745e-1,,
795.629,3.966e-1,,
804.093,7.122e-1,,
807.552,1.145e+0,,
807.752,4.630e-1,,
812.658,3.305e-1,,
812.927,5.358e-1,,
817.934,7.662e-1,,
819.124,3.635e-1,,
819.773,1.379e-1,,
820.863,4.628e-1,,
821.472,1.902e+0,,
823.077,6.515e+0,,
823.218,4.572e-1,,
827.461,1.664e+0,,
829.858,2.057e+0,,
830.239,8.213e-1,,
834.555,5.171e-1,,
873.727,3.303e-1,,
877.774,7.174e-1,,
879.936,4.943e-1,,
880.758,3.332e+0,,
883.122,6.821e-1,,
884.45,5.862e-1,,
884.906,3.677e-1,,
890.09,9.780e+0,,
891.023,1.590e+0,,
891.276,2.666e+0,,
898.119,9.986e-2,,
900.618,3.663e-1,,
901.685,4.390e-1,,
902.547,2.458e+0,,
904.209,3.675e+0,,
910.234,2.965e-1,,
915.18,1.337e+0,,
917.867,3.137e+0,,
923.288,1.256e-1,,
923.537,1.239e+0,,
924.46,4.488e-1,,
931.436,1.712e+0,,
938.495,7.269e-1,,
943.365,3.962e+0,,
950.53,1.047e+0,,
957.484,2.527e-1,,
