Ritz wavelength (nm),Fe I (4.4e-02),Fe II (9.5e-01),Fe III (2.2e-03)
180.17856,,,7.698e-4
180.217253,,5.336e+0,
180.33488,,,5.071e-4
180.53435,,,5.454e-4
180.546142,,5.681e+0,
180.84494,,3.517e+0,
180.931823,,3.191e+2,
181.29753,,,3.131e-3
181.541095,,1.441e+2,
181.94895,,,7.792e-4
182.52582,,,2.317e-4
182.91768,,,1.735e-3
183.026396,,1.093e+2,
183.046316,,6.820e+1,
183.06304,,,1.143e-3
183.071741,,9.548e+0,
183.126434,,1.590e+2,
183.16595,,1.199e+1,
183.198096,,7.880e+1,
183.225322,,1.035e+1,
183.41005,,,2.126e-3
183.496471,,1.098e+2,
183.50038,,,3.715e-4
183.541769,,9.676e+1,
183.587378,,4.489e+2,
183.76026,,,2.282e-3
183.83177,,,4.331e-3
183.8597,,,9.183e-6
183.86328,,,3.490e-4
183.87169,,,7.331e-4
183.9553,,,4.017e-6
183.975333,,3.922e+0,
183.980704,,4.447e+1,
184.000034,,4.234e+1,
184.13999,,,2.727e-3
184.1546,,,2.945e-3
184.170868,,4.977e+1,
184.203368,,7.465e+0,
184.29416,,,4.845e-3
184.310607,,3.640e+0,
184.3115,,,7.862e-6
184.320449,,7.582e+0,
184.326103,,4.959e+1,
184.3282,,,5.840e-6
184.34203,,,2.185e-3
184.348832,,4.294e+0,
184.35147,,,1.234e-3
184.3521,,,2.471e-6
184.381395,,5.152e+0,
184.40059,,,2.480e-3
184.4269,,,1.956e-3
184.45614,,,4.320e-3
184.467058,,4.959e+0,
184.49511,,,1.878e-3
184.4967,,,3.130e-4
184.53116,,,3.557e-3
184.55122,,,3.409e-3
184.55398,,,5.620e-3
184.5752,,,9.016e-5
184.6,,,1.303e-4
184.63603,,,2.795e-4
184.6373,,,1.755e-4
184.657597,,3.499e+2,
184.69533,,,1.300e-3
184.7358,,,1.677e-4
184.76416,,,7.102e-4
184.8142,,,3.186e-4
184.824039,,6.556e+1,
184.84992,,,3.355e-4
184.877362,,3.523e+2,
184.88946,,,3.036e-4
184.91808,,,3.453e-4
184.9412,,,8.955e-3
184.96706,,,1.027e-3
184.99628,,,1.087e-2
184.99858,,,5.384e-3
185.02038,,,6.396e-3
185.1061,,,1.430e-6
185.12485,,,4.604e-4
185.1261,,,3.357e-3
185.235284,,1.114e+1,
185.23664,,,3.394e-4
185.26866,,,4.648e-3
185.302822,,4.148e+0,
185.3175,,,3.003e-6
185.377635,,2.971e+0,
185.398868,,7.334e+0,
185.48086,,,2.531e-3
185.48237,,,3.695e-2
185.48581,,,1.372e-2
185.49906,,,1.670e-2
185.53757,,,6.000e-4
185.5518,,,8.833e-4
185.632019,,1.111e+2,
185.66785,,,2.962e-4
185.66999,,,2.429e-2
185.795986,,1.158e+2,
185.85575,,,1.206e-2
185.974715,,5.208e+2,
185.98174,,,3.203e-3
185.99599,,,7.419e-3
186.005267,,1.247e+3,
186.24509,,,6.761e-4
186.45484,,,5.071e-4
186.4554,,,4.201e-6
186.464487,,2.490e+2,
186.474633,,9.990e+2,
186.52064,,,1.200e-3
186.5217,,,2.104e-3
186.54632,,,6.389e-4
186.63158,,,4.593e-2
186.65739,,,1.039e-2
186.794189,,1.149e+1,
186.955453,,5.214e+1,
186.98411,,,5.415e-2
186.9851,,,1.397e-2
186.99257,,,2.217e-3
187.1157,,,5.791e-2
187.1338,,,1.676e-3
187.22118,,,4.331e-3
187.26422,,2.821e+1,
187.35486,,,1.047e-3
187.683914,,7.976e+2,
187.746567,,1.335e+3,
187.80013,,,5.250e-2
187.805373,,1.456e+1,
187.85463,,,4.861e-3
188.004932,,1.506e+2,
188.05989,,,9.545e-4
188.07135,,,4.398e-3
188.097216,,7.003e+2,
188.11939,,,3.303e-3
188.120308,,4.162e+0,
188.159,,,1.497e-3
188.20511,,,3.077e-2
188.20646,,,6.017e-3
188.23703,,,4.011e-3
188.32069,,,4.156e-4
188.38242,,,7.521e-3
188.411825,,5.827e+0,
188.42437,,,3.557e-4
188.45967,,,2.933e-2
188.472939,,1.124e+1,
188.51385,,,1.616e-2
188.59612,,,6.036e-3
188.598767,,6.244e+0,
188.66077,,,1.013e-2
188.67661,,,1.339e-1
188.72112,,,7.025e-2
188.74751,,,2.081e-2
188.74951,,,3.349e-2
188.7743,,,3.824e-4
188.827,,,1.125e-4
188.873419,,1.892e+3,
188.94666,,,2.246e-2
188.97394,,,2.485e-3
189.06769,,,2.227e-1
189.10827,,,6.021e-3
189.11864,,,3.175e-3
189.13381,,,5.727e-4
189.15098,,,7.043e-3
189.1536,,,2.978e-4
189.1721,,,4.448e-6
189.20695,,,8.332e-3
189.21476,,,3.002e-2
189.22514,,,7.390e-3
189.2347,,,1.210e-3
189.24745,,,8.345e-4
189.28807,,,4.587e-3
189.28983,,,5.357e-3
189.3113,,,4.004e-4
189.3985,,,2.753e-2
189.401925,,1.629e+2,
189.403245,,2.240e+0,
189.42486,,,8.667e-3
189.42508,,,1.421e-3
189.4684,,,1.943e-5
189.49906,,,3.233e-3
189.5472,,,1.458e+1
189.56394,,,4.464e-3
189.568486,,1.880e+2,
189.57058,,,7.752e-4
189.5902,,,4.900e-5
189.601197,,3.620e+0,
189.631859,,3.861e+0,
189.6332,,,2.695e-4
189.67403,,,5.896e-3
189.6818,,,3.065e-2
189.70318,,,2.327e-3
189.73834,,,1.891e-3
189.853613,,2.343e+2,
189.8878,,,1.435e-2
189.933,,,2.192e-4
189.93461,,,2.078e-3
189.9938,,,1.127e-3
190.0563,,,6.049e-4
190.05969,,,3.277e-4
190.11053,,,2.709e-2
190.1379,,,1.923e-3
190.13952,,,4.200e-3
190.20943,,,5.256e-3
190.24105,,,7.612e-3
190.29105,,,4.259e-3
190.31738,,,7.194e-4
190.3987,,,2.255e-4
190.4262,,,3.969e-4
190.4383,,,2.255e-4
190.44137,,,8.795e-3
190.478982,,4.087e+2,
190.4796,,,4.041e-5
190.5217,,,1.948e-4
190.58259,,,2.278e-3
190.64661,,,6.337e-3
190.6815,,,1.809e-3
190.68315,,,5.651e-3
190.70984,,,4.320e-4
190.7585,,,3.644e-2
190.77558,,,5.664e-3
190.9055,,,9.726e-6
190.97779,,,2.384e-4
190.986,,,1.610e-4
191.01766,,,1.506e-4
191.04116,,,2.238e-2
191.067288,,1.954e+2,
191.1349,,,5.583e-3
191.1688,,,6.208e-4
191.17494,,,9.432e-4
191.29252,,,1.326e-2
191.3288,,,4.481e-6
191.33922,,,6.882e-4
191.36291,,,1.125e-2
191.4068,,,1.058e+1
191.4324,,,1.095e-5
191.5087,,,4.043e-1
191.65173,,,5.931e-3
191.7264,,,2.688e-4
191.73676,,,1.305e-2
191.7462,,,2.650e-2
191.7667,,,1.873e-3
191.7703,,,5.270e-5
191.79541,,,1.966e-3
191.7977,,,6.405e-3
191.8122,,,3.242e-6
191.82926,,,4.501e-2
191.84719,,,6.493e-3
191.89781,,,1.689e-3
191.935,,,7.564e-6
191.95829,,,4.770e-3
192.01952,,,5.879e-3
192.02814,,,4.696e-4
192.07561,,,4.009e-4
192.11292,,,3.787e-4
192.12049,,,4.407e-4
192.1994,,,5.685e-4
192.2138,,,7.101e-4
192.2793,,,3.490e-1
192.30159,,,1.111e-2
192.41234,,,1.658e-3
192.45336,,,1.550e-2
192.52703,,,3.582e-3
192.5476,,,8.016e-4
192.58501,,,1.849e-3
192.598457,,1.000e+3,
192.60412,,,5.504e-2
192.60486,,,6.320e-4
192.6321,,,8.542e+0
192.6899,,,4.010e-4
192.74355,,,1.024e-2
192.8178,,,3.935e-3
192.8185,,,6.397e-4
192.82595,,,6.647e-3
192.83123,,,2.586e-3
192.86411,,,6.802e-3
192.88393,,,4.187e-3
192.90056,,,8.456e-4
192.93875,,,3.157e-3
192.94363,,,2.325e-3
192.9455,,,4.553e-6
192.9637,,,1.669e-5
192.99431,,,3.576e-3
193.0391,,,2.908e-1
193.0412,,,1.003e-5
193.09097,,,5.457e-4
193.0918,,,4.042e-4
193.13106,,,4.688e-4
193.1326,,,2.358e-4
193.15124,,,1.286e-1
193.248239,,2.615e+2,
193.28209,,,1.050e-3
193.28224,,,5.430e-3
193.453495,1.608e+2,,
193.52961,,2.771e+2,
193.6114,,,6.785e-4
193.62557,,,2.186e-4
193.67943,,,1.986e-3
193.6814,,,4.537e-4
193.726831,1.428e+2,,
193.73522,,,1.837e-3
193.736,,,2.365e-1
193.80006,,,4.207e-4
193.87495,,,9.777e-4
193.87747,,,2.637e-3
193.88916,,,2.933e-4
193.8899,,,1.742e-2
193.89476,,,3.511e-3
194.00208,,,1.103e-2
194.00245,,,1.482e-2
194.066039,1.158e+2,,
194.06928,,,1.579e-3
194.07712,,,2.865e-3
194.16315,,,6.939e-3
194.19866,,9.991e+0,
194.348,,,9.432e-3
194.349,,,1.698e-1
194.3726,,,2.183e-4
194.53455,,,8.337e-2
194.566001,,3.107e+0,
194.57289,,,2.199e-3
194.6313,,,8.208e-5
194.6766,,,3.209e-4
194.8275,,,2.851e-4
194.838298,,2.281e+2,
194.94572,,,3.231e-3
194.96632,,,2.449e-3
195.034,,,1.770e-2
195.10147,,,1.180e-1
195.23372,,,4.355e-3
195.25145,,,4.247e-3
195.2654,,,8.884e-2
195.32017,,,1.128e-3
195.3323,,,2.851e-2
195.33394,,,6.359e-2
195.34791,,,6.491e-3
195.3503,,,2.668e-2
195.35138,,,1.411e-3
195.39646,,,2.317e-3
195.42029,,,2.076e-2
195.42411,,,5.933e-2
195.47484,,,3.036e-4
195.4772,,,4.350e-3
195.49834,,,1.085e-2
195.60966,,,8.742e-4
195.65938,,,2.245e-4
195.7136,,,5.520e-6
195.71433,,,2.718e-3
195.73796,,,1.611e-3
195.79415,,,2.506e-3
195.85972,,,9.402e-2
195.87441,,,3.299e-3
195.90327,,,2.263e-3
195.93313,,,3.468e-2
196.01582,,,3.955e-4
196.0325,,,6.473e-2
196.10135,,,4.226e-3
196.12385,,,2.167e-2
196.14585,,,1.056e-3
196.273,,,1.718e-2
196.29605,,,2.645e-3
196.32002,,,8.275e-4
196.40577,,,2.959e-3
196.41785,,,2.385e-2
196.42661,,,3.488e-3
196.4294,,,1.586e-2
196.47848,,,1.892e-2
196.53196,,,1.005e-2
196.608,,,1.513e-3
196.62017,,2.406e+1,
196.67478,,,6.584e-3
196.7355,,,3.557e-4
196.8623,,,1.559e-3
197.22543,,,1.183e-3
197.26422,,,1.418e-3
197.6137,,,5.076e-2
197.84147,,,2.417e-2
197.851154,,4.756e+0,
197.86292,,,1.703e-3
197.90083,,,1.055e-3
198.03945,,,1.640e-3
198.20855,,,3.144e-2
198.306679,,5.254e+0,
198.3146,,,7.757e-4
198.36791,,,4.739e-3
198.40353,,,1.461e-2
198.42975,,,3.140e-2
198.51061,,,1.940e-2
198.641754,,1.230e+2,
198.70018,,,1.100e-3
198.7509,,,3.853e-1
198.99884,,,4.223e-2
199.16177,,,2.834e-1
199.2022,,,2.697e-2
199.2208,,,2.956e-2
199.28711,,,1.052e-2
199.32743,,,5.233e-2
199.40879,,,1.998e-1
199.48358,,,8.323e-4
199.52744,,,4.828e-2
199.55694,,,1.485e-1
199.64232,,,2.926e-2
199.6434,,,1.197e-1
199.90972,,,2.745e-3
199.941141,,2.077e+2,
199.9415,,,1.288e-3
199.95793,,,3.122e-2
199.9583,,,3.183e-2
199.9602,,,1.932e-2
199.9898,,,9.711e-3
200.0047,,,3.369e-3
200.037732,,1.938e+3,
200.11662,,,1.123e-2
200.13638,,,1.885e-3
200.1488,,,6.735e-4
200.18307,,,4.264e-3
200.2475,,,5.275e-4
200.25932,,,1.017e-3
200.34963,,,7.031e-4
200.35032,,,4.117e-2
200.49451,,,3.241e-3
200.50899,,,1.918e-2
200.54576,,,3.264e-3
200.5714,,,3.793e-3
200.62691,,,1.011e-2
200.701387,,1.840e+2,
200.78602,,,3.272e-2
200.8474,,,1.922e-2
201.069688,,1.272e+3,
201.07297,,,6.827e-4
201.15455,,,7.142e-3
201.18949,,,3.278e-3
201.26824,,,7.894e-3
201.44222,,,5.411e-4
201.50732,,,4.015e-3
201.548736,,6.742e+2,
201.67096,,,2.432e-3
201.7299,,,2.601e-3
201.85766,,,3.173e-3
201.877724,,1.176e+3,
202.075101,,7.449e+2,
202.20394,,,6.871e-4
202.32993,,,4.122e-3
202.52901,,,5.351e-4
202.55023,,,1.258e-3
202.557,,,5.864e-3
202.60475,,,9.403e-3
202.8564,,,1.334e-5
202.95319,,,2.344e-3
203.0773,,,5.560e-4
203.240945,,9.938e+2,
203.43052,,,3.982e-3
203.45529,,,1.224e-3
203.47078,,,7.040e-3
203.51026,,,1.322e-3
203.59378,,,6.982e-3
203.60262,,,1.752e-3
203.643626,,5.703e+2,
203.68551,,,4.973e-3
203.71544,,,3.510e-3
203.73035,,,8.467e-3
203.80998,,,6.705e-3
203.89172,,,4.973e-3
203.9522,,,9.593e-3
204.04114,,,6.076e-3
204.05476,,,4.020e-3
204.068999,,1.852e+3,
204.0773,,,5.516e-3
204.34879,,,9.513e-4
204.4041,,,3.038e-3
204.43137,,,1.127e-2
204.45496,,,5.655e-4
204.49771,,,1.547e-2
204.5841,,,6.149e-3
204.9398,,,1.040e-2
205.103385,,1.152e+3,
205.44938,,,9.270e-4
205.526768,,5.724e+2,
205.58701,,,7.971e-3
205.61636,,,3.141e-2
205.70653,,,2.080e-2
205.794,,,2.205e-3
205.857,,,4.072e-2
205.96909,,,3.425e-2
206.156,,,1.614e+0
206.1762,,,5.095e-2
206.20878,,,1.087e-3
206.36773,,6.549e+2,
206.5277,,,2.320e-5
206.52774,,,5.112e-4
206.5486,,,6.187e-6
206.60082,,2.737e+2,
206.73145,,,5.188e-3
206.791357,,5.450e+2,
206.799901,,3.668e+0,
206.8252,,,2.581e+0
207.033359,,1.271e+2,
207.0553,,,2.078e-2
207.2248,,,6.576e-6
207.42394,,,5.955e-4
207.8993,,,3.650e+0
208.0229,,,4.023e-4
208.024306,,4.828e+2,
208.23824,,,3.720e-4
208.3547,,,4.379e-3
208.4017,,,1.029e-5
208.4366,,,1.043e-1
208.45251,,,5.086e-3
208.4536,,,5.388e-6
208.58462,,,9.777e-4
208.592143,,3.421e+0,
208.71454,,,3.407e-2
208.754134,,9.458e+2,
208.7915,,,1.169e-2
208.86357,,,5.685e-3
209.0142,,,4.575e-3
209.01521,,,1.295e-1
209.02556,,,2.145e-2
209.1323,,,1.634e-2
209.1672,,,6.336e-6
209.201272,,3.743e+0,
209.260232,,4.081e+0,
209.29539,,,3.702e-3
209.362555,,1.300e+2,
209.56886,,,7.473e-4
209.64367,,,7.346e-3
209.7494,,,1.818e-1
209.77047,,,1.111e-1
209.78671,,,7.225e-4
210.016556,,2.787e+0,
210.109735,,6.511e+0,
210.121952,,3.278e+0,
210.273186,,7.954e+0,
210.424004,,3.678e+0,
210.458513,,4.976e+0,
210.50274,,,1.215e-3
210.7336,,,6.633e-2
210.7553,,2.117e+2,
210.86821,,,1.391e-3
210.910264,,2.532e+2,
211.030757,,1.711e+1,
211.073425,,3.986e+2,
211.33504,,,9.617e-4
211.39096,,,1.481e-3
211.6598,,,8.702e-3
211.69912,,2.902e+2,
211.85714,,,6.114e-3
212.35999,,,2.033e-3
212.516826,,1.818e+1,
212.797197,,9.261e+1,
213.054886,,2.025e+2,
213.201699,1.140e+2,,
213.258234,,3.026e+0,
213.4867,,,4.221e-3
213.561344,,4.391e+0,
213.650854,,1.839e+2,
213.7383,,,7.702e-3
214.34802,,,9.367e-3
214.4295,,,8.757e-3
214.6096,,,5.427e-3
214.770306,,2.790e+2,
215.062078,,5.908e+2,
215.17887,,,8.014e-3
215.84741,,,1.665e-3
216.115994,,2.700e+2,
216.202234,,1.415e+3,
216.348475,,4.376e+0,
216.671418,,1.918e+2,
216.677326,3.458e+3,,
216.787783,,2.010e+2,
216.86704,,4.694e+0,
217.153838,,6.187e+0,
217.46672,,,2.991e-2
217.484726,,2.142e+2,
217.545306,,8.794e+2,
217.650054,,1.316e+2,
218.370458,,7.974e+0,
218.38334,,1.157e+2,
218.729708,,3.877e+1,
219.183908,1.074e+3,,
219.198278,,2.182e+2,
219.604199,6.367e+2,,
219.866254,,1.724e+2,
220.028324,,1.307e+2,
220.038993,4.722e+2,,
220.072429,2.506e+2,,
220.141248,,7.238e+1,
220.158613,,2.249e+2,
220.608151,,2.938e+2,
220.614748,,3.965e+2,
220.840556,,6.151e+2,
220.88669,,,3.212e-3
220.903187,,3.937e+2,
221.365294,,1.529e+3,
221.403688,,4.593e+2,
221.507514,,3.594e+2,
221.57001,,2.207e+2,
221.82592,,6.074e+2,
221.989359,,9.473e+2,
222.037805,,1.900e+3,
222.042998,,1.177e+2,
222.116421,,8.096e+2,
222.267241,,8.986e+1,
222.348573,,7.692e+2,
222.383483,,6.201e+1,
222.45957,,7.164e+0,
222.718176,,2.040e+2,
222.743213,,1.198e+2,
222.845473,,3.126e+1,
222.873216,,4.929e+2,
222.971494,,4.023e+0,
223.14924,,2.526e+2,
223.178491,,6.394e+0,
223.185631,,4.340e+0,
223.312861,,8.938e+0,
223.391749,,1.472e+3,
223.488428,,6.246e+0,
223.56808,,9.485e+0,
223.635694,,3.912e+0,
223.744349,,4.057e+0,
223.756757,,2.697e+2,
223.789845,,1.795e+2,
223.8153,,,5.632e-4
223.827336,,5.121e+1,
223.834438,,3.614e+0,
223.85677,,5.425e+0,
223.86312,,5.039e+1,
223.903747,,3.765e+2,
224.116128,,5.410e+0,
224.134958,,7.043e+0,
224.141907,,2.783e+2,
224.15589,,,1.423e-3
224.187725,,4.709e+1,
224.308141,,4.616e+1,
224.326465,,1.609e+1,
224.407652,,2.716e+1,
224.420686,,1.422e+2,
224.439279,,3.511e+1,
224.549894,,1.078e+3,
224.668274,,1.708e+1,
224.691318,,3.221e+2,
224.76837,,9.956e+2,
224.793059,,1.100e+1,
224.891836,,1.770e+1,
224.90584,,6.601e+2,
224.905934,,2.449e+2,
224.91984,,4.159e+2,
225.087654,,5.385e+0,
225.182274,,2.276e+3,
225.407251,,1.104e+2,
225.414453,,3.667e+0,
225.420218,,9.230e+0,
225.514042,,1.838e+1,
225.563449,,3.215e+1,
225.568706,,9.805e+2,
225.576584,,7.568e+2,
225.583454,,4.361e+0,
225.689093,,1.956e+2,
225.709065,,2.097e+1,
225.75531,,6.609e+0,
225.778233,,4.062e+2,
225.859497,,2.963e+0,
225.886481,,4.942e+0,
225.922433,,3.844e+0,
225.951006,1.440e+2,,
225.962471,,1.072e+2,
226.120628,,3.848e+0,
226.182984,,7.601e+0,
226.2058,,,1.221e-7
226.323226,,5.885e+2,
226.459018,,7.550e+2,
226.670615,,5.574e+0,
226.803748,,3.557e+0,
226.847019,,8.110e+0,
227.03706,,3.045e+1,
227.111766,,3.258e+0,
227.2544,,,1.932e-7
227.395841,,1.079e+1,
227.40632,,1.913e+1,
227.41847,,6.154e+0,
227.602564,2.107e+2,,
227.607451,,9.090e+0,
227.696471,,4.611e+0,
227.971285,,1.967e+1,
227.991467,,2.325e+3,
228.065044,,1.908e+1,
228.276698,,1.594e+1,
228.359241,,1.118e+1,
228.369972,,3.019e+1,
228.399634,,3.791e+2,
228.408535,1.503e+2,,
228.487684,,1.050e+1,
228.705032,,7.184e+0,
228.724949,1.516e+2,,
228.782093,,1.073e+1,
228.835688,,1.923e+1,
228.866265,,4.713e+1,
228.896667,,4.486e+0,
229.199877,,7.184e+0,
229.282826,,8.568e+0,
229.3074,,,1.544e-4
229.460976,,3.723e+2,
229.58698,,,1.540e-3
229.609648,,1.095e+2,
229.689125,,6.910e+0,
229.778687,2.427e+2,,
229.816882,7.056e+2,,
229.822219,,2.747e+2,
229.844678,,5.157e+0,
229.972306,,6.344e+0,
229.975285,,4.690e+0,
230.03134,,4.668e+0,
230.062481,,4.223e+0,
230.156739,,5.072e+0,
230.189885,,4.343e+0,
230.384272,,2.233e+1,
230.40649,,6.138e+0,
230.473532,,3.826e+2,
