Ritz wavelength (nm),He I (1.0e+00),He II (2.5e-06)
273.3184772,,1.340e-21
273.3195172,,8.179e-22
273.3211384,,4.089e-22
273.330886,,2.572e-21
273.3309064,,2.412e-21
273.3314467,,2.680e-22
273.3349388,,3.675e-21
276.3803217,1.742e-4,
282.9080946,1.796e-4,
282.9081153,2.994e-4,
294.5103735,3.524e-4,
294.5104128,5.873e-4,
318.7733175,2.849e-4,
318.774439,8.549e-4,
318.7745305,1.425e-3,
320.2946921,,4.706e-21
320.2961177,,2.727e-21
320.2999646,,1.364e-21
320.3111934,,1.059e-20
320.3112204,,8.471e-21
320.3125027,,9.412e-22
320.3160332,,5.022e-22
320.316489,,1.513e-20
320.3171301,,7.562e-22
344.7589022,2.081e-4,
358.7262015,3.146e-4,
358.7271838,1.685e-4,
361.364208,4.113e-4,
363.4231087,4.735e-4,
363.4241162,2.537e-4,
370.4995773,7.665e-4,
370.5006234,4.106e-4,
370.5141421,1.825e-4,
381.9602767,2.463e-4,
381.9602822,1.380e-3,
381.9613123,2.464e-4,
381.961392,7.390e-4,
381.9757304,3.285e-4,
387.1786391,1.661e-4,
388.8604648,9.654e-4,
388.8645585,2.896e-3,
388.8648909,4.827e-3,
392.6544371,2.514e-4,
396.4728814,1.019e-3,
400.92565,4.101e-4,
402.6185894,5.245e-4,
402.6185998,2.938e-3,
402.6196753,5.246e-4,
402.6198287,1.574e-3,
402.6356952,6.994e-4,
412.0810757,2.881e-4,
414.3759042,7.474e-4,
438.7929124,1.626e-3,
447.1474069,1.510e-3,
447.147431,8.457e-3,
447.148565,1.510e-3,
447.1489354,4.530e-3,
447.1683243,2.014e-3,
468.5376849,,3.323e-20
468.5407225,,1.737e-20
468.5524404,,1.733e-21
468.5568006,,8.683e-21
468.5703849,,1.093e-19
468.570438,,5.980e-20
468.5757974,,6.644e-21
468.5804092,,1.562e-19
468.583089,,7.810e-21
468.5884123,,1.772e-21
468.5905553,,3.466e-21
471.3139163,8.991e-4,
471.3156145,5.394e-4,
492.1931013,4.880e-3,
501.567798,3.774e-3,
504.773854,3.543e-4,
587.55987,5.617e-4,
587.561396,8.424e-3,
587.561483,4.719e-2,
587.562509,8.426e-3,
587.564035,2.527e-2,
587.596626,1.123e-2,
655.976872,,6.152e-22
655.979395,,3.816e-22
656.005227,,1.543e-21
656.005274,,1.107e-21
656.01416,,2.267e-21
656.014176,,2.204e-21
656.018478,,2.938e-21
667.81517,3.035e-2,
706.517714,6.313e-3,
706.52153,3.788e-3,
706.570861,1.263e-3,
728.135074,2.034e-3,
906.328416,1.503e-4,
951.656552,2.412e-4,
952.615754,1.778e-4,
