Ritz wavelength (nm),Hf I (2.4e-02),Hf II (9.7e-01)
316.255825,8.328e+2,
318.963093,1.424e+2,
325.3702,,6.883e+4
333.272468,1.278e+3,
336.005287,1.470e+2,
339.9793,,1.310e+5
340.021374,1.933e+2,
341.733878,2.858e+2,
344.897073,1.944e+1,
347.24012,9.139e+2,
349.749366,1.489e+3,
352.302351,1.196e+3,
353.662873,5.932e+2,
356.43062,1.257e+2,
361.503562,8.933e+1,
361.689056,7.959e+2,
363.086632,2.315e+2,
364.909998,3.084e+2,
368.223847,1.817e+3,
369.651607,1.664e+2,
371.7797,8.866e+2,
373.378146,5.400e+2,
377.765021,9.273e+2,
378.545654,1.205e+3,
380.03629,3.155e+2,
381.177553,2.737e+2,
382.072307,1.401e+3,
384.917811,9.144e+2,
385.830632,4.943e+2,
388.935622,1.412e+2,
389.993003,3.597e+2,
393.137246,3.190e+2,
395.181289,3.734e+2,
397.347912,1.111e+2,
399.275684,1.551e+1,
403.225898,1.278e+2,
405.087807,3.940e+1,
410.422933,5.383e+1,
414.575269,6.990e+1,
416.27027,7.129e+1,
417.433998,5.042e+2,
422.807681,7.059e+1,
429.477692,2.073e+2,
429.644798,3.718e+1,
431.81309,7.749e+1,
433.027751,8.933e+1,
435.630591,2.564e+2,
435.700253,2.080e+1,
441.790242,1.298e+2,
441.824712,6.123e+1,
443.80364,1.688e+2,
445.298353,1.652e+1,
445.734411,1.011e+2,
446.117576,1.486e+2,
449.964922,3.127e+1,
454.093108,2.119e+2,
454.170123,2.018e+1,
456.593715,2.124e+2,
459.879791,1.333e+2,
459.891547,1.909e+2,
460.809017,7.909e+1,
465.518924,3.429e+2,
475.760879,3.560e+1,
477.37157,8.346e+1,
480.049829,4.776e+2,
483.723489,9.146e+1,
485.841072,4.259e+1,
494.894148,8.012e+1,
497.525232,8.897e+1,
504.743848,1.216e+2,
510.062979,2.080e+1,
524.398077,1.383e+2,
537.385366,7.981e+1,
538.93307,5.157e+1,
553.82732,2.495e+1,
555.06011,1.366e+2,
555.211884,2.102e+2,
571.91718,2.272e+2,
609.86696,2.917e+1,
633.80994,1.655e+1,
638.01884,1.773e+1,
638.62194,3.658e+1,
681.89395,2.394e+2,
685.87518,5.318e+1,
697.96038,2.374e+1,
710.05441,1.953e+1,
739.07261,3.831e+1,
743.7601,3.776e+1,
755.6376,3.002e+1,
762.43938,6.798e+2,
764.5661,3.789e+1,
779.0903,8.193e+1,
781.45666,4.873e+1,
793.8045,5.190e+1,
805.64699,3.123e+1,
808.02519,1.719e+1,
834.4244,3.454e+1,
845.9997,5.823e+1,
871.12,8.517e+1,
917.72413,4.282e+1,
918.2139,1.493e+2,
929.9961,2.808e+1,
940.2575,4.523e+1,
