Ritz wavelength (nm),Ir I (1.2e-01),Ir II (8.8e-01)
185.2844,,2.243e+3
186.2496,,3.006e+4
186.8277,,1.255e+3
194.8065,,5.436e+3
198.7992,,5.834e+3
199.3699,,1.740e+3
199.7174,,2.899e+3
202.2824,,2.966e+3
202.8658,,3.956e+3
203.1654,,5.219e+2
204.4189,,4.008e+4
204.4832,,5.913e+3
205.1158,,3.766e+4
207.0512,,3.491e+3
208.0631,,3.140e+3
209.0792,,2.301e+3
209.7283,,1.097e+3
210.996,,1.882e+3
211.3854,,2.128e+3
211.8903,,4.481e+2
211.909,,4.639e+2
212.6809,,8.953e+4
213.2544,,3.536e+3
215.2704,,3.938e+4
217.8972,,4.261e+3
219.6436,,2.752e+3
219.7513,,7.982e+3
220.495,,5.439e+3
221.9229,,7.366e+3
222.1074,,3.949e+3
222.4794,,1.444e+3
223.6255,,1.254e+3
224.063,,6.842e+2
224.2679,,9.835e+4
224.4226,,7.316e+2
224.5746,,9.719e+3
225.1738,,3.274e+3
225.5458,,2.597e+3
225.7468,,2.988e+3
226.0659,,1.356e+3
226.5157,,2.317e+3
227.5656,,4.737e+3
229.7125,,2.392e+3
230.0902,,3.533e+3
231.4903,,5.753e+3
231.7438,,2.195e+3
232.469,,8.287e+3
232.9417,,4.883e+3
235.7935,,3.354e+3
236.8045,,3.386e+4
238.1799,,1.002e+4
238.6556,,5.424e+3
239.1265,,3.138e+3
240.1168,,5.799e+2
241.0239,,1.186e+3
242.6299,,1.054e+3
245.5609,1.300e+3,
246.521,,4.600e+3
246.9518,,8.898e+3
247.5123,3.136e+3,
248.1183,1.618e+3,
248.8282,,1.585e+3
250.2984,7.411e+3,
251.2097,,2.109e+3
251.2578,,1.453e+4
252.3608,,6.644e+2
253.041,,1.947e+3
255.3825,,3.947e+2
256.1773,,1.047e+3
257.2904,,3.274e+2
257.4671,,2.988e+2
257.9477,,8.074e+3
258.6059,,1.079e+4
259.5827,,3.029e+3
260.6563,,1.585e+3
261.7068,,6.137e+2
261.9884,9.729e+2,
263.9708,9.850e+3,
266.198,3.843e+3,
266.4786,5.409e+3,
269.4234,1.131e+4,
270.52,,5.981e+2
270.8667,,1.585e+3
271.4093,,1.292e+3
274.0326,,1.002e+3
275.2863,,6.485e+2
275.3856,,1.014e+3
276.3186,,2.167e+3
277.4955,,3.347e+3
279.3807,,8.474e+2
279.7703,2.620e+3,
280.0631,,1.670e+3
281.209,,6.707e+2
282.318,1.140e+3,
282.4445,5.023e+3,
283.3245,,8.609e+3
283.6397,1.894e+3,
284.9725,6.709e+3,
288.2633,9.659e+2,
289.2253,,5.913e+2
289.715,9.958e+2,
290.7235,5.908e+2,
291.6368,4.983e+2,
292.479,6.771e+3,
292.9731,,1.342e+3
293.4627,3.781e+3,
293.6689,1.385e+3,
294.3149,5.477e+3,
295.1217,6.343e+2,
295.4781,,1.318e+3
296.4095,,5.409e+2
298.5803,8.923e+2,
300.3641,1.107e+3,
302.6364,,5.069e+2
304.2644,,3.173e+3
304.9434,4.932e+2,
305.7275,3.668e+2,
306.8886,2.508e+3,
306.9087,1.068e+3,
310.0277,1.425e+3,
310.0439,2.158e+3,
311.7331,,7.909e+2
311.8835,,8.724e+2
312.0757,1.068e+3,
313.3314,9.242e+3,
316.8878,1.428e+3,
319.892,4.271e+2,
321.2116,8.237e+2,
322.0776,5.433e+3,
324.1513,6.905e+2,
326.6442,8.076e+2,
328.7586,4.390e+2,
343.701,8.207e+2,
351.3647,2.512e+3,
355.8993,5.488e+2,
357.3703,2.078e+3,
359.4387,5.269e+2,
360.5836,,1.435e+3
361.7205,4.443e+2,
362.8661,7.998e+2,
363.619,2.947e+2,
365.319,,1.015e+3
366.1702,7.685e+2,
367.4979,2.241e+2,
373.4767,7.695e+2,
374.7207,5.256e+2,
379.3789,2.116e+2,
380.0118,1.462e+3,
382.7577,,1.555e+3
386.5632,2.835e+2,
390.25,3.079e+2,
391.5378,7.067e+2,
393.4837,6.122e+2,
397.6307,9.041e+2,
399.2116,5.633e+2,
403.3756,7.141e+2,
406.9909,8.429e+2,
411.5768,2.612e+2,
425.91,4.669e+1,
430.16,1.785e+2,
431.149,2.973e+2,
491.335,6.435e+2,
493.917,1.235e+2,
536.432,2.411e+2,
