Ritz wavelength (nm),Kr I (8.0e-01),Kr II (2.0e-01)
366.53244,1.557e+1,
425.058,,4.342e-2
427.39694,2.153e+1,
428.64868,3.427e+0,
429.2923,,5.437e-1
431.95796,1.952e+1,
435.5477,,1.563e+0
437.61216,7.702e+0,
439.99663,7.150e+0,
443.1685,,4.087e-1
443.6812,,3.007e-1
446.36898,7.714e+0,
450.23543,8.696e+0,
457.72,,2.671e-1
458.2839,,3.834e-2
461.5292,,2.460e-1
461.9166,,5.547e-1
463.388,,1.582e-1
465.8876,,6.115e-1
473.9002,,1.122e+0
476.2435,,1.520e-1
476.5744,,7.580e-1
481.1764,,9.628e-2
482.5185,,7.111e-2
483.2077,,2.853e-1
520.8333,,1.317e-1
530.8677,,3.542e-2
557.02893,1.249e+1,
580.55412,4.534e+0,
582.70903,4.561e+0,
587.09157,1.504e+1,
601.21557,1.492e+1,
605.61265,2.472e+1,
607.52552,1.212e+1,
608.28613,9.081e+0,
622.27334,5.546e+0,
623.63519,8.713e+0,
634.66821,5.254e+0,
637.35901,5.606e+0,
641.56793,5.279e+0,
642.10269,3.280e+1,
645.62888,7.490e+1,
653.65517,3.396e+0,
657.64205,4.620e+0,
665.22347,1.328e+1,
669.92297,1.424e+1,
674.00982,4.183e+0,
681.31087,1.605e+1,
686.96307,8.442e+0,
690.46788,1.296e+1,
705.72633,5.660e+0,
722.4106,2.629e+1,
728.7259,1.596e+1,
740.705,,1.033e-1
742.55417,1.228e+1,
748.68627,2.355e+1,
749.4146,4.972e+0,
758.74134,2.943e+2,
760.15454,1.052e+3,
768.52458,1.538e+2,
769.45399,1.006e+2,
774.1359,5.542e+0,
774.6829,2.338e+1,
777.6257,7.616e+0,
780.65043,1.084e+1,
785.48229,2.602e+2,
790.46136,5.057e+0,
791.34251,3.012e+1,
792.0447,7.621e+0,
792.85988,9.620e+1,
798.24021,1.157e+1,
805.9505,2.101e+2,
810.402,1.085e+2,
810.43655,3.818e+2,
811.29006,2.157e+3,
819.0056,3.443e+2,
819.507,2.233e+1,
826.32422,7.235e+2,
827.2354,3.699e+1,
828.10519,1.808e+2,
829.81095,6.907e+2,
830.14,6.618e+0,
830.3257,6.664e+0,
841.2431,1.579e+1,
850.88722,2.403e+2,
856.08765,5.153e+0,
877.67504,9.446e+2,
892.86931,6.739e+2,
897.7976,7.820e+0,
936.20845,2.459e+1,
