Ritz wavelength (nm),La I (6.8e-03),La II (8.3e-01)
321.581,2.285e+2,
334.223,5.491e+2,
338.8607,9.234e+1,
340.4519,7.618e+1,
346.1184,1.132e+2,
351.4055,1.600e+2,
357.4425,7.003e+2,
361.3074,1.802e+2,
362.8822,,1.409e+4
363.6661,9.885e+1,
364.1519,9.413e+2,
364.5414,,5.816e+4
364.9522,2.233e+2,
366.2075,,8.478e+3
367.2014,1.019e+2,
369.9551,2.847e+1,
370.4532,3.040e+2,
371.3545,,3.080e+4
371.4292,4.349e+1,
375.9079,,1.726e+5
379.0823,,2.242e+5
379.4774,,3.024e+5
379.5447,5.581e+1,
383.3375,3.107e+1,
384.0713,,2.949e+4
384.9006,,8.581e+4
385.2425,2.840e+1,
387.1635,,1.585e+5
387.8879,9.521e+1,
388.6372,,9.326e+4
389.8595,9.344e+1,
390.256,6.118e+1,
391.6042,,6.087e+4
392.1541,,7.020e+4
392.7551,4.682e+2,
392.9211,,1.008e+5
393.6218,,1.150e+4
394.9102,,5.178e+5
395.3675,1.326e+2,
398.8515,,2.741e+5
399.4164,4.969e+1,
399.5745,,1.840e+5
400.1384,1.809e+1,
401.5388,6.154e+2,
402.5874,,7.981e+3
403.1686,,1.540e+5
403.7207,4.234e+2,
406.0317,1.125e+3,
406.4778,7.843e+2,
406.5573,2.341e+2,
406.738,,2.413e+4
407.6703,,4.477e+3
407.7342,,1.789e+5
407.917,3.142e+2,
408.6709,,2.213e+5
408.7052,4.658e+1,
408.961,6.599e+2,
410.487,5.123e+2,
410.9481,7.722e+1,
412.3218,,2.546e+5
413.7031,2.986e+2,
414.1718,,3.850e+4
414.3907,1.270e+2,
414.4349,7.359e+1,
415.0208,6.680e+1,
415.196,,7.205e+4
415.7506,7.013e+1,
416.0258,2.425e+2,
416.3303,8.455e+1,
417.1124,6.881e+1,
417.231,1.084e+2,
417.7481,1.889e+2,
418.731,1.012e+3,
419.0423,1.616e+1,
419.6546,,9.735e+4
421.6542,3.510e+1,
