Ritz wavelength (nm),Li I (2.0e-02),Li II (9.8e-01),Li III (1.7e-28)
208.192538,,,2.209e-69
208.195216,,,1.155e-69
208.207444,,,1.153e-70
208.211294,,,5.774e-70
208.225239,,,7.267e-69
208.225292,,,3.974e-69
208.230652,,,4.416e-70
208.235263,,,1.038e-68
208.237943,,,5.190e-70
208.243267,,,1.177e-70
208.245564,,,2.304e-70
232.9801,,3.794e-25,
232.9838,,2.277e-25,
236.78,,1.019e-25,
240.2301,,3.113e-25,
240.2323,,1.038e-25,
240.2324,,5.812e-25,
240.2362,,1.038e-25,
240.2437,,1.384e-25,
250.694,,4.342e-25,
250.698,,7.370e-25,
250.701,,3.439e-25,
250.8785,,4.851e-25,
250.886,,8.514e-26,
253.9487,,3.761e-25,
255.95,,2.339e-25,
260.5045,,7.485e-25,
260.5071,,2.495e-25,
260.5073,,1.397e-24,
260.5117,,2.495e-25,
260.5205,,3.327e-25,
265.7332,,2.004e-25,
267.4415,,1.222e-24,
267.4463,,7.333e-25,
272.8202,,2.252e-25,
272.828,,1.296e-24,
272.8326,,2.094e-24,
272.8366,,9.125e-25,
273.0472,,1.259e-24,
273.0551,,2.548e-25,
274.1203,1.932e+2,,
276.6989,,9.224e-25,
291.4987631,,,3.853e-72
291.5009894,,,2.390e-72
291.5271194,,,9.660e-72
291.5271663,,,6.934e-72
291.5360516,,,1.419e-71
291.5360676,,,1.380e-71
291.5403701,,,1.840e-71
295.2733,,7.335e-25,
302.9078,,2.557e-24,
302.9114,,8.525e-25,
302.9115,,4.773e-24,
302.9176,,8.524e-25,
302.9294,,1.137e-24,
315.5263,,4.630e-25,
315.5369,,7.718e-25,
319.6216,,1.121e-24,
319.6318,,5.131e-24,
319.6381,,8.582e-24,
319.6435,,3.752e-24,
319.9332,,4.962e-24,
319.9435,,1.268e-24,
324.9868,,3.272e-24,
330.6284,,3.287e-25,
367.169,1.074e+2,,
367.174,1.933e+2,,
368.4602,,6.980e-24,
368.47,,4.188e-24,
368.4754,,1.396e-24,
372.089,1.614e+2,,
372.094,2.906e+2,,
379.502,2.606e+2,,
379.507,4.690e+2,,
391.5292,4.702e+2,,
391.5342,8.467e+2,,
413.2557,1.011e+3,,
413.2613,1.829e+3,,
413.2615,2.025e+2,,
415.6447,,4.154e-24,
427.3124,1.957e+2,,
432.5342,,1.683e-23,
432.5415,,5.611e-24,
432.5419,,3.142e-23,
432.5542,,5.610e-24,
432.5784,,7.482e-24,
449.8225056,,,2.966e-71
449.8277799,,,1.766e-71
449.866202,,,8.831e-72
449.8846443,,,8.664e-71
449.8847465,,,5.337e-71
449.903223,,,1.964e-70
449.9032561,,,1.238e-70
449.9118883,,,2.546e-70
449.9157307,,,7.275e-72
460.2821,2.941e+3,,
460.2889,5.294e+3,,
460.2893,5.884e+2,,
467.14,,1.586e-23,
467.153,,2.113e-24,
467.1629,,4.852e-23,
467.1764,,8.782e-23,
467.188,,3.863e-23,
467.8056,,4.634e-23,
467.829,,1.795e-23,
478.8362,,2.366e-23,
484.292,,1.787e-24,
484.2944,,9.568e-25,
488.1216,,4.124e-24,
488.1471,,6.874e-24,
488.1685,,1.375e-24,
497.1659,3.211e+2,,
497.1743,6.421e+2,,
503.7914,,2.552e-24,
519.917,,1.330e-25,
519.919,,2.482e-25,
540.17,,2.085e-25,
540.19,,2.622e-25,
540.21,,4.468e-25,
540.665,,2.936e-25,
546.628,,1.791e-25,
548.3462,,5.418e-20,
548.4403,,2.710e-19,
548.5086,,1.626e-19,
565.388,,1.478e-25,
610.353,1.684e+4,,
610.364,3.031e+4,,
610.366,3.367e+3,,
625.219,,4.503e-25,
625.222,,5.819e-25,
654.566,,1.376e-25,
654.595,,5.452e-25,
654.611,,6.701e-25,
654.64,,1.168e-24,
655.319,,7.512e-25,
655.364,,1.557e-25,
664.162,,4.359e-25,
670.776,8.284e+4,,
670.791,4.142e+4,,
812.622,2.725e+3,,
812.645,5.449e+3,,
822.591,,4.125e-25,
828.097144,,,2.009e-72
828.202072,,,5.429e-72
828.202245,,,3.615e-72
828.232863,,,1.143e-71
828.232917,,,7.755e-72
828.247003,,,2.155e-71
828.247029,,,1.482e-71
828.255001,,,2.645e-71
905.701,,2.773e-25,
921.75,9.754e+1,,
941.528,,4.330e-25,
941.529,,9.742e-25,
941.534,,1.819e-24,
941.563,,3.248e-25,
941.593,,3.247e-25,
