Ritz wavelength (nm),Lu I (1.7e-02),Lu II (9.4e-01)
219.5556,,1.279e+5
261.5412,,2.009e+6
272.8944,9.422e+2,
275.4168,,2.586e+5
288.514,1.249e+3,
289.4839,,4.667e+5
290.3046,2.808e+2,
291.1394,,8.962e+5
298.9281,2.573e+3,
307.7605,,5.594e+5
308.0133,4.908e+2,
308.1475,9.314e+3,
311.8432,4.846e+3,
317.1366,3.367e+3,
325.4312,,2.707e+5
327.8967,5.800e+3,
328.1749,2.079e+4,
331.211,1.672e+4,
335.956,2.420e+4,
337.6495,1.087e+4,
338.5517,2.551e+3,
339.6797,3.405e+3,
350.738,,1.850e+5
350.8421,3.770e+3,
356.7847,8.152e+3,
363.625,8.406e+2,
364.7782,4.682e+3,
384.1194,3.131e+3,
396.8461,3.708e+2,
405.4451,7.192e+2,
412.4724,6.652e+3,
415.4094,8.551e+2,
430.957,1.107e+2,
451.856,3.697e+3,
465.801,8.392e+2,
481.504,8.717e+1,
494.232,2.352e+2,
500.114,2.042e+3,
513.508,2.424e+3,
520.649,4.589e+1,
540.257,4.613e+2,
573.654,5.067e+2,
600.449,3.127e+3,
605.502,3.537e+2,
622.189,,1.465e+5
647.768,2.109e+1,
