Ritz wavelength (nm),Mg I (3.8e-02),Mg II (9.5e-01),Mg III (8.2e-03)
180.065,,,9.450e-22
182.0419,,,1.263e-22
182.79351,8.663e+2,,
183.8323,,,1.445e-22
183.9886,,,3.857e-23
185.8194,,,4.807e-20
186.8209,,,2.046e-22
187.9494,,,1.188e-19
188.733,,,5.117e-23
189.6303,,,1.804e-20
190.156,,,3.987e-23
190.1578,,,2.054e-20
190.8499,,,6.601e-20
191.8767,,,2.088e-22
192.1374,,,1.530e-23
192.3891,,,9.249e-20
193.0364,,,1.930e-23
193.0673,,,1.367e-19
193.7838,,,5.483e-20
193.8943,,,6.071e-23
194.1487,,,1.297e-23
194.1506,,,1.404e-20
195.4832,,,5.394e-23
196.2146,,,5.252e-23
197.1523,,,4.789e-23
197.7551,,,3.972e-20
197.932,,,5.239e-20
197.9434,,,3.765e-24
200.4862,,,2.042e-20
202.58242,6.440e+3,,
203.9549,,,1.748e-19
205.5483,,,1.441e-19
206.4905,,,7.209e-19
208.5886,,,6.046e-20
209.1959,,,2.917e-19
209.7934,,,9.197e-20
211.2776,,,1.141e-19
213.4049,,,1.013e-19
217.7697,,,1.705e-19
225.3869,,2.277e+1,
225.3913,,1.596e+1,
232.9562,,3.461e+1,
232.9609,,2.424e+1,
239.5157,,,2.804e-19
244.9561,,7.133e+1,
244.9613,,5.003e+1,
246.7756,,,1.160e-19
249.0535,,,5.354e-23
252.9194,,,3.173e-20
261.8007,,,3.695e-23
266.0754,,1.880e+2,
266.0817,,1.317e+2,
273.1994,2.375e+2,,
273.34941,5.320e+2,,
273.65414,9.937e+2,,
277.669,8.043e+3,,
277.8271,6.687e+3,,
277.982,4.997e+3,,
277.9834,2.492e+4,,
278.1416,6.667e+3,,
278.2971,7.863e+3,,
279.0777,,1.043e+5,
279.5528,,5.677e+6,
279.793,,2.076e+4,
279.7998,,1.869e+5,
280.2705,,2.838e+6,
280.9755,1.112e+2,,
280.9756,8.852e+2,,
281.1048,4.967e+2,,
281.105,1.110e+2,,
281.1051,1.070e+2,,
281.1777,1.070e+2,,
281.178,3.212e+2,,
284.67167,5.358e+2,,
284.8344,4.033e+2,,
284.83456,1.207e+3,,
285.1654,4.008e+2,,
285.16562,2.243e+3,,
285.21261,3.041e+5,,
291.5453,1.472e+3,,
292.8633,,1.844e+4,
293.651,,3.687e+4,
294.1994,3.193e+2,,
309.1064,1.783e+3,,
309.2982,1.200e+3,,
309.29863,3.597e+3,,
309.6887,1.193e+3,,
309.68911,6.679e+3,,
310.4715,,7.655e+2,
310.4805,,5.360e+2,
333.21458,7.848e+2,,
333.6674,1.308e+3,,
353.8812,,2.605e+1,
362.7628,2.022e+1,,
382.93547,1.124e+4,,
383.22993,8.426e+3,,
383.23039,2.521e+4,,
383.82919,4.696e+4,,
383.82946,8.397e+3,,
389.0178,1.994e+2,,
389.1906,4.486e+2,,
389.3304,1.493e+2,,
389.5572,8.321e+2,,
389.8059,1.490e+2,,
393.84,2.426e+2,,
398.67533,3.364e+2,,
405.75052,4.962e+2,,
416.72713,7.276e+2,,
435.19057,1.101e+3,,
438.4637,,7.201e+1,
439.0572,,1.289e+2,
443.3988,,5.361e+1,
443.6491,,1.358e+1,
443.6593,,9.497e+0,
448.1126,,7.628e+3,
448.115,,3.806e+2,
448.1325,,5.328e+3,
470.29908,1.620e+3,,
473.9593,,2.059e+1,
473.9709,,1.441e+1,
516.73213,3.266e+3,,
517.26844,9.740e+3,,
518.36043,1.621e+4,,
526.422,,4.194e+1,
526.4364,,2.947e+1,
552.84047,1.524e+3,,
634.6742,,1.086e+2,
634.6964,,7.586e+1,
787.7054,,1.144e+3,
789.604,,2.278e+2,
789.6366,,2.051e+3,
821.3041,3.425e+2,,
821.3987,,2.458e+2,
823.4636,,4.907e+2,
874.5663,,2.405e+1,
880.6756,3.208e+3,,
910.178,,1.186e+1,
921.825,,3.042e+3,
924.4265,,1.514e+3,
925.5778,7.369e+2,,
941.4959,3.257e+2,,
