Ritz wavelength (nm),Mn I (3.3e-02),Mn II (9.6e-01)
181.3871,,7.808e+1
181.5236,,9.921e+1
181.6282,,8.271e+1
181.75331,,1.106e+3
182.2206,,6.728e+1
182.3689,,1.405e+2
182.7077,,3.360e+2
182.8246,,9.009e+1
183.4573,,7.440e+1
183.71334,,7.906e+2
184.77379,,1.826e+3
184.7776,,5.994e+1
184.8156,,5.113e+1
184.8261,,1.041e+2
185.08705,,1.382e+3
185.1619,,5.673e+1
185.2805,,5.585e+1
185.32659,,1.345e+4
185.4896,,1.316e+2
185.6701,,5.846e+1
185.7007,,1.261e+2
186.05108,,1.111e+3
186.2808,,1.145e+2
186.4613,,1.883e+2
186.5546,,7.910e+1
190.29467,,2.332e+3
190.78369,,1.156e+3
190.89084,,1.366e+3
191.14089,,9.305e+3
191.46813,,1.856e+3
191.50971,,1.706e+4
191.86386,,1.382e+3
191.96473,,2.169e+3
192.00124,,4.497e+3
192.12495,,2.203e+4
192.30662,,1.572e+3
192.33385,,2.017e+3
192.4957,,3.004e+2
192.55114,,1.941e+3
192.65768,,4.647e+3
192.69446,,1.108e+3
193.0442,,7.224e+1
193.14106,,1.825e+3
193.5067,,6.143e+2
193.6725,,7.704e+1
194.2642,,2.107e+2
194.3537,,4.090e+2
194.4162,,1.994e+2
194.4364,,2.116e+2
194.479,,1.039e+2
194.5137,,3.066e+2
194.6351,,9.970e+1
194.7936,,4.100e+2
194.8274,,9.817e+1
195.01411,,1.517e+3
195.0918,,1.234e+2
195.3232,,5.092e+2
195.3343,,1.372e+2
195.4847,,1.174e+2
195.89218,,5.093e+2
195.92465,,3.196e+3
196.0359,,7.380e+1
196.92311,,9.675e+2
199.42184,,1.708e+3
200.1896,,1.047e+2
203.73039,,4.783e+3
203.76474,,3.406e+3
203.99717,,2.766e+3
207.6217,,1.663e+3
208.47656,,1.901e+3
208.8924,,4.689e+2
209.74753,,1.835e+3
210.24965,,9.097e+2
211.39784,,1.847e+3
211.9437,,1.901e+2
211.97742,,1.072e+3
213.34555,,8.808e+2
222.99399,,1.640e+3
222.99967,,1.391e+3
223.16576,,1.222e+3
232.0386,,3.117e+3
233.2135,,3.249e+2
233.3234,,2.530e+2
236.6894,,6.421e+2
237.3359,,4.238e+3
239.7286,,2.253e+2
239.787,,2.631e+2
239.8247,,5.462e+1
239.8794,,3.107e+2
239.9062,,8.771e+1
240.0151,,3.925e+2
240.0219,,9.643e+1
240.1948,,8.862e+1
240.2079,,5.114e+2
242.73748,,3.144e+3
242.7716,,5.287e+3
242.7939,,4.761e+3
243.6538,,4.788e+2
243.7367,,8.788e+3
243.78463,,6.842e+3
243.8191,,2.644e+3
244.0454,,3.811e+2
244.1056,,5.745e+2
244.1472,,3.276e+1
244.6391,,6.787e+2
244.6589,,4.411e+1
244.9742,,2.933e+2
245.2162,,4.242e+1
245.232,,8.113e+2
245.2491,,1.710e+4
245.3132,,5.225e+3
245.36177,,9.615e+2
245.7784,,1.229e+2
245.8577,,9.526e+2
245.87354,,3.056e+2
246.2125,,4.071e+1
246.2408,,1.403e+2
246.62136,,2.559e+3
246.64128,,1.739e+3
246.7683,,4.305e+1
246.7755,,1.714e+2
247.285,,1.416e+3
247.3555,,2.279e+2
247.3694,,3.069e+1
247.9351,,3.361e+2
248.61474,,1.626e+3
248.842,,4.172e+2
249.09086,,2.363e+3
249.90029,,6.226e+3
250.75956,,2.323e+3
250.7814,,3.335e+2
251.42,,1.269e+3
251.66,,9.452e+2
251.6739,,5.667e+3
251.8178,,8.992e+2
251.9309,,4.032e+2
252.00911,,8.007e+2
252.025,,5.896e+2
252.0519,,1.020e+3
252.0614,,5.077e+2
252.3008,,8.401e+2
252.8005,,1.161e+3
253.27771,,2.918e+3
253.33304,,2.136e+3
253.4216,,3.242e+3
253.50332,,5.699e+2
253.56594,,4.089e+3
253.59771,,1.173e+3
253.79233,,7.317e+3
253.80444,,2.744e+3
254.29265,,5.387e+3
254.34567,,9.515e+3
254.6704,,2.593e+2
254.8371,,3.603e+2
254.87498,,1.150e+4
254.93229,,2.402e+2
254.98249,,2.766e+2
255.1526,,4.914e+2
255.1851,,3.110e+3
255.18576,,6.247e+2
255.31617,,7.288e+2
255.45209,,5.224e+2
255.6572,,1.294e+4
255.6895,,3.554e+3
255.7543,,5.995e+3
255.75973,,3.258e+3
255.83045,,1.302e+3
255.86072,,2.356e+4
255.88628,,1.953e+3
255.94156,,5.183e+3
255.96745,,8.636e+2
255.97394,,1.260e+3
256.22597,,1.249e+3
256.3644,,3.163e+4
256.38453,,7.805e+2
256.41126,,4.949e+2
256.52227,,3.674e+3
256.8717,,1.489e+3
257.09202,,8.009e+2
257.09618,,6.897e+2
257.2422,,6.122e+2
257.610377,,1.040e+6
257.6174,,1.181e+3
257.82715,,2.279e+3
257.88116,,8.627e+3
258.2977,,3.543e+3
258.3546,,1.250e+3
258.4511,,1.528e+3
258.51224,,7.458e+2
258.54358,,2.775e+3
258.58832,,4.424e+3
258.7294,,8.923e+2
258.8973,,6.973e+3
258.97252,,1.017e+4
258.98172,,9.559e+2
258.99791,,2.123e+3
259.01513,,7.119e+2
259.0152,,5.762e+3
259.02937,,1.626e+3
259.06668,,5.707e+2
259.12393,,4.016e+3
259.14263,,4.368e+3
259.2039,,1.428e+3
259.3297,,6.528e+3
259.372102,,8.240e+5
259.5651,,1.356e+3
259.7574,,1.642e+2
259.8247,,1.008e+3
259.8812,,7.675e+2
259.88993,,5.861e+3
259.89038,,7.352e+3
259.9006,,5.779e+2
259.95526,,7.376e+2
260.1836,,8.740e+2
260.1986,,1.209e+3
260.2724,,7.857e+3
260.30335,,2.214e+3
260.3261,,7.174e+2
260.3719,,8.969e+3
260.3841,,4.715e+2
260.43004,,7.952e+2
260.568028,,5.864e+5
260.5749,,8.969e+3
260.6107,,1.234e+3
260.62593,,9.571e+2
260.68387,,5.873e+2
260.8428,,1.249e+3
260.8809,,1.424e+3
260.95583,,2.058e+3
261.0202,,6.501e+4
261.0566,,8.989e+2
261.08486,,6.717e+2
261.2624,,1.281e+3
261.6528,,9.341e+2
261.8146,,5.509e+4
261.89198,,1.305e+3
261.90035,,1.793e+3
261.9297,,2.499e+3
262.47572,,1.887e+3
262.49562,,8.415e+2
262.5608,,4.229e+4
262.6464,,1.230e+3
262.70557,,7.614e+2
262.82879,,2.187e+3
262.8506,,1.741e+2
262.87669,,6.907e+2
263.1972,,1.145e+3
263.23533,,3.635e+4
263.55868,,5.066e+2
263.56229,,1.683e+3
263.78783,,2.850e+3
263.8171,,2.856e+4
263.98473,,1.663e+4
264.22366,,2.620e+2
264.27758,,2.888e+2
264.76261,,4.429e+2
264.80521,,2.059e+3
264.89401,,6.226e+3
265.1035,,2.629e+3
265.18619,,5.271e+2
265.24995,,3.122e+3
265.58082,,1.041e+3
265.5921,,1.534e+4
265.6173,,3.189e+3
265.90889,,1.268e+3
266.25416,,1.435e+3
266.6724,,6.753e+3
266.68933,,3.475e+3
266.70271,,1.042e+4
267.1801,,6.013e+2
267.18185,,8.673e+2
267.25798,,2.151e+4
267.33791,,6.291e+3
267.44397,,2.935e+3
267.4756,,4.923e+3
267.49823,,3.775e+3
267.5514,,9.714e+2
267.5518,,3.915e+3
267.72453,,1.001e+3
267.7848,,3.050e+3
267.91618,,2.796e+3
267.9947,,3.714e+3
268.03356,,2.977e+3
268.03814,,1.019e+3
268.0683,,6.338e+3
268.1252,,5.478e+3
268.45357,,4.533e+3
268.5877,,4.750e+3
268.5985,,9.355e+2
268.7364,,2.600e+3
268.7461,,6.405e+2
268.97798,,3.969e+3
269.0976,,5.985e+3
269.1715,,4.221e+2
269.198,,3.790e+3
269.2446,,3.217e+3
269.31892,,8.230e+3
269.3565,,1.550e+3
269.4089,,1.479e+3
269.4112,,8.850e+2
269.53611,,5.953e+3
269.8725,,7.820e+1
269.89845,,8.210e+3
269.98434,,1.095e+2
270.10281,,5.070e+3
270.11658,,5.684e+3
270.15252,,1.408e+2
270.1698,,5.735e+4
270.2987,,1.074e+2
270.32127,,1.800e+3
270.3975,,5.433e+3
270.4042,,1.971e+2
270.55532,,2.598e+3
270.573,,4.309e+4
270.75442,,6.612e+3
270.7908,,2.654e+2
270.84495,,2.568e+4
270.8812,,1.661e+3
270.99707,,7.194e+3
271.03337,,2.278e+4
271.0628,,7.318e+3
271.11193,,3.931e+1
271.15615,,4.205e+3
271.16226,,1.802e+4
271.45788,,3.447e+1
271.4738,,1.164e+2
271.5697,,3.755e+2
271.67926,,2.661e+3
271.69922,,4.480e+1
271.75243,,1.303e+3
271.90029,,2.524e+3
271.9311,,5.221e+3
271.97357,,5.213e+3
271.9738,,5.431e+2
271.9896,,7.252e+3
272.1661,,2.913e+1
272.20846,,6.124e+3
272.21048,,6.973e+2
272.44579,,6.398e+3
272.7586,,3.565e+3
272.8074,,2.938e+2
272.8615,,1.503e+4
272.8617,,7.640e+3
272.9611,,4.852e+1
273.38901,,4.953e+2
273.70169,,5.852e+2
273.7112,,4.756e+2
273.75696,,2.568e+3
273.82949,,1.097e+2
274.0234,,1.858e+2
274.07833,,1.503e+3
274.24637,,8.045e+1
274.49012,,3.202e+2
274.54831,,4.163e+2
274.5734,,2.234e+2
274.7321,,5.901e+2
274.79566,,5.756e+2
274.87019,,6.378e+2
274.9566,,3.288e+1
275.0125,,1.984e+3
275.34547,,2.835e+2
275.39816,,3.073e+2
275.63229,,7.731e+2
275.80766,,7.789e+2
275.84358,,6.606e+2
275.9432,,8.823e+1
276.1013,,2.557e+3
276.20767,,3.090e+3
276.36529,,1.300e+3
276.37625,,3.629e+2
276.56548,,6.012e+2
276.7807,,9.077e+2
276.7848,,5.490e+2
276.79338,,1.300e+3
276.84512,,3.937e+3
276.93211,,5.350e+2
276.9641,,1.793e+3
277.15316,,7.525e+2
277.4981,,1.244e+3
277.5319,,2.406e+2
277.5386,,3.497e+2
277.5637,,1.477e+2
277.56428,,4.120e+3
277.6126,,3.019e+1
277.73803,,4.003e+2
277.7778,,1.055e+3
278.19356,,1.946e+2
278.21446,,1.550e+3
278.42133,,2.039e+3
278.50431,,5.251e+3
278.64634,,4.514e+2
278.93061,,2.346e+2
278.99826,,2.116e+3
279.086,,2.303e+2
279.3228,,2.669e+2
279.37304,,3.004e+2
279.4817,4.987e+4,
279.51655,,1.334e+4
279.61054,,5.493e+3
279.7569,,2.871e+2
279.8269,3.659e+4,
280.1081,2.518e+4,
280.33474,,5.114e+2
280.53584,,5.155e+3
280.6036,,3.404e+1
280.6511,,3.402e+2
280.69,,4.188e+2
280.9792,,5.076e+2
281.0242,,1.872e+3
281.1507,,7.510e+2
281.19716,,5.203e+1
281.22609,,3.116e+3
281.25897,,6.346e+3
281.2713,,4.728e+2
281.45613,,5.485e+1
281.50199,,9.067e+3
281.63289,,3.065e+3
281.641,,5.614e+1
281.73182,,7.805e+2
281.7734,,3.301e+2
281.7948,,6.599e+2
281.9982,,4.275e+1
282.46819,,1.818e+3
282.8471,,3.493e+2
282.88436,,2.731e+1
283.0719,,2.772e+3
284.0352,,3.953e+2
284.6037,,1.607e+3
285.52033,,5.228e+2
285.6237,,4.920e+2
286.1303,,7.333e+1
286.1542,,2.312e+2
286.2403,,2.064e+2
286.48012,,3.437e+2
286.51811,,9.430e+1
286.6527,,7.218e+1
286.79885,,1.886e+2
286.89026,,1.531e+2
286.96287,,5.372e+2
287.0084,,9.581e+3
287.06752,,3.405e+1
287.153,,1.321e+2
287.16844,,9.385e+1
287.29381,,4.909e+3
287.3124,,1.467e+2
