Ritz wavelength (nm),Mo I (2.8e-02)
254.8224,1.247e+2
256.70492,3.405e+2
261.12016,4.191e+2
261.30842,4.905e+2
261.67862,4.408e+2
262.10631,9.044e+1
262.89622,1.037e+2
262.9849,6.412e+2
263.1502,9.659e+1
263.83048,4.589e+2
264.0984,6.925e+2
264.4362,1.675e+2
264.94583,1.033e+3
265.50199,3.196e+2
265.811,5.329e+2
266.50937,1.431e+2
267.98544,1.676e+3
268.41595,4.429e+2
270.10271,7.956e+1
270.61144,1.433e+2
271.07389,6.703e+1
272.51468,2.041e+2
272.87046,5.544e+1
273.33871,2.937e+2
274.30655,3.229e+1
274.3712,1.139e+2
274.53846,1.063e+2
275.14667,3.186e+2
275.62563,5.691e+1
276.15311,3.022e+2
276.30235,6.828e+1
276.625,9.126e+1
278.78304,2.785e+2
279.29625,7.190e+1
279.79312,1.105e+2
280.14679,1.501e+2
282.56762,1.226e+2
282.67461,2.097e+2
286.46559,1.484e+2
287.65403,1.349e+2
288.66023,2.745e+2
290.52658,1.588e+2
290.60566,1.524e+2
291.35163,8.485e+1
291.53766,1.384e+2
291.88399,7.239e+1
293.03939,1.174e+2
293.65029,1.464e+2
294.54257,1.573e+2
294.56635,2.521e+2
294.60064,1.657e+2
295.14454,7.687e+1
295.94765,1.316e+2
297.29586,1.654e+2
297.72682,1.619e+2
297.82805,1.473e+2
298.15158,1.095e+2
298.30453,6.074e+1
298.79179,2.998e+2
298.82296,2.109e+2
298.86762,1.007e+2
298.97993,4.643e+2
300.0236,9.116e+1
300.04418,5.655e+1
300.08534,1.288e+2
300.14332,8.208e+1
300.77129,6.780e+1
301.33895,2.854e+2
301.67795,1.619e+2
302.5001,3.977e+2
303.63105,2.713e+2
304.16988,7.548e+2
304.68024,2.100e+2
304.7308,5.272e+2
305.5318,3.581e+2
305.75564,1.311e+2
306.15884,2.657e+2
306.4274,1.324e+3
306.50409,4.803e+2
306.95113,7.546e+1
306.99636,1.384e+2
307.08933,2.498e+2
307.43689,1.897e+3
307.98793,5.606e+2
308.04039,4.011e+2
308.11567,1.167e+2
308.56157,1.816e+3
308.91248,1.705e+2
308.97058,2.066e+2
309.46626,1.439e+3
309.99229,1.280e+2
310.08765,5.782e+2
310.13439,1.229e+3
310.63382,1.415e+2
311.21192,5.849e+2
311.75425,1.164e+2
312.30351,6.496e+1
312.50294,4.594e+1
313.25946,1.689e+4
313.58976,2.161e+2
313.67513,9.862e+1
314.27495,1.625e+2
314.73537,3.535e+2
315.519,1.104e+2
315.81657,3.510e+3
316.45323,1.319e+2
317.03428,1.054e+4
317.1383,1.165e+2
317.55907,4.304e+2
317.97821,2.389e+2
318.30336,5.017e+2
318.4576,1.956e+2
318.51043,4.575e+2
318.57121,2.604e+2
318.80967,1.881e+2
318.84067,1.871e+2
319.27916,1.697e+2
319.39775,8.657e+3
319.48769,1.099e+2
319.59598,4.081e+2
319.71827,3.892e+1
319.8854,4.436e+2
320.08872,1.050e+2
320.52161,3.799e+2
320.54343,1.743e+2
320.58871,1.185e+3
320.88373,1.596e+3
321.09655,5.030e+2
321.44407,2.036e+2
321.50711,6.123e+2
321.67775,1.322e+2
322.17341,4.144e+2
322.82118,7.779e+2
322.97953,4.049e+2
323.31407,1.212e+3
323.70611,7.272e+2
324.44708,1.037e+2
324.76144,2.493e+2
324.99255,8.622e+1
325.16471,1.380e+2
325.62077,6.097e+2
325.67184,3.039e+1
325.91571,1.240e+2
326.26264,4.151e+2
326.44011,7.463e+2
326.51424,1.669e+2
326.61577,1.333e+2
327.0899,7.181e+2
327.60724,9.393e+1
328.50259,1.369e+2
328.53135,1.863e+1
328.53554,4.978e+2
328.73826,1.108e+2
328.74255,4.140e+1
328.90107,1.257e+3
329.08197,7.873e+2
330.55624,1.772e+2
