Ritz wavelength (nm),N I (9.5e-01),N II (5.3e-02),N III (2.7e-10)
180.08,,,1.598e-23
180.164,,,1.606e-23
180.234,,,3.929e-23
180.325,,,1.305e-23
180.353,,,1.309e-23
180.444,,,7.870e-23
180.449,,,1.411e-18
180.566,,,2.810e-18
181.078,,,1.232e-22
182.137,,,3.178e-26
183.1586,,7.646e-7,
183.557,,,1.380e-22
183.6172,,1.948e-6,
183.955,,,9.256e-23
184.3357,,8.059e-7,
184.5616,,2.352e-6,
184.569,,,2.078e-22
184.575,,,3.334e-22
184.587,,,5.073e-22
184.614,,,8.307e-23
184.641,,,7.355e-22
184.649,,,1.079e-22
184.683,,,8.411e-23
185.787,,5.821e-6,
185.8545,,2.776e-6,
185.926,,1.089e-5,
185.9636,,1.620e-6,
186.2588,,1.697e-6,
188.506,,,1.728e-18
188.522,,,2.451e-18
188.526,,,1.230e-19
188.7404,,7.755e-6,
190.6173,,1.396e-7,
190.792,,,3.912e-22
190.808,,,5.588e-22
190.8295,,2.321e-7,
190.894,,,2.789e-23
191.755,,,1.091e-23
191.849,,,1.805e-23
191.93,,,9.873e-23
191.956,,,1.161e-22
191.978,,,9.035e-23
192.064,,,4.393e-22
192.085,,,9.056e-23
192.131,,,2.292e-22
194.704,,,3.926e-22
194.928,,,9.135e-22
194.99,,,3.681e-22
195.152,,,1.173e-22
195.233,,,7.368e-23
195.377,,,3.944e-22
195.396,,,3.671e-22
198.508,,,1.769e-22
198.607,,,3.184e-22
199.1301,,1.641e-6,
199.728,,,4.391e-26
199.939,,,8.335e-26
204.4761,,3.364e-7,
207.6947,,1.652e-6,
207.997,,9.584e-7,
209.1312,,5.906e-7,
209.419,,5.967e-7,
209.5529,,3.290e-6,
209.6198,,7.985e-7,
209.6859,,1.785e-6,
211.758,,,4.017e-23
212.15,,,5.373e-23
213.018,,1.148e-6,
214.569,,,2.713e-23
214.731,,,1.834e-22
214.785,,,7.188e-23
214.799,,,1.931e-23
214.809,,,1.270e-22
214.851,,,8.392e-23
214.899,,,3.793e-23
214.902,,,5.251e-23
215.9927,,4.516e-7,
219.7506,,5.483e-7,
220.3632,,3.313e-7,
220.6087,,9.583e-7,
224.28,,,4.653e-22
224.441,,,6.626e-22
224.795,,,2.983e-19
224.893,,,1.657e-19
226.733,,,3.560e-23
228.3639,,6.000e-7,
228.6687,,1.794e-6,
228.8405,,4.821e-7,
229.0255,,3.623e-7,
229.166,,3.802e-7,
229.2657,,4.849e-7,
229.332,,6.015e-7,
230.549,,,1.366e-25
231.6489,,3.414e-6,
231.668,,2.317e-6,
231.7039,,4.888e-6,
231.9947,,4.298e-7,
232.1664,,4.253e-7,
232.634,,3.673e-7,
233.354,,,6.453e-22
233.49,,,1.159e-21
235.503,,,1.059e-25
235.796,,,2.015e-25
236.749,,,7.067e-23
237.056,,,4.696e-23
237.253,,,2.340e-23
239.0869,,4.054e-7,
246.127,,1.828e-6,
248.456,,,1.132e-22
248.643,,,6.303e-23
249.0245,,1.033e-6,
249.3177,,3.065e-7,
249.3934,,3.045e-7,
249.681,,9.158e-7,
252.0215,,9.898e-7,
252.0791,,2.219e-6,
252.2235,,4.111e-6,
252.2459,,7.400e-7,
252.4505,,7.360e-7,
259.0938,,2.713e-6,
262.323,,,8.015e-22
268.691,,,1.978e-21
268.921,,,2.819e-21
270.9841,,4.348e-6,
273.4735,,2.237e-7,
279.9218,,2.205e-6,
282.3631,,5.106e-6,
295.01,,,4.129e-22
297.255,,,2.153e-21
298.364,,,5.367e-21
300.683,,3.351e-5,
302.3669,,1.557e-6,
322.352,,,5.203e-25
322.92,,,7.808e-25
330.403,,,3.935e-21
330.663,,,7.059e-21
331.8097,,1.177e-5,
332.4575,,1.212e-5,
332.8724,,6.859e-5,
332.9701,,2.292e-5,
333.011,,,4.238e-19
333.0317,,1.689e-5,
333.1307,,3.767e-5,
335.398,,,1.157e-19
335.432,,,1.239e-19
335.546,,,1.699e-20
336.098,,,3.685e-20
336.58,,,1.154e-19
336.736,,,2.856e-19
337.407,,,1.228e-19
340.8127,,2.632e-5,
343.7145,,2.632e-4,
359.3597,,8.477e-6,
360.9097,,6.016e-6,
361.5864,,2.190e-6,
375.469,,,8.404e-20
377.103,,,1.243e-19
381.8268,5.962e-1,,
382.2034,1.236e+0,,
382.9795,,1.695e-5,
383.0434,3.111e+0,,
383.4224,6.315e-1,,
383.8374,,4.890e-5,
384.2187,,1.306e-5,
384.7404,,9.471e-6,
385.5096,,1.262e-5,
385.6062,,1.583e-5,
388.7572,1.475e+0,,
389.2205,2.629e+0,,
391.3892,,3.200e-7,
391.5414,,5.917e-7,
391.5572,,1.427e-7,
391.9001,,7.196e-5,
391.9648,,1.068e-7,
392.464,,1.057e-7,
393.45,,,1.340e-20
393.851,,,2.396e-20
395.5851,,1.380e-4,
399.4997,,1.391e-3,
399.863,,,1.707e-20
400.358,,,2.431e-20
402.4563,4.438e-1,,
409.736,,,9.458e-16
409.9943,2.897e+0,,
410.339,,,4.734e-16
410.79,4.086e-1,,
410.9949,4.856e+0,,
411.3974,5.511e-1,,
412.4081,,3.689e-7,
413.3673,,6.109e-7,
413.64,,,4.616e-23
414.159,,,1.581e-24
414.343,7.424e-1,,
414.5774,,8.484e-7,
414.678,,,5.812e-24
415.1481,1.231e+0,,
415.21,,,3.085e-24
419.574,,,9.009e-20
420.007,,,1.598e-19
422.7736,,3.938e-5,
424.987,3.203e-1,,
426.4,5.590e-1,,
427.328,2.751e-1,,
427.813,1.263e+0,,
429.321,1.972e+0,,
434.581,,,8.028e-21
435.629,2.683e+0,,
439.241,2.109e-1,,
443.511,3.697e-1,,
443.543,1.858e-1,,
444.214,1.744e-1,,
444.245,9.424e-1,,
444.703,,2.586e-4,
447.7682,,7.123e-6,
450.756,,1.371e-5,
451.088,,,1.107e-19
451.096,,,2.767e-19
451.485,,,5.196e-19
451.814,,,1.106e-19
452.356,,,1.407e-19
452.786,,,3.958e-21
453.458,,,1.166e-19
453.505,,,7.921e-21
453.97,,,5.661e-21
454.484,,,1.130e-20
454.633,,,1.183e-20
459.198,,,2.658e-21
460.1478,,3.929e-4,
460.516,,,1.893e-24
460.7153,,3.369e-4,
461.055,,,3.750e-21
461.3868,,2.267e-4,
461.639,,,4.376e-24
462.104,,,1.757e-24
462.1393,,3.237e-4,
463.0539,,1.324e-3,
463.413,,,4.787e-17
464.064,,,8.574e-17
464.196,,,1.871e-24
464.3086,,4.695e-4,
464.604,,,1.746e-24
465.4531,,3.398e-5,
466.291,4.281e-1,,
466.9893,8.926e-1,,
467.068,7.654e-1,,
467.4908,,3.058e-5,
469.4274,,1.308e-8,
469.5899,,2.284e-8,
469.8554,,1.302e-8,
470.0032,,2.599e-8,
470.2503,,1.620e-8,
470.4247,,2.265e-8,
470.64,,1.935e-8,
470.9584,,4.506e-8,
471.2065,,2.585e-8,
471.8377,,9.596e-8,
472.1577,,1.919e-8,
477.4244,,6.772e-6,
477.6224,,1.642e-7,
477.9722,,3.305e-5,
478.119,,5.907e-6,
478.8138,,5.514e-5,
479.3648,,1.026e-5,
480.3287,,9.752e-5,
481.0299,,1.048e-5,
485.87,,,1.328e-20
485.898,,,2.125e-20
486.127,,,3.213e-20
486.717,,,4.625e-20
489.5117,,6.839e-5,
490.478,,,4.397e-21
493.5117,1.209e+0,,
498.7376,,2.564e-5,
499.1243,,6.878e-7,
499.436,,7.089e-7,
499.437,,7.864e-5,
499.7224,,2.292e-7,
500.1134,,2.395e-4,
500.1474,,3.586e-4,
500.2703,,1.102e-4,
500.515,,5.004e-4,
500.53,,1.265e-7,
500.7328,,1.378e-4,
501.0621,,2.778e-4,
501.1314,,6.829e-7,
501.2036,,1.404e-6,
501.6381,,3.945e-5,
502.3053,,7.014e-7,
502.5659,,3.586e-5,
504.5099,,4.459e-4,
504.6538,,8.629e-8,
510.4445,,3.683e-6,
516.805,,5.419e-8,
517.0156,,6.955e-8,
517.1266,,3.089e-8,
517.1469,,1.438e-7,
517.2344,,1.357e-7,
517.2973,,6.803e-8,
517.3385,,2.319e-7,
517.4462,,8.978e-8,
517.589,,3.603e-7,
517.6573,,2.308e-8,
517.7058,,6.789e-8,
517.9344,,2.755e-7,
517.9521,,5.250e-7,
518.0358,,9.665e-8,
518.32,,7.130e-8,
518.4961,,1.008e-7,
518.5087,,9.654e-9,
518.6206,,1.020e-8,
519.038,,7.141e-8,
519.1965,,9.597e-9,
519.9837,5.863e-1,,
520.1606,1.173e+0,,
526.252,,,2.763e-24
526.904,,,4.947e-24
531.3424,,1.600e-8,
532.0202,,4.765e-8,
532.087,,,1.052e-20
532.0958,,4.781e-8,
532.719,,,7.447e-21
532.7756,,8.822e-9,
533.8729,,4.937e-8,
534.0207,,4.914e-8,
535.1232,,9.794e-8,
545.207,,1.086e-5,
545.4215,,1.359e-5,
546.2581,,1.228e-5,
547.5287,,1.119e-6,
547.8086,,9.684e-6,
548.005,,1.593e-5,
549.5655,,4.935e-5,
552.6234,,5.263e-7,
553.0242,,1.390e-6,
553.5347,,2.654e-6,
553.5383,,6.741e-7,
554.0061,,2.997e-7,
554.3471,,8.674e-7,
554.5,5.361e-1,,
555.1922,,6.882e-7,
555.2677,,2.232e-7,
555.7383,6.269e-1,,
556.0337,2.211e+0,,
556.4265,2.522e+0,,
556.5255,,9.810e-8,
563.172,,1.882e-7,
566.663,,1.013e-3,
567.602,,4.970e-4,
567.956,,2.015e-3,
568.621,,3.160e-4,
571.077,,3.435e-4,
573.9945,6.955e-1,,
574.0457,3.535e-1,,
574.73,,9.602e-5,
575.2499,1.312e+0,,
589.315,,5.292e-7,
589.725,,2.856e-7,
589.983,,1.275e-7,
591.033,,9.485e-8,
591.407,,9.428e-8,
592.781,,4.234e-5,
593.178,,9.330e-5,
594.024,,2.947e-5,
594.165,,1.683e-4,
595.239,,2.735e-5,
595.428,,1.955e-6,
599.9431,1.568e+0,,
600.8473,3.094e+0,,
613.689,,8.694e-7,
615.075,,9.559e-7,
616.775,,1.213e-5,
617.016,,5.692e-6,
617.331,,8.666e-6,
624.241,,7.274e-6,
628.432,,4.407e-6,
632.84,,1.332e-6,
634.058,,6.627e-6,
634.686,,1.305e-6,
635.654,,3.615e-6,
635.758,,1.688e-6,
637.962,,7.919e-5,
640.7675,5.327e-1,,
642.0641,1.137e+0,,
644.0938,2.247e+0,,
646.702,,,9.307e-21
648.1706,2.973e+0,,
648.205,,5.804e-4,
648.2699,1.048e+1,,
648.3753,4.762e+0,,
648.4808,7.235e+0,,
649.1222,1.188e+0,,
649.9518,1.531e+0,,
650.461,,2.439e-6,
650.6302,1.190e+0,,
653.256,,1.211e-6,
656.02,,4.576e-7,
656.176,,5.645e-7,
656.42,,1.145e-6,
658.26,,3.414e-7,
659.567,,4.582e-7,
661.056,,1.471e-4,
661.362,,1.699e-6,
662.2543,1.066e+0,,
662.979,,5.747e-6,
663.479,,5.712e-7,
663.6938,1.266e+0,,
664.4962,4.692e+0,,
664.6503,9.908e-1,,
665.3458,2.477e+0,,
665.6509,9.863e-1,,
670.0494,1.268e+0,,
670.4839,1.266e+0,,
670.6107,3.181e+0,,
670.8759,1.615e+0,,
672.261,6.015e+0,,
672.3453,1.356e+0,,
676.961,1.029e+0,,
680.998,,4.166e-6,
683.409,,2.939e-6,
684.723,,1.062e-6,
685.703,,2.870e-8,
686.958,,4.762e-8,
688.783,,6.645e-8,
692.667,1.042e+0,,
694.175,,8.742e-7,
694.5177,2.460e+0,,
695.16,9.311e-1,,
697.9185,8.886e-1,,
698.2025,9.272e-1,,
713.885,,1.066e-6,
734.757,6.975e-1,,
735.1363,5.612e-1,,
736.6146,1.118e+0,,
737.8513,1.669e+0,,
740.6122,1.954e+0,,
740.6239,2.768e+0,,
742.3641,2.589e+1,,
744.2298,5.463e+1,,
746.8312,8.997e+1,,
748.5178,6.887e-1,,
754.6209,1.260e+0,,
755.0914,1.569e+0,,
758.7571,9.423e-1,,
762.818,6.238e-1,,
772.721,1.641e-1,,
776.224,,1.961e-5,
788.6224,5.764e-1,,
789.3976,1.032e+0,,
789.763,,1.009e-6,
789.8982,1.878e+1,,
789.9284,2.185e+0,,
791.5419,1.046e+1,,
812.9172,1.026e+0,,
816.6233,1.388e+1,,
816.6557,9.876e-1,,
818.4861,6.575e+1,,
818.8012,6.706e+1,,
820.0357,1.258e+1,,
820.1437,9.810e-1,,
820.1763,8.822e+0,,
821.0715,2.806e+1,,
821.6336,1.810e+2,,
822.3128,7.044e+1,,
824.2389,7.028e+1,,
843.874,,1.818e-5,
856.7735,1.957e+1,,
859.4,4.228e+1,,
860.433,,3.658e-7,
862.9235,1.075e+2,,
865.5748,4.172e+0,,
865.5878,2.164e+1,,
865.6112,4.630e-1,,
866.045,,3.647e-7,
866.6935,2.312e+0,,
867.609,,1.997e-6,
868.0282,2.929e+2,,
868.3403,1.642e+2,,
868.6149,6.729e+1,,
869.49,,4.833e-7,
869.899,,1.079e-6,
870.3247,6.337e+1,,
871.1703,7.548e+1,,
871.8837,5.714e+1,,
872.8901,1.100e+1,,
874.7369,5.647e+0,,
889.329,,6.596e-8,
893.003,,3.783e-7,
898.618,,1.112e-6,
901.042,,2.993e-7,
902.8922,2.757e+1,,
903.204,,2.229e-7,
904.5878,4.551e+1,,
904.9492,2.293e+0,,
904.9889,3.171e+1,,
906.0475,5.558e+1,,
906.951,,2.960e-7,
908.948,,3.647e-7,
918.7453,3.038e+1,,
918.7863,2.191e+0,,
920.7592,2.248e+0,,
920.8003,1.940e+1,,
921.706,,3.188e-7,
932.577,,1.876e-7,
934.21,,,2.527e-23
936.121,3.160e-1,,
938.212,4.518e+0,,
938.6805,9.733e+1,,
939.2793,1.704e+2,,
940.246,,,8.307e-20
946.0676,1.704e+1,,
