Ritz wavelength (nm),Na I (2.7e-02),Na II (9.7e-01),Na III (9.7e-16)
183.5214,,,7.150e-34
183.8118,,,7.324e-33
183.8927,,,9.527e-34
184.4353,,,4.980e-32
184.5143,,,8.969e-33
184.9555,,,1.550e-31
185.0379,,,4.727e-32
185.5912,,,3.062e-32
185.6697,,,7.006e-32
186.0615,,,7.848e-35
186.1209,,,2.531e-32
186.7516,,,1.032e-34
188.7472,,,4.282e-34
190.6875,,,5.128e-33
190.7,,,1.723e-32
190.714,,,2.391e-32
191.3186,,,1.073e-32
191.7343,,,1.823e-32
191.8451,,,1.608e-32
192.6259,,,1.819e-31
192.7239,,,3.975e-32
193.2736,,,5.934e-32
193.3885,,,9.858e-32
193.864,,,4.718e-35
194.6426,,,3.508e-33
194.6919,,,9.335e-36
195.0811,,,1.318e-34
195.0906,,,4.530e-33
195.1236,,,5.449e-30
197.3807,,,2.308e-33
197.415,,,1.491e-35
197.5752,,,2.973e-36
197.7161,,,2.688e-35
198.5572,,,4.075e-30
199.5677,,,8.229e-33
200.4214,,,1.039e-32
200.5216,,,2.214e-30
200.5548,,,9.376e-33
200.8468,,,1.372e-32
201.1865,,,9.067e-32
201.4169,,,1.054e-33
201.7024,,,1.566e-33
201.7246,,,9.310e-35
202.2298,,,7.670e-33
202.3228,,,3.636e-33
202.8557,,,4.354e-32
203.1128,,,3.121e-32
203.5898,,,1.721e-32
203.778,,,7.281e-33
204.1665,,,2.554e-32
204.3289,,,1.023e-31
204.4821,,,6.317e-34
204.545,,,1.743e-32
204.7992,,,7.406e-35
204.8305,,,1.565e-34
204.8725,,,4.304e-33
205.1486,,,1.043e-33
205.5185,,,6.913e-33
205.8755,,,3.688e-33
206.0363,,,8.974e-33
206.6598,,,2.028e-31
206.6714,,,7.679e-33
207.2673,,,1.767e-32
209.9563,,,5.388e-33
210.042,,,2.047e-33
210.2763,,,2.185e-32
210.4753,,,1.257e-34
210.9279,,,7.545e-35
211.2653,,,2.927e-34
211.6749,,,1.987e-32
212.0765,,,1.017e-34
212.4512,,,4.452e-34
212.6627,,,1.250e-32
214.0722,,,3.825e-31
214.1071,,,3.131e-32
214.4547,,,2.628e-31
214.5232,,,5.169e-33
214.6235,,,2.653e-34
214.8573,,,1.457e-32
215.1653,,,8.376e-33
215.9089,,,2.724e-34
217.4524,,,1.013e-32
218.5299,,,1.933e-34
218.5494,,,1.769e-34
219.0179,,,6.234e-34
220.2831,,,6.063e-30
220.8065,,,2.906e-33
221.2353,,,2.271e-34
221.7354,,,1.304e-34
222.5928,,,8.192e-30
223.0328,,,3.698e-29
223.2188,,,4.725e-30
223.9484,,,6.752e-30
224.671,,,1.933e-29
225.1473,,,7.471e-30
227.8414,,,2.957e-30
227.9482,,,3.809e-33
228.162,,,1.908e-33
228.5658,,,1.561e-30
230.9986,,,3.749e-30
238.6992,,,7.439e-31
239.3592,,,4.194e-32
239.4028,,,5.196e-31
240.6588,,,2.225e-30
245.9309,,,1.416e-29
246.8855,,,6.431e-30
247.4731,,,1.213e-29
249.3148,,9.446e-9,
249.7015,,,2.745e-29
250.6302,,9.122e-11,
251.0264,,,9.260e-30
251.5457,,1.290e-10,
253.0246,,,3.209e-30
253.154,,9.985e-11,
255.3546,,,7.613e-30
256.3304,,,6.964e-30
258.6307,,2.283e-10,
259.4959,,1.484e-10,
261.1811,,1.513e-9,
266.0997,,1.239e-9,
267.1829,,1.212e-9,
267.8085,,4.655e-10,
280.8705,,1.222e-10,
280.952,,1.145e-8,
282.9867,,1.926e-10,
283.9564,,4.155e-10,
284.1721,,3.006e-8,
285.6508,,2.080e-10,
285.9486,,4.550e-9,
286.8249,,,3.534e-34
287.1277,,5.290e-9,
287.2957,,1.508e-10,
288.1149,,1.627e-8,
288.6259,,6.258e-10,
289.3954,,1.751e-10,
290.1143,,1.031e-9,
290.4709,,6.733e-11,
290.4918,,2.460e-8,
291.7521,,2.990e-8,
291.905,,1.100e-9,
291.9849,,5.236e-10,
292.0944,,1.281e-8,
292.3484,,2.930e-9,
293.0881,,3.932e-10,
293.4078,,2.626e-10,
293.7726,,8.753e-10,
294.5699,,2.801e-10,
294.7445,,2.399e-10,
295.1235,,5.613e-9,
295.2396,,1.238e-10,
296.0115,,3.211e-10,
297.0727,,8.392e-11,
297.4238,,1.181e-10,
297.499,,1.344e-8,
297.7128,,4.800e-10,
297.966,,2.001e-9,
298.4174,,6.568e-9,
298.4191,,1.616e-9,
300.4151,,5.704e-11,
300.7446,,4.320e-9,
300.9143,,1.014e-10,
301.54,,1.133e-10,
302.907,,3.345e-10,
303.7075,,1.491e-9,
304.5597,,8.187e-11,
305.0208,,4.362e-10,
305.3665,,2.444e-9,
305.616,,3.415e-8,
305.7375,,2.638e-10,
305.8715,,8.582e-11,
306.135,,3.355e-10,
306.6534,,1.264e-10,
307.4332,,1.313e-9,
307.832,,3.009e-8,
308.0251,,1.611e-9,
309.2731,,1.405e-7,
310.44,,6.661e-11,
312.4413,,7.102e-10,
312.9376,,5.859e-8,
313.5478,,1.908e-8,
313.7853,,5.640e-10,
314.57,,3.030e-10,
314.9275,,1.585e-8,
316.3243,,5.720e-11,
316.3732,,7.882e-10,
316.7484,,6.262e-11,
317.5085,,2.453e-10,
317.9055,,1.808e-10,
318.8134,,7.601e-11,
318.979,,2.460e-8,
321.2191,,2.327e-8,
321.6286,,1.400e-10,
322.5978,,1.238e-10,
323.4927,,1.374e-10,
325.7968,,7.731e-10,
326.0215,,7.191e-11,
327.422,,1.969e-10,
328.5608,,4.152e-8,
330.23686,7.079e+2,,
330.29785,3.516e+2,,
330.4951,,1.652e-10,
331.8036,,1.900e-10,
332.7689,,1.461e-10,
342.736,7.795e-11,,
348.89,1.246e-10,,
350.237,1.765e-10,,
351.093,1.163e-10,,
353.3057,,4.183e-8,
363.1272,,1.766e-8,
