Ritz wavelength (nm),Nd I (3.8e-03),Nd II (8.9e-01)
325.92298,,1.155e+3
332.82613,,3.554e+3
333.44652,,1.881e+3
333.9052,,2.092e+3
336.4943,,2.084e+3
354.33442,,1.798e+3
355.5764,,1.751e+3
356.07183,,4.281e+3
356.88694,,4.456e+3
358.74982,,4.023e+3
359.25786,,2.568e+3
359.80206,,1.946e+3
360.09045,,2.156e+3
360.978,,3.493e+3
361.5812,,3.123e+3
364.57765,,1.475e+3
365.04013,,1.348e+3
365.31771,,1.101e+3
366.51774,,3.969e+3
367.81825,,9.126e+2
371.85853,,9.444e+2
372.48674,,2.573e+3
372.81256,,6.015e+3
373.70777,,3.269e+3
373.80552,,1.187e+4
374.1424,,4.487e+3
375.24956,,9.484e+3
375.26759,,3.474e+3
375.55963,,2.796e+3
375.78148,,4.454e+3
375.89325,,1.288e+4
375.97927,,4.375e+3
376.34721,,7.000e+3
376.9634,,3.430e+3
377.54973,,1.475e+4
377.94619,,5.328e+3
378.03823,,6.514e+3
378.42446,,2.263e+4
379.5454,,4.292e+3
380.11136,,3.583e+3
380.12995,,1.023e+3
380.22258,,1.384e+3
380.34713,,7.812e+3
380.4095,,7.008e+2
380.53353,,9.192e+3
380.53723,,1.686e+4
380.55468,,4.233e+3
380.71737,,6.854e+2
380.8767,,4.960e+3
380.90384,,3.750e+3
381.04765,,8.206e+3
381.1075,,2.316e+3
381.17696,,1.299e+3
381.47201,,5.931e+3
381.97019,,2.545e+3
382.64091,,8.626e+3
382.79805,,2.687e+3
382.91476,,4.367e+3
383.65467,,5.874e+3
383.79334,,2.678e+3
383.89806,,1.365e+4
384.823,,1.106e+4
384.83159,,8.664e+3
385.16579,,5.612e+3
385.85373,,1.696e+3
386.09403,,3.915e+3
386.25663,,3.484e+3
386.33164,,6.275e+3
386.34082,,2.317e+4
386.67911,,2.174e+3
386.9046,,7.293e+3
387.57239,,2.649e+3
387.58608,,6.269e+3
387.85772,,7.387e+3
387.95405,,1.077e+4
388.03725,,5.167e+3
388.07732,,1.097e+4
388.78667,,3.800e+3
388.96328,,9.862e+2
388.99256,,1.380e+4
389.05766,,1.997e+4
389.09362,,1.376e+4
389.15057,,8.373e+3
389.46235,,6.258e+3
389.61371,,2.363e+3
390.02189,,1.908e+4
390.58693,,1.032e+4
390.78373,,7.630e+3
391.1165,,1.933e+4
391.36807,,1.495e+3
391.59439,,3.787e+3
391.9842,,1.113e+3
392.09612,,1.711e+4
392.70977,,5.273e+3
393.48146,,6.783e+3
394.15065,,2.215e+4
395.11424,,2.264e+4
395.21882,,9.914e+3
395.28586,,4.383e+3
395.35146,,6.302e+3
395.79927,,4.890e+3
396.22047,,4.790e+3
396.31047,,2.600e+4
396.39053,,5.649e+3
397.32603,,3.032e+4
397.36393,,1.334e+4
397.68293,,9.874e+3
397.9469,,9.503e+3
398.23518,,3.794e+3
399.00965,,2.117e+4
399.17407,,1.375e+4
399.46724,,1.979e+4
400.04896,,2.927e+3
400.4005,,6.286e+3
400.74302,,6.153e+3
401.22432,,8.618e+4
401.26974,,6.333e+3
