Ritz wavelength (nm),Ne I (1.0e+00),Ne II (1.5e-04),Ne III (2.3e-17)
181.0668,,,1.515e-35
181.2206,,,1.009e-34
182.2467,,,2.095e-32
182.2546,,,1.429e-32
182.2652,,,9.444e-33
182.2746,,,5.555e-33
182.2805,,,2.762e-33
183.9481,,,9.138e-36
183.97304,,,4.988e-34
184.1644,,,6.225e-36
184.2041,,,9.347e-35
184.2102,,,1.606e-34
184.3587,,,2.417e-35
184.9719,,,1.539e-35
185.388,,,8.778e-36
185.9156,,,3.297e-34
186.514,,,1.151e-36
186.6632,,,2.369e-36
186.9462,,,4.278e-36
187.0367,,,6.619e-37
188.02095,,,8.390e-33
190.74945,,1.884e-12,
191.608223,,9.559e-12,
193.003513,,3.835e-12,
193.10235,,,8.029e-33
193.1728,,,1.401e-35
193.882749,,1.801e-12,
194.5302,,,7.747e-33
194.5498,,,1.107e-32
194.60018,,,1.708e-32
194.8485,,,2.075e-35
195.0749,,,4.845e-36
195.3117,,,3.914e-36
195.519,,,5.317e-36
195.5393,,,1.796e-36
195.541,,,7.079e-36
195.6749,,,4.512e-35
195.76341,,,9.637e-33
196.6824,,,2.499e-35
196.8926,,,4.842e-36
196.9131,,,1.283e-35
197.226,,,1.017e-33
197.4753,,,2.263e-33
198.2234,,,4.376e-33
200.0712,,,1.991e-35
200.1488,,,6.756e-35
201.2034,,,3.226e-36
201.2037,,,1.427e-36
201.2059,,,2.192e-36
205.2586,,,2.991e-34
205.8267,,,1.054e-33
206.2811,,,6.571e-34
206.4929,,,2.204e-34
206.5309,,,7.924e-31
207.0758,,,1.024e-35
207.89683,,,8.133e-33
208.6909,,,6.590e-33
208.7389,,,2.500e-33
208.88903,,,1.943e-33
208.93706,,,1.067e-32
209.1792,,,4.186e-34
209.24046,,,2.590e-33
209.2413,,,2.044e-33
209.3523,,,2.353e-34
209.4083,,,1.414e-34
209.5456,,,1.883e-32
209.9249,,,5.562e-33
212.94204,,,1.124e-33
214.98698,,,2.394e-32
215.06218,,,3.461e-32
215.12003,,,1.628e-32
215.17097,,,3.347e-33
215.30822,,,3.403e-33
215.9295,,,9.137e-31
215.93729,,,2.056e-30
215.95152,,,1.571e-30
216.08248,,,6.854e-31
216.09673,,,2.643e-30
216.1135,,,4.302e-30
216.34438,,,3.071e-31
216.36119,,,2.101e-30
216.37337,,,8.234e-30
217.66294,,,3.384e-31
217.7698,,,7.468e-31
217.86539,,,2.489e-31
218.08631,,,1.428e-30
218.22632,,,2.603e-31
219.7795,,,1.257e-33
219.8324,,,1.107e-35
219.8838,,,1.866e-35
219.9665,,,2.594e-35
220.2159,,,2.044e-33
220.49532,,,2.597e-34
220.50005,,,1.471e-33
220.5895,,,2.600e-34
220.7232,,,2.234e-33
220.93151,,,3.214e-33
