Ritz wavelength (nm),Ni I (6.8e-02),Ni II (9.3e-01),Ni III (6.9e-04)
182.3043,,,9.041e-2
182.9986,,,5.065e-2
183.006,,,3.533e-2
184.9495,,,8.059e-2
185.4129,,,1.194e-1
197.689,2.613e+3,,
199.0254,1.471e+3,,
200.6993,2.271e+2,,
201.4241,1.146e+3,,
202.5389,3.073e+2,,
202.6588,5.315e+2,,
204.7343,2.953e+2,,
205.2074,2.980e+2,,
205.5489,2.593e+2,,
205.9901,3.575e+2,,
208.5555,3.203e+3,,
209.0103,,1.239e+3,
209.3553,,1.828e+3,
212.139,5.675e+2,,
212.4806,3.135e+2,,
212.5117,,1.966e+3,
212.8578,,6.975e+3,
213.8582,,4.229e+3,
214.7784,5.648e+2,,
215.7828,5.061e+2,,
215.8306,1.545e+3,,
215.8737,,5.339e+3,
216.1215,,6.142e+3,
216.555,,1.154e+5,
216.9092,,5.461e+4,
217.4485,3.451e+2,,
217.4669,,6.270e+4,
217.5142,,4.229e+4,
218.4602,,4.424e+4,
219.0229,6.719e+2,,
219.7354,9.628e+2,,
220.1405,,3.106e+4,
220.156,7.380e+2,,
220.6712,,5.738e+4,
221.0379,,1.875e+4,
221.6477,,2.237e+5,
222.0399,,1.644e+4,
222.295,,5.461e+4,
222.4358,,5.666e+3,
222.4864,,6.183e+4,
222.6328,,3.541e+4,
224.4528,9.759e+2,,
225.3572,7.594e+2,,
225.3848,,5.393e+4,
225.48,5.075e+2,,
225.8151,4.908e+2,,
226.4461,,5.704e+4,
227.0212,,8.694e+4,
227.877,,5.663e+4,
228.7081,,3.219e+4,
228.7325,4.623e+2,,
228.9984,9.396e+3,,
229.3119,1.097e+3,,
229.655,,5.569e+4,
229.7141,,5.821e+4,
229.7489,,3.024e+4,
229.8267,,4.958e+4,
230.0778,3.356e+3,,
230.2945,7.194e+2,,
230.2992,,1.048e+5,
230.7358,6.686e+2,,
231.2344,2.198e+4,,
231.3983,1.284e+4,,
231.6036,,1.607e+5,
231.7165,1.097e+4,,
232.0034,5.204e+4,,
232.1383,2.048e+4,,
232.4655,9.517e+2,,
232.5801,1.855e+4,,
232.6451,,7.115e+3,
232.9971,8.473e+3,,
233.4586,,2.457e+4,
234.5543,1.119e+4,,
234.6631,1.698e+3,,
234.7514,1.445e+3,,
234.8736,1.099e+3,,
235.6403,,5.663e+3,
236.7384,,4.128e+3,
237.542,,1.856e+4,
238.7763,,5.496e+3,
239.4523,,7.454e+4,
241.6135,,6.449e+4,
241.9313,7.237e+2,,
243.3555,,1.744e+3,
243.7889,,2.596e+4,
251.0874,,3.232e+4,
254.5899,,6.223e+3,
279.8651,4.445e+2,,
282.1291,5.923e+2,,
294.3912,1.140e+3,,
298.1646,1.690e+3,,
298.4131,1.040e+3,,
299.2592,5.996e+2,,
299.4453,1.743e+3,,
300.2485,1.261e+4,,
300.3621,7.154e+3,,
301.2001,9.963e+3,,
301.9143,1.058e+3,,
303.1867,3.677e+2,,
303.7933,4.630e+3,,
305.0816,1.298e+4,,
305.4313,4.441e+3,,
305.7639,6.034e+3,,
306.4619,1.733e+3,,
308.0752,9.020e+2,,
309.7117,3.664e+2,,
309.911,4.208e+2,,
310.1557,1.042e+4,,
310.1878,5.923e+3,,
310.546,4.284e+2,,
311.4124,4.177e+2,,
313.4104,8.105e+3,,
322.1651,3.425e+2,,
322.5019,5.612e+2,,
323.2934,2.488e+3,,
323.4648,3.898e+2,,
324.3055,1.027e+3,,
331.5663,1.134e+3,,
332.0259,7.119e+2,,
332.231,9.140e+2,,
336.1554,7.723e+2,,
336.5765,8.929e+2,,
336.6166,8.561e+2,,
336.9563,4.561e+3,,
