Ritz wavelength (nm),O I (9.7e-01),O II (3.3e-02),O III (2.3e-12)
180.382,,,2.524e-28
182.1551,,3.590e-9,
182.7284,,2.330e-9,
182.93555,,6.506e-9,
183.59076,,3.297e-9,
184.85,,,1.129e-28
189.7102,,,2.123e-27
190.3048,,,1.527e-27
190.7634,,,9.244e-28
192.0019,,,1.695e-23
192.024,,,7.822e-28
195.74358,,6.112e-9,
196.02599,,7.346e-9,
196.21317,,5.808e-9,
196.22222,,2.696e-8,
196.37852,,1.442e-8,
196.42717,,5.788e-9,
201.65822,,4.895e-9,
202.03299,,1.137e-8,
202.14364,,4.586e-9,
202.70978,,4.936e-9,
202.76014,,4.607e-9,
204.228,,,1.277e-27
205.008,,,9.763e-28
206.642,,,3.552e-28
209.2876,,2.162e-9,
210.1283,,3.326e-9,
213.1813,,1.565e-8,
213.2017,,8.900e-9,
216.539,,,2.239e-25
218.2569,,6.569e-9,
219.0469,,4.392e-9,
219.5482,,2.225e-9,
222.816,,,2.358e-24
222.892,,,5.778e-28
222.974,,6.021e-10,
223.283,,4.218e-10,
223.336,,,1.726e-27
223.877,,,2.832e-27
225.2738,,6.295e-9,
225.963,,2.558e-9,
228.3444,,5.714e-9,
228.377,,,9.490e-28
228.4833,,7.984e-9,
229.0846,,6.611e-8,
229.3297,,1.458e-7,
230.0333,,3.720e-7,
230.2806,,7.492e-8,
231.1525,,,2.136e-25
231.4689,,,2.157e-25
231.548,,,1.188e-24
231.7321,,,6.437e-25
231.9477,,,2.891e-25
232.5921,,3.615e-9,
232.7947,,5.440e-9,
236.514,,4.856e-9,
237.2215,,,3.598e-25
237.2831,,,3.706e-25
237.5719,,8.624e-9,
237.8891,,,2.004e-24
238.2292,,,4.095e-24
238.3918,,,2.910e-24
239.0432,,,1.463e-22
240.6376,,2.274e-8,
240.7477,,1.577e-8,
241.1597,,1.274e-8,
241.1644,,2.800e-9,
241.5126,,5.600e-9,
241.8459,,2.417e-8,
242.052,,,1.282e-29
242.114,,,8.981e-29
242.5567,,3.398e-8,
242.59,,,3.444e-28
242.631,,,1.128e-28
242.657,,,2.889e-29
242.692,,,1.805e-28
242.936,,,6.796e-29
242.961,,,8.723e-29
242.969,,,3.871e-29
243.3542,,5.158e-7,
243.4918,,,1.899e-25
243.6056,,2.211e-8,
243.8814,,,2.127e-24
244.104,,,1.842e-28
244.1351,,,6.369e-26
244.1626,,5.383e-9,
244.1704,,,6.284e-26
244.4251,,9.262e-8,
244.523,,,9.171e-29
244.5529,,9.176e-7,
244.693,,,9.245e-29
245.113,,,1.643e-29
245.345,,,8.832e-29
245.424,,,8.889e-29
245.4966,,,1.086e-21
245.656,,,2.958e-29
251.7964,,1.017e-8,
252.6872,,7.666e-9,
252.9327,,,9.337e-26
253.0279,,1.434e-8,
253.4064,,,7.414e-25
253.9467,,,9.116e-26
254.2636,,,4.206e-25
254.6409,,,2.751e-25
254.7422,,,9.389e-26
254.9595,,,9.123e-26
255.8035,,,1.839e-24
257.1457,,8.058e-9,
257.5277,,1.440e-8,
259.7699,,,1.383e-24
260.5424,,,8.230e-25
260.959,,,2.732e-25
262.2287,,,1.613e-25
266.5684,,,4.735e-25
267.458,,,7.786e-25
267.7813,,,2.997e-25
268.3658,,,1.254e-26
268.6154,,,1.080e-24
268.7547,,,3.768e-26
269.5477,,,6.297e-26
270.1035,,,1.605e-25
272.689,,,1.765e-28
273.3294,,1.964e-7,
273.506,,,1.049e-28
273.909,,,3.482e-29
274.7367,,9.900e-8,
277.196,,,5.528e-27
279.4139,,,8.080e-24
280.8728,,8.602e-9,
280.9659,,,1.798e-23
283.6308,,,3.312e-23
284.575,,,1.185e-26
284.893,,,1.677e-26
285.375,,,8.142e-27
286.252,,,1.500e-27
286.26,,,1.462e-27
288.3856,1.269e-1,,
295.9695,,,7.466e-22
298.3781,,,8.325e-21
299.2081,,,2.774e-23
299.648,,,8.338e-23
299.7689,,,2.841e-23
300.4344,,,1.271e-22
300.8779,,,2.749e-23
301.7615,,,2.222e-22
