Ritz wavelength (nm),Os III (2.2e-03)
180.1119,1.140e+0
180.3765,9.305e+1
180.516,1.946e-1
180.6036,4.724e-2
180.7289,6.133e-1
181.1703,2.736e-2
181.3242,5.001e-1
181.3261,3.539e+0
181.6473,2.267e-1
181.662,1.044e+0
182.1475,9.143e-2
182.2294,1.528e+0
182.5454,7.328e-1
182.6768,3.742e-1
182.975,7.035e-2
183.0134,9.612e-1
183.0841,4.058e+0
183.0956,1.126e-1
183.156,5.559e-1
183.3369,2.207e-1
183.4586,1.157e-1
183.481,1.383e+0
183.5535,1.852e-1
183.8329,1.538e-1
183.9023,2.490e-2
184.0256,3.957e-2
184.0672,9.219e-2
184.8452,1.161e-1
185.0275,1.777e-1
185.2486,2.504e-1
185.3971,3.688e-1
185.4551,8.177e-1
185.5066,6.958e-2
185.5318,1.145e+0
185.6786,1.087e+0
185.9878,2.127e-1
186.3169,1.440e+0
186.3507,1.178e-1
186.3668,4.031e-2
186.5812,2.465e+0
186.5917,9.192e-2
186.6669,6.342e-1
186.7026,1.342e-1
186.9136,3.579e-1
187.2854,1.448e-1
187.474,2.243e-1
187.5412,2.620e+0
187.5712,2.741e-1
187.7198,2.452e-1
187.7711,9.267e-2
187.8784,2.213e+0
188.0369,1.597e-1
188.2657,2.368e+0
188.444,2.308e-2
188.5531,2.485e+0
188.6429,7.043e-2
188.666,1.132e+0
189.0181,1.357e-1
189.1202,1.350e-1
189.226,1.921e-1
189.555,2.354e+0
189.7472,1.125e-1
189.7512,1.726e+0
189.8813,1.734e-1
190.0982,3.179e-1
190.226,7.458e+0
190.279,5.257e-1
190.3851,5.537e+0
190.4613,3.189e+0
190.6314,3.345e-1
190.843,1.448e-1
190.8892,2.692e-1
191.0045,3.069e+0
191.1798,1.425e+0
191.1959,1.384e-1
191.26,1.081e-1
191.3833,2.289e+0
191.5319,2.551e-1
191.5851,6.246e-1
191.6215,8.008e+0
191.6937,3.113e+0
191.9112,2.207e+0
191.9719,2.100e-1
192.1973,1.472e+0
192.3663,5.765e+0
192.6595,2.261e-1
192.7918,8.272e+0
192.9302,3.648e-2
193.0413,5.884e-1
193.171,1.466e+0
193.4305,1.036e+0
193.6082,3.021e-1
193.7365,4.630e-1
193.7634,6.989e-2
194.1559,1.346e+0
194.2686,1.540e-1
194.359,3.392e-1
194.361,6.326e-1
194.6418,8.004e-1
194.6797,3.965e-2
194.9099,7.645e-2
195.225,6.501e+0
195.3033,9.564e-2
195.7239,3.052e-1
195.7868,1.926e-1
195.9298,6.110e-1
196.003,6.081e-1
196.4583,3.305e-1
196.7352,1.279e+0
196.8707,7.389e-2
197.1652,4.530e-1
197.2985,4.768e+0
197.6601,5.456e-1
197.7238,5.638e-1
197.9125,3.039e-1
198.0104,4.310e+0
198.0423,3.238e+0
198.1592,1.466e+0
198.9497,5.617e-1
199.4654,2.708e-1
199.6425,1.280e+0
199.7201,3.933e-2
200.1145,8.154e-1
200.2417,1.979e+0
200.47,3.659e+0
200.9691,8.971e-1
201.403,1.639e-1
201.4041,1.405e-1
201.7151,2.596e-1
201.794,8.390e-1
201.8012,1.208e+0
201.9708,3.154e-1
202.0113,1.970e-1
202.1604,6.505e-1
202.192,6.783e-2
202.4483,1.525e-1
202.5463,1.812e+0
203.6602,9.049e-1
203.7703,5.712e-1
203.8468,6.208e-1
204.162,1.721e+0
204.3993,1.027e+0
204.4536,1.503e-1
207.1263,1.403e-1
207.2498,1.834e+0
