Ritz wavelength (nm),P I (2.9e-01),P II (7.1e-01),P III (6.1e-05)
185.8871,1.747e+3,,
185.8901,1.275e+4,,
185.941,1.988e+4,,
185.9441,1.134e+3,,
213.5469,2.517e+3,,
213.6182,3.376e+4,,
214.9142,1.968e+4,,
215.2939,2.435e+3,,
215.4072,4.367e+3,,
215.4113,8.684e+2,,
253.3986,2.386e+3,,
253.5612,1.133e+4,,
255.326,4.394e+3,,
255.4911,1.857e+3,,
321.9311,,,8.668e-6
323.3548,,,1.711e-6
323.3619,,,1.534e-5
374.4236,,,1.214e-8
380.2032,,,1.732e-8
389.5056,,,1.644e-8
390.4811,,,1.570e-8
392.2703,,,3.186e-9
393.3382,,,4.815e-9
395.1537,,,1.487e-8
395.7641,,,3.653e-8
399.7214,,,1.591e-8
405.7449,,,1.027e-5
405.9312,,,9.243e-5
408.0089,,,5.171e-5
422.2198,,,1.541e-4
424.672,,,7.312e-5
438.5393,,1.633e+0,
440.2104,,6.612e-1,
441.7337,,5.025e-1,
442.0712,,1.081e+1,
442.4091,,6.463e-1,
446.614,,8.199e-1,
447.527,,8.068e+0,
449.923,,6.570e+0,
453.0823,,8.512e-1,
455.8095,,2.565e+0,
456.5287,,8.499e-1,
458.218,,2.554e+0,
458.8032,,1.485e+1,
458.9846,,1.021e+1,
460.2069,,2.066e+1,
462.6708,,1.915e+0,
465.8309,,1.835e+0,
467.9028,,4.540e+0,
486.4426,,8.004e-1,
492.7197,,8.756e-1,
493.5631,,1.036e+0,
494.3497,,4.584e+0,
495.4367,,1.215e+0,
496.9701,,2.673e+0,
504.0805,,1.803e+0,
510.9625,6.753e+1,,
515.2221,,4.814e+0,
516.2266,8.686e+1,,
519.1393,,1.404e+1,
520.3826,,,1.622e-7
520.401,,,1.807e-8
525.3479,,5.269e+1,
529.6077,,2.207e+1,
531.6055,,1.697e+1,
534.4729,,1.400e+1,
534.5854,8.570e+1,,
537.8192,,8.004e-1,
538.6895,,1.006e+1,
540.9722,,1.370e+1,
542.588,,4.880e+1,
545.0709,,2.401e+0,
547.7672,1.061e+2,,
548.3519,,6.912e-1,
549.9697,,1.619e+1,
550.7174,,5.069e-1,
554.1139,,7.008e-1,
558.3235,,8.756e-1,
558.8301,,1.092e+0,
572.769,,6.912e-1,
602.418,,4.744e+1,
603.404,,2.110e+1,
604.308,,8.501e+1,
605.55,,2.817e+0,
608.784,,1.540e+1,
616.56,,1.488e+1,
671.74,4.443e+1,,
715.836,4.411e+1,,
716.547,6.437e+1,,
717.562,6.806e+1,,
717.666,7.955e+1,,
773.505,,4.491e-1,
784.561,,2.275e+1,
874.153,1.240e+2,,
917.5813,2.038e+2,,
930.4948,3.914e+2,,
952.5741,5.707e+2,,
956.3444,5.135e+2,,
959.3505,4.756e+2,,
