Ritz wavelength (nm),Pb I (4.4e-02),Pb II (9.5e-01)
182.205,,4.809e+5
202.201749,3.724e+2,
205.32815,7.068e+2,
217.000288,1.409e+4,
220.3534,,2.183e+5
240.193951,1.515e+3,
244.618073,1.289e+3,
247.637766,3.194e+3,
257.725953,3.219e+3,
261.365508,2.109e+3,
261.417468,3.167e+4,
262.826247,2.841e+2,
266.315356,8.231e+3,
280.199525,3.487e+4,
282.318944,4.319e+3,
283.305346,1.788e+4,
287.3311,6.562e+3,
357.272911,6.249e+3,
363.956773,1.168e+4,
367.149113,2.148e+3,
368.346205,1.736e+4,
373.99352,8.969e+3,
401.96322,7.581e+2,
405.780659,3.285e+4,
406.213593,8.821e+3,
500.54165,1.704e+3,
520.14372,9.702e+2,
