Ritz wavelength (nm),Pr II (7.2e-01)
379.2436,4.386e+3
385.1497,8.827e+3
388.9334,6.179e+3
392.0532,3.527e+3
392.5466,1.354e+4
394.9429,1.597e+4
396.4262,1.362e+4
396.4812,3.170e+4
396.6566,1.472e+4
397.1134,1.346e+3
397.1137,1.273e+4
397.2136,1.158e+4
398.9682,1.447e+4
399.4791,2.602e+4
399.704,1.230e+4
400.0173,7.185e+3
400.4702,1.320e+4
401.5391,1.025e+4
403.1753,1.266e+4
403.383,1.802e+4
403.4324,3.821e+3
403.9343,1.103e+4
404.4813,1.491e+4
405.486,3.881e+4
405.88,7.580e+3
406.2805,4.170e+4
408.098,8.703e+3
409.682,1.335e+4
410.0717,6.922e+4
411.8457,4.204e+4
414.1224,4.155e+4
414.3112,8.090e+4
416.416,3.671e+4
417.182,1.575e+4
417.2239,1.527e+4
417.9393,6.617e+4
418.9479,5.638e+4
419.1601,1.037e+4
420.672,3.660e+4
420.831,7.198e+3
421.186,4.016e+3
422.293,4.747e+4
422.532,6.436e+4
423.615,3.665e+3
424.101,1.956e+4
424.351,5.677e+3
424.764,8.116e+3
425.44,6.768e+3
426.378,4.365e+3
427.227,1.431e+4
428.245,1.375e+4
430.575,2.212e+4
432.356,4.058e+3
432.942,3.482e+3
433.397,1.824e+4
433.87,6.023e+3
434.749,9.740e+3
435.979,7.550e+3
436.833,1.423e+4
440.36,6.036e+3
440.583,1.545e+4
440.882,3.657e+4
441.377,7.025e+3
442.122,3.776e+3
442.913,1.024e+4
442.925,1.829e+4
444.982,1.363e+4
445.435,1.931e+3
446.866,2.323e+4
447.726,3.904e+3
449.646,1.328e+4
451.015,1.936e+4
451.758,2.846e+3
453.415,9.090e+3
453.592,6.300e+3
462.874,4.421e+3
464.605,1.929e+3
466.465,2.845e+3
473.417,5.858e+3
476.272,2.039e+3
487.91,1.557e+3
488.603,1.070e+3
491.262,3.092e+3
503.441,9.065e+3
511.037,1.102e+4
511.076,2.307e+4
512.953,1.341e+4
513.514,1.154e+4
516.174,4.085e+3
517.39,3.000e+4
519.512,7.639e+3
519.531,8.509e+3
520.656,1.219e+4
520.79,3.524e+3
521.905,1.343e+4
522.011,2.987e+4
525.17,2.020e+3
525.973,2.111e+4
526.387,5.574e+3
529.262,9.392e+3
529.81,6.677e+3
532.277,1.604e+4
535.24,4.036e+3
550.915,2.763e+3
553.517,2.519e+3
554.501,2.661e+3
557.183,1.194e+3
560.13,2.278e+3
565.423,1.262e+3
575.62,3.962e+3
576.918,9.605e+2
577.73,1.180e+3
579.139,1.937e+3
581.059,1.895e+3
581.357,1.194e+3
581.517,3.838e+3
583.093,1.384e+3
584.712,5.818e+3
586.882,2.231e+3
587.926,5.321e+3
590.446,2.058e+3
593.99,6.633e+3
594.072,1.005e+4
595.127,2.484e+3
596.784,2.587e+3
602.573,5.490e+3
604.287,1.735e+3
605.004,1.500e+3
606.724,1.062e+3
608.618,1.135e+3
608.753,3.548e+3
609.038,1.371e+3
614.154,9.511e+2
614.824,3.020e+3
616.118,8.091e+3
618.234,2.179e+3
619.745,1.575e+3
620.082,2.545e+3
624.436,1.919e+3
625.51,9.235e+2
626.255,1.040e+3
626.454,1.273e+3
627.868,3.211e+3
630.236,8.370e+2
630.526,1.194e+3
634.711,5.830e+3
639.797,1.010e+3
643.18,2.838e+3
651.878,1.008e+3
661.828,1.026e+3
667.341,6.255e+3
667.372,3.805e+3
702.144,2.169e+3
722.769,1.741e+3
745.172,1.746e+3
