Ritz wavelength (nm),Pt I (1.5e-01),Pt II (8.4e-01)
183.33887,,2.338e+3
183.507492,,4.476e+3
183.650705,,5.663e+2
183.882455,,3.739e+3
183.95246,,2.401e+3
184.575031,1.162e+4,
185.69692,,5.795e+2
186.712933,,5.462e+3
187.03979,,2.820e+2
187.040988,,3.944e+3
187.11035,,1.138e+3
187.91038,,7.582e+3
188.305814,,1.506e+4
188.952296,,1.895e+4
189.500782,,2.548e+3
189.757706,,7.917e+2
191.170918,,4.170e+4
191.272891,,4.193e+3
192.84318,,9.408e+2
192.924479,,2.500e+4
193.742404,5.035e+4,
193.98114,,2.199e+4
194.003275,1.670e+4,
194.047728,2.647e+2,
194.123941,2.436e+3,
194.446204,,4.866e+3
194.89716,,1.515e+3
195.8504,,2.048e+3
198.37489,,5.842e+3
199.05746,,3.123e+3
201.49319,,6.357e+3
203.14388,,6.540e+2
203.646627,,6.251e+4
204.157482,,7.492e+3
204.91686,,5.353e+3
204.939194,1.959e+4,
205.702527,,5.343e+3
205.99144,,2.870e+3
206.1732,,3.483e+2
206.751007,4.787e+3,
206.818016,,3.551e+3
207.539937,,3.417e+3
208.459582,7.995e+3,
208.872845,,2.668e+3
208.90655,,4.430e+2
209.744762,,9.073e+3
210.1599,,4.527e+3
210.334439,1.356e+4,
210.37806,,1.803e+3
210.50756,,7.943e+2
211.55823,,7.606e+3
212.742213,,3.782e+3
212.858692,6.926e+3,
212.863343,1.194e+4,
213.07078,,8.973e+3
214.25058,,9.654e+2
214.421221,1.131e+4,
214.424578,,1.207e+5
214.96985,,5.039e+2
215.02393,,1.500e+3
215.356882,9.735e+2,
216.521132,2.606e+3,
217.468424,3.245e+4,
219.018001,1.167e+3,
219.03219,,1.138e+4
220.201596,,1.887e+3
220.222274,2.572e+3,
220.67295,,4.994e+2
222.923015,,1.873e+3
223.49265,1.111e+3,
224.552402,,5.755e+4
224.930767,1.316e+3,
224.989976,5.206e+2,
225.06203,,1.603e+3
225.60897,,6.861e+2
226.26451,,2.296e+3
226.64089,,6.695e+2
227.43808,4.000e+3,
227.484126,4.822e+2,
228.820523,,1.679e+4
228.92758,1.562e+3,
229.23985,3.261e+3,
231.0963,,1.588e+4
231.829638,1.382e+3,
231.98871,,3.209e+3
232.63374,,6.859e+2
233.51891,,2.593e+3
234.85456,,1.407e+3
235.710491,5.189e+3,
236.827824,2.186e+3,
237.72481,,6.440e+2
237.72772,,7.437e+3
238.65016,,1.507e+3
238.953549,6.355e+2,
239.66856,,2.044e+3
240.30918,8.442e+2,
240.57255,,1.639e+3
242.08164,,1.367e+3
242.486642,,6.452e+3
243.44605,,2.006e+3
243.668877,1.703e+3,
244.26279,,1.617e+3
244.53345,,1.699e+3
245.04384,,2.453e+3
246.740073,3.647e+3,
246.75921,,1.326e+3
248.69823,,1.976e+3
248.8872,,1.833e+3
249.58122,7.359e+2,
249.849912,2.183e+3,
250.84973,1.207e+3,
251.38883,,2.524e+3
251.557674,1.857e+3,
252.430681,1.303e+3,
253.920623,2.820e+3,
257.26118,,1.320e+3
261.956732,5.139e+2,
262.53269,,1.563e+3
262.802678,1.227e+4,
263.93455,1.501e+3,
264.688104,7.276e+3,
265.085268,4.516e+3,
265.945076,4.284e+4,
267.714787,2.876e+3,
269.84253,2.284e+3,
270.239856,1.988e+4,
270.5894,1.376e+4,
271.903179,7.876e+3,
272.99119,1.290e+3,
273.395581,1.768e+4,
275.38529,6.843e+2,
275.49113,2.768e+3,
277.165944,3.813e+3,
277.47846,,3.174e+3
279.42071,,4.862e+3
280.32349,1.018e+3,
283.029318,1.057e+4,
283.47105,5.183e+2,
289.386286,3.389e+3,
289.787146,1.396e+3,
291.22524,9.661e+2,
291.35385,9.764e+2,
292.979091,1.128e+4,
299.796211,1.682e+4,
300.11681,,1.778e+3
300.226449,8.900e+2,
303.64427,1.247e+3,
304.26313,6.613e+3,
306.471269,2.934e+4,
310.002532,1.101e+3,
313.938677,1.545e+3,
315.65623,1.035e+3,
320.07094,2.000e+3,
320.403638,3.424e+3,
325.19787,4.705e+2,
325.59099,8.386e+2,
330.18599,4.003e+3,
340.81303,1.490e+3,
348.52634,1.652e+3,
362.81114,5.381e+2,
396.6357,6.154e+2,
411.86745,9.448e+2,
444.25477,3.918e+2,
452.08888,1.364e+3,
530.10143,6.771e+3,
539.07754,2.225e+3,
547.84793,2.404e+3,
576.3566,1.149e+3,
584.01269,3.562e+2,
584.48054,1.523e+3,
602.60247,1.122e+3,
631.83662,1.491e+3,
652.34376,1.854e+3,
671.03998,2.225e+3,
676.00069,4.304e+3,
711.37244,4.185e+2,
