Ritz wavelength (nm),Rb I (2.0e-02),Rb II (9.8e-01)
305.13654,,2.768e-2
314.88954,,5.311e-2
316.10004,,8.986e-2
332.1496,,1.155e-1
344.0786,,3.068e-2
369.95822,,3.506e-2
379.681,,1.290e-1
380.1896,,1.404e-1
386.07454,,4.329e-2
397.8155,,7.890e-2
402.9485,,6.277e-2
408.38923,,3.414e-2
410.4276,,1.027e-1
413.6115,,1.107e-1
420.18053,3.918e+2,
421.5539,1.676e+2,
424.439,,2.689e+0
426.6584,,3.159e-1
427.3141,,7.836e-1
428.7969,,1.490e-1
429.3971,,4.842e-1
453.0333,,7.587e-2
454.0732,,4.446e-2
457.1765,,3.206e-1
462.2426,,1.252e-1
464.8557,,2.247e-1
465.9284,,1.579e-1
473.0454,,4.932e-2
475.7824,,7.060e-2
477.5954,,5.366e-1
478.2845,,1.446e-1
485.5341,,1.290e-1
488.5607,,2.630e-2
500.6446,,2.192e-2
505.07,1.403e-4,
515.2081,,4.931e-1
516.4575,,1.883e-1
521.75,9.957e-5,
527.0514,,8.189e-2
551.2542,,1.669e-1
563.5988,,7.783e-2
569.9147,,3.945e-1
586.01,2.924e-4,
611.87,1.467e-3,
619.908,,3.918e-1
620.631,3.557e+2,
629.8326,6.716e+2,
629.9224,7.601e+1,
645.833,,4.931e-1
660.7853,,6.277e-2
731.6521,,2.175e-1
772.6079,,8.557e-1
780.0268,3.289e+4,
782.1876,,4.987e-1
794.7603,1.605e+4,
