Ritz wavelength (nm),Re III (3.0e-03)
180.1088,3.502e-1
180.1103,2.377e-1
180.1408,1.710e-1
180.2101,9.355e-2
180.2847,4.351e-1
180.3148,1.756e+0
180.4219,3.487e-1
180.4904,1.024e+0
180.8492,3.434e+0
181.1109,2.366e-1
181.1811,8.234e-1
181.2385,3.281e-2
181.3625,1.912e+0
181.4348,8.608e-1
181.4941,1.169e+0
181.5877,9.870e-2
181.6067,1.345e+1
181.7787,2.983e-1
181.815,1.413e-1
181.894,6.510e-2
182.2143,1.173e+0
182.2189,4.079e-2
182.3601,6.018e-2
182.6921,4.665e-1
182.7296,1.889e+0
182.7357,3.519e-1
182.8071,5.508e+0
182.9195,1.619e-1
183.0898,1.265e+0
183.199,1.479e-1
183.2519,9.252e-1
183.2962,1.829e-1
183.6844,4.516e-1
183.8153,1.147e+0
183.8729,9.268e-1
184.0263,2.416e+0
184.0977,4.776e-1
184.1092,2.012e-1
184.2009,3.902e+1
184.5076,2.563e-1
184.5898,2.483e-1
184.6406,6.899e-2
184.729,9.499e-1
184.8082,2.027e-1
184.8633,1.313e-1
184.8647,2.775e-1
184.9657,1.253e-1
184.9812,5.596e-1
185.0871,1.590e-1
185.0961,1.477e+0
185.2414,1.436e+0
185.2435,6.547e-1
185.3219,5.943e+0
185.379,1.675e+1
185.4551,2.533e+1
185.5488,2.247e-1
185.7159,9.724e-1
185.749,4.582e-1
185.821,4.223e-1
185.8942,1.325e+0
186.1297,1.275e-1
186.165,2.039e-1
186.1738,6.372e-1
186.3224,8.519e-2
186.4272,4.581e-1
186.4473,2.250e-1
186.5594,1.704e-1
186.6087,2.011e-1
186.6264,2.967e-1
186.6663,2.442e-1
186.8832,2.900e-1
186.9032,8.510e-1
186.9463,6.300e-1
187.0435,4.033e+0
187.1859,3.580e+1
187.227,6.596e+0
187.2643,7.406e-1
187.32,3.771e-1
187.5412,2.614e+1
187.586,6.433e-1
187.6239,6.280e-1
187.9228,3.100e-1
188.0159,1.541e+1
188.0597,2.523e-1
188.0915,1.849e-1
188.1039,4.916e-1
188.1875,2.192e-1
188.1878,8.573e-1
188.2938,2.563e-1
188.3721,3.805e-1
188.3868,1.934e-1
188.6027,2.794e-1
188.7797,1.262e+0
188.8608,3.280e-1
188.9841,1.136e+0
189.2789,1.758e-1
189.2964,8.072e-1
189.3583,2.836e-1
189.5989,1.448e-1
189.9356,2.773e-2
190.0342,1.189e-1
190.1948,8.922e-1
190.2243,1.390e+0
190.2298,8.817e+0
190.2337,9.534e-1
190.4169,7.275e-2
190.4597,2.334e-1
190.606,4.280e-1
190.842,2.454e-1
191.2775,4.304e-1
191.4982,1.003e+0
191.5387,6.389e-2
191.7466,2.144e-1
191.852,2.407e+1
191.8945,1.368e-1
191.9164,5.575e-1
192.1375,4.022e+1
192.3332,7.007e-1
192.3686,7.284e-1
192.4146,2.636e-1
192.6219,4.189e-1
192.6861,1.354e+0
192.8099,1.133e+0
192.8932,2.199e-1
193.1381,2.155e-1
193.3209,4.974e-1
193.3524,7.290e-1
193.4161,1.746e+0
193.4831,5.360e+0
193.5029,1.566e-1
193.6763,1.724e-1
193.7313,7.275e-2
194.0085,8.246e-1
194.0294,1.686e+0
194.0466,2.821e+1
194.1217,7.449e-1
194.1307,4.397e+1
194.1661,1.725e+1
194.1743,1.381e+0
194.2859,4.127e-1
194.4836,3.434e-1
194.6758,2.720e-1
194.8896,9.870e-2
195.2711,1.995e+0
195.4558,1.062e+0
195.4995,2.086e+0
195.5328,1.133e-1
195.5879,1.890e-1
195.6385,3.828e-1
195.8943,4.499e-1
195.9036,4.118e-1
195.9094,1.442e+0
196.247,6.123e-1
196.6578,7.835e-1
196.7131,6.493e+0
196.9386,1.756e+0
197.0566,4.461e-1
197.1024,1.372e-1
197.168,3.954e-1
197.257,8.422e-2
197.2638,8.483e-1
197.4654,8.608e-1
197.6753,4.656e-1
197.7488,1.136e+0
197.7942,6.447e-1
198.1589,5.439e-1
198.184,1.041e-1
198.2905,3.401e+1
198.3923,3.618e-1
198.4324,1.238e+0
198.6539,2.844e+0
198.7557,3.952e+1
198.7814,5.546e-1
198.8224,1.084e+0
198.9121,2.244e+0
199.1474,2.167e+0
199.2933,6.227e-1
199.3264,6.855e+0
199.7611,1.093e-1
199.7854,3.086e-1
199.9115,4.799e+0
199.9645,1.925e-1
199.9758,5.326e+0
200.0035,3.744e-1
200.0673,4.536e-1
200.1343,2.188e-1
200.1462,7.243e+0
200.3249,5.007e-1
200.6872,4.280e-1
200.7012,2.099e-1
200.9245,5.423e-1
200.9358,2.626e+0
201.1243,1.103e+0
201.2977,6.602e-1
201.4337,8.969e-1
201.5067,4.491e-1
201.5686,5.949e-1
201.8202,3.014e-1
201.9325,1.962e+0
202.0835,6.693e-1
202.3357,1.362e-1
202.4004,4.590e-1
202.506,1.150e+1
202.5815,1.490e-1
202.7418,2.487e-1
202.9561,8.066e-1
202.9578,3.314e-1
203.138,1.189e+0
203.3872,7.897e-1
203.4711,1.300e+0
203.4987,3.609e+0
203.4999,7.038e+0
203.8168,3.573e+0
204.148,1.370e+0
204.1783,4.275e-1
204.2234,1.448e+0
204.2768,1.482e+0
204.2947,1.603e+0
204.3789,3.570e-1
204.4101,2.856e+0
204.5105,5.032e+0
204.6114,1.050e+1
204.8095,8.620e-1
204.9052,9.788e-1
205.2244,5.028e-1
205.2786,1.426e+0
205.3349,4.195e-1
205.4843,2.554e-1
205.5002,2.675e-1
205.606,6.613e+0
205.755,7.699e-1
205.8152,4.987e-1
205.8635,1.268e+0
206.0586,3.540e-1
206.0741,1.459e+0
206.2674,1.613e+0
206.6806,6.086e-1
206.7447,1.487e+0
207.2977,7.229e-1
207.3249,1.187e+0
207.4822,2.919e+0
207.9045,1.281e+0
208.4877,6.268e-1
208.966,1.175e+0
209,3.063e+0
209.1053,6.069e+0
209.1927,2.132e+0
209.7514,2.231e+0
209.7727,2.874e+0
209.8661,1.258e+0
209.9816,1.630e+0
210.718,7.264e-1
211.1658,1.643e+0
211.2765,6.286e+0
211.9705,2.289e+0
212.449,1.995e+0
212.5819,1.741e+0
213.5156,8.544e-1
213.5281,6.519e+0
213.5719,5.789e-1
213.7745,2.493e+0
213.883,8.151e-1
214.1791,9.889e-1
214.819,5.926e-1
217.4328,8.923e-1
217.4622,8.481e-1
217.829,1.461e+0
218.6169,1.863e+0
218.7363,1.531e+0
218.7907,8.854e-1
220.8677,1.423e+0
221.9754,2.341e+0
222.4464,3.615e+0
223.8257,8.533e-1
228.2202,9.844e-1
229.758,1.021e+0
230.2668,6.805e-1
230.6741,1.025e+0
231.9317,4.174e-1
233.0224,1.621e+0
234.2057,1.552e+0
