Ritz wavelength (nm),Rh I (5.3e-02)
308.3966,4.000e+2
311.4907,2.087e+2
312.1754,7.718e+2
312.3703,6.503e+2
313.7708,2.315e+2
318.9043,2.500e+2
319.713,2.412e+2
326.3142,1.042e+3
327.161,1.122e+3
328.0536,3.393e+3
328.0577,1.150e+3
328.3571,5.468e+3
328.9137,5.723e+2
332.3091,1.168e+4
333.8548,3.963e+2
336.08,5.703e+2
336.8373,7.243e+2
339.6819,1.580e+4
339.9693,1.710e+3
343.4885,4.010e+4
346.2036,7.019e+3
347.0656,5.739e+3
347.8904,3.480e+3
349.8728,2.225e+3
350.2522,1.167e+4
350.7311,5.312e+3
352.8025,1.566e+4
353.8139,1.383e+3
354.3946,2.581e+3
354.9537,2.513e+3
357.0177,2.061e+3
358.3092,6.321e+3
359.6195,4.727e+3
359.7146,9.328e+3
361.247,3.498e+3
362.0449,3.895e+2
365.4873,7.456e+2
365.7985,1.378e+4
366.6216,1.548e+3
369.0701,2.786e+3
369.2358,2.370e+4
370.0907,1.058e+4
371.3021,7.074e+2
378.8475,1.445e+3
379.3219,4.430e+3
379.9318,7.775e+3
380.6759,9.707e+2
381.8186,2.689e+3
382.226,7.167e+3
382.8478,4.350e+3
383.3884,3.198e+3
385.6513,1.094e+4
387.7346,4.189e+2
393.4224,2.482e+3
394.271,1.615e+3
395.8856,6.710e+3
398.4393,5.054e+2
399.5602,3.227e+2
408.278,9.771e+2
409.7508,3.199e+2
412.1683,1.034e+3
412.8886,2.431e+3
413.5275,1.861e+3
419.6496,4.722e+2
421.1133,3.938e+3
428.8702,9.644e+2
437.4809,4.451e+3
559.9419,3.386e+2
598.3575,5.105e+2
