Ritz wavelength (nm),S I (4.8e-01),S II (5.2e-01),S III (3.8e-06)
180.73113,4.727e+4,,
182.03412,2.472e+4,,
182.62448,8.152e+3,,
193.6729,,7.897e-1,
195.0382,,7.897e-1,
195.8241,,4.862e-1,
197.0879,,8.823e-1,
198.1658,,6.910e-1,
198.502,,3.794e-1,
199.8761,,3.684e-1,
200.3537,,2.191e-1,
207.2026,,,4.372e-8
208.4832,,,4.629e-8
208.9115,,,5.059e-7
209.7321,,,3.722e-7
209.7841,,,2.570e-7
217.3739,,,1.678e-9
217.7241,,,1.235e-8
218.7275,,2.300e-1,
219.2383,,1.288e-1,
228.3662,,,5.069e-10
233.2484,,2.245e-1,
233.6277,,3.161e-1,
235.7749,,8.906e-2,
236.1147,,5.744e-2,
246.046,,,4.760e-10
248.9537,,,5.057e-10
249.0488,,,1.108e-8
249.6208,,,2.547e-9
249.9029,,,6.816e-10
250.8107,,,1.485e-9
263.6903,,,4.225e-10
265.917,,,8.129e-9
266.544,,,1.230e-9
268.0554,,,3.532e-10
269.1703,,,2.621e-10
270.2803,,,3.506e-10
270.9101,,,3.299e-10
271.3348,,,3.323e-10
271.888,,,9.973e-10
272.1446,,,4.227e-10
272.6846,,,6.570e-10
273.1105,,,1.505e-9
274.1044,,,3.239e-10
275.6885,,,2.517e-9
277.5219,,,3.183e-10
278.549,,,4.065e-10
279.7378,,,1.365e-10
281.7572,,1.722e-1,
281.8287,,,6.164e-10
282.2058,,,6.073e-10
283.0614,,,4.558e-10
284.7702,,,7.674e-10
285.5994,,,1.220e-8
286.3511,,,1.653e-8
286.3524,,,7.342e-10
287.1957,,,8.627e-9
288.1013,,,2.214e-9
289.6698,,,1.564e-9
290.427,,,1.457e-9
290.9499,,,1.033e-8
291.0811,,,1.599e-9
292.5322,,,6.767e-10
292.6126,,,5.884e-9
293.4516,,,2.043e-9
294.833,,,1.783e-9
295.0222,,,3.950e-9
295.2885,,,3.433e-9
296.1823,,,1.324e-9
296.4776,,,7.059e-9
298.5989,,,1.266e-9
324.7562,,,6.668e-10
327.2231,,4.559e-2,
330.5173,,,6.947e-9
331.4474,,1.208e-1,
332.3984,,,3.785e-8
332.4854,,,1.259e-7
336.715,,,3.588e-8
336.9457,,,3.095e-8
337.0351,,,4.208e-8
338.7092,,,3.920e-8
349.728,,,1.016e-7
349.9176,,,4.874e-10
354.9699,,,1.395e-9
359.4445,,1.846e-1,
359.5979,,5.331e-1,
361.6767,,3.551e-2,
363.199,,,1.119e-7
365.656,,,9.879e-9
366.1942,,,2.845e-8
366.9037,,3.357e-1,
367.2124,,2.193e-1,
370.9338,,,8.418e-8
371.7717,,,6.950e-8
373.0631,,3.794e-2,
373.5366,,2.709e-3,
373.641,,2.699e-3,
374.116,,2.428e-2,
374.7855,,,4.069e-8
375.0713,,,1.971e-8
378.3143,,3.488e-2,
379.2456,,1.031e-2,
380.2605,,5.088e-2,
380.9646,,5.303e-2,
381.9887,,1.675e-2,
383.7726,,,1.478e-8
383.8268,,,4.419e-8
385.0909,,5.801e-2,
385.307,,8.990e-2,
386.013,,1.986e-2,
386.0598,,5.582e-2,
389.2288,,1.354e-1,
392.3445,,4.139e-1,
392.8556,,,4.033e-8
393.1911,,1.633e-1,
393.2289,,1.190e-1,
393.3264,,5.198e-1,
393.9481,,2.972e-2,
394.6955,,3.090e-2,
395.04,,4.119e-2,
396.3104,,4.755e-2,
397.0198,,3.358e-2,
397.0667,,3.090e-2,
397.9825,,8.250e-2,
398.3723,,,2.087e-8
398.5924,,,1.150e-8
399.0908,,1.030e-1,
399.3499,,2.251e-1,
399.8759,,1.675e-1,
400.3874,,4.161e-2,
400.9373,,2.897e-2,
402.875,,1.969e-1,
403.2768,,2.578e-1,
405.0078,,3.237e-2,
414.2259,,3.929e-1,
414.506,,6.137e-1,
415.3068,,8.858e-1,
416.2305,,6.934e-2,
416.2665,,1.225e+0,
416.51,,6.367e-2,
416.8363,,1.537e-2,
416.8384,,1.525e-1,
417.4002,,2.133e-1,
417.4265,,3.015e-1,
418.5929,,2.724e-2,
418.9593,,1.503e-2,
418.9681,,1.943e-1,
419.1891,,3.023e-3,
419.3486,,3.957e-2,
421.7182,,1.462e-1,
423.0946,,1.176e-1,
424.9877,,5.890e-3,
425.3499,,,1.188e-7
425.7379,,8.176e-2,
425.9146,,1.524e-1,
426.7762,,3.531e-1,
426.9725,,1.387e-1,
427.8506,,1.395e-1,
428.2593,,1.763e-1,
428.4904,,,5.738e-8
429.1427,,2.791e-2,
429.4402,,6.562e-1,
431.8643,,1.442e-1,
433.2653,,,2.721e-8
433.383,,1.625e-2,
434.0211,,,1.626e-8
436.1468,,,2.355e-8
436.4661,,,1.380e-8
439.182,,6.251e-2,
440.4725,,7.091e-3,
441.1306,,1.416e-2,
443.1005,,3.470e-2,
443.2368,,8.001e-2,
443.7665,,6.942e-3,
445.6382,,6.707e-2,
446.3581,,2.071e-1,
448.3427,,8.553e-2,
448.6634,,9.418e-2,
452.4675,,9.486e-2,
452.4941,,5.698e-1,
455.241,,3.303e-1,
464.8155,,5.597e-2,
465.6757,,3.530e-1,
466.8564,,7.916e-2,
470.0204,,1.953e-2,
471.6271,,1.000e+0,
472.9442,,6.251e-2,
475.3986,,5.322e-3,
475.5092,,7.451e-2,
476.3375,,4.765e-2,
476.4485,,5.294e-3,
479.2007,,1.446e-1,
481.5552,,2.601e+0,
481.9445,,6.346e-2,
481.9626,,1.067e-1,
482.4059,,1.767e-1,
483.5846,,1.987e-2,
488.5648,,3.416e-1,
490.0513,,6.422e-2,
490.1277,,6.622e-2,
490.2426,,1.056e-1,
491.7198,,6.826e-1,
492.411,,1.085e+0,
492.5343,,1.529e+0,
