Ritz wavelength (nm),Sc I (1.4e-02),Sc II (9.4e-01),Sc III (4.2e-02)
188.0604,,3.834e+4,
189.5441,,,1.672e+0
191.262,,,3.233e+0
199.3886,,,1.448e+1
201.042,,,2.527e+1
201.2255,,,2.772e+0
206.4256,,2.114e+3,
206.8041,,1.186e+3,
211.28467,1.628e+1,,
211.66505,6.855e+1,,
211.8853,,,2.190e-4
212.03916,1.017e+2,,
223.2905,,5.982e+3,
226.2292,2.898e+1,,
226.65935,1.212e+2,,
227.09438,2.298e+2,,
227.311,,5.905e+4,
228.08321,2.194e+2,,
228.96266,3.213e+1,,
231.12912,3.451e+1,,
231.56881,1.417e+2,,
232.03226,2.020e+2,,
232.81826,4.026e+1,,
233.46709,5.033e+1,,
233.51615,4.180e+1,,
234.6035,7.735e+1,,
242.91948,2.053e+2,,
243.86319,2.291e+2,,
254.5203,,3.891e+4,
255.2354,,2.150e+5,
255.5795,,4.144e+4,
256.0228,,1.207e+5,
256.319,,5.481e+4,
261.1186,,9.620e+3,
263.9546,,,6.654e-4
266.691,,,9.928e-4
266.7705,,1.441e+3,
267.8722,,,1.735e-3
269.2773,9.656e+1,,
269.9066,,,2.499e+3
270.67371,3.808e+2,,
270.79261,1.796e+2,,
271.13385,5.819e+2,,
273.4048,,,1.275e+3
273.5564,,3.396e+3,
274.6376,,2.395e+3,
278.2297,,6.428e+3,
278.9145,,8.921e+3,
280.13,,1.135e+4,
281.9499,,1.137e+4,
282.2125,,1.716e+4,
282.6633,,2.445e+4,
287.0842,,2.787e+3,
291.2979,,4.719e+3,
296.58737,2.062e+2,,
297.40058,1.020e+3,,
297.9669,,5.247e+3,
298.07606,1.484e+3,,
298.8926,,3.234e+4,
298.89747,1.279e+2,,
301.53689,2.296e+3,,
301.93531,3.363e+3,,
303.07581,2.944e+2,,
303.9917,,2.473e+4,
304.5716,,3.745e+4,
305.2919,,5.078e+4,
306.0518,,3.053e+3,
306.5111,,6.248e+4,
307.5357,,3.238e+3,
310.7512,,7.372e+3,
312.8269,,8.700e+3,
313.3086,,1.364e+4,
313.9721,,2.209e+4,
319.0981,,4.342e+3,
319.9331,,7.500e+3,
325.56797,8.507e+2,,
326.98999,4.230e+3,,
327.36267,7.470e+3,,
331.1698,,6.973e+3,
331.2721,,1.262e+4,
331.7026,,2.976e+3,
332.0402,,7.329e+3,
333.1048,,1.010e+4,
334.3233,,1.531e+4,
335.3724,,4.896e+5,
335.9678,,6.842e+4,
336.1265,,6.528e+4,
336.1931,,7.493e+4,
336.8936,,1.593e+5,
337.2148,,3.136e+5,
337.3522,,3.970e+3,
337.8195,,5.555e+3,
337.9154,,1.072e+4,
337.9378,,1.016e+4,
353.5714,,1.025e+5,
355.8532,,1.635e+5,
356.7696,,1.386e+5,
357.2526,,7.521e+5,
357.634,,4.198e+5,
358.0641,,6.401e+3,
358.0925,,2.961e+5,
