Ritz wavelength (nm),Si I (1.1e-01),Si II (8.9e-01),Si III (7.3e-04)
180.3018,,,7.735e-7
180.4349,,,5.059e-9
180.8013,,1.605e+3,
180.9105,1.994e+3,,
181.4079,3.421e+3,,
181.6928,,2.507e+3,
181.7451,,2.041e+2,
183.651,6.545e+2,,
183.8466,,,2.138e-8
183.9585,,,6.414e-8
184.1152,4.618e+2,,
184.1449,1.834e+3,,
184.2064,,,1.060e-7
184.2548,,,2.036e-4
184.377,1.031e+3,,
184.552,5.255e+3,,
184.6112,5.878e+2,,
184.7474,1.212e+4,,
184.815,3.847e+3,,
184.8748,1.207e+3,,
185.0672,2.206e+4,,
185.2472,3.848e+3,,
185.3152,2.477e+2,,
185.607,,,5.873e-8
187.4842,1.703e+3,,
188.1854,4.041e+2,,
188.8242,,,2.677e-9
188.8254,,,3.976e-9
188.8283,,,5.751e-9
190.1338,4.071e+3,,
193.2275,,,1.657e-8
195.3968,,,1.554e-8
196.4862,,,7.747e-9
196.8839,,,1.010e-8
197.4145,,,1.307e-8
197.7598,1.367e+3,,
197.9205,1.413e+3,,
197.9233,,,4.292e-9
198.0618,1.014e+3,,
198.3233,1.795e+3,,
198.6364,1.788e+3,,
198.8994,5.417e+3,,
199.321,,,1.761e-9
199.6908,,,2.597e-9
200.1072,,,3.725e-9
200.495,,4.392e-1,
200.914,,,4.586e-9
200.9899,,,1.806e-9
201.492,,1.578e+0,
201.666,,3.249e+0,
204.9903,,,1.516e-7
205.8133,2.034e+3,,
206.2207,,2.016e+0,
207.2015,,2.297e+2,
207.2695,,1.627e+1,
207.27,,3.190e+2,
207.5028,,,7.645e-9
207.5042,,,1.133e-8
207.5052,,,1.426e-9
207.5082,,,1.640e-8
207.5094,,,1.421e-9
212.299,1.233e+3,,
212.4122,2.401e+4,,
217.0396,,,5.050e-9
217.1559,,,1.172e-8
217.5933,,,5.147e-9
217.6901,,,5.790e-8
218.0839,,,4.085e-8
218.2066,,,2.807e-8
219.1939,,,1.501e-9
220.7978,2.473e+3,,
221.0892,5.432e+3,,
221.1745,1.709e+3,,
221.6669,9.944e+3,,
221.8057,1.711e+3,,
222.2031,,,1.495e-8
222.222,,,7.114e-10
222.5248,,4.160e+0,
223.2507,,2.092e+0,
224.9199,,,7.141e-10
229.5477,,,2.975e-8
230.3058,6.141e+3,,
230.6424,,,3.157e-9
230.8188,,,5.003e-8
230.853,,4.781e-1,
231.173,,9.848e+0,
232.9945,,,5.100e-9
241.8281,,,5.140e-9
242.3049,,,7.543e-9
