Ritz wavelength (nm),Sn I (5.3e-02),Sn II (9.4e-01)
181.12009,,5.160e+4
183.17472,,1.277e+4
189.98812,,2.072e+5
215.15136,,2.828e+3
219.93456,2.297e+3,
220.96595,3.672e+3,
224.60563,1.054e+4,
226.89296,1.275e+4,
228.66814,2.455e+3,
231.723,1.252e+4,
233.4812,4.349e+3,
235.485,1.953e+4,
238.07403,3.772e+2,
240.81506,5.911e+2,
242.16941,1.972e+4,
242.94948,2.287e+4,
244.89089,,3.531e+2
248.34098,2.555e+3,
248.69665,,5.005e+2
249.16991,2.298e+2,
249.5724,4.065e+3,
252.39066,3.077e+2,
254.65485,2.654e+3,
255.80944,5.230e+2,
257.1594,4.782e+3,
259.44206,2.376e+3,
263.69922,1.956e+2,
266.12432,1.390e+3,
270.65047,1.503e+4,
277.98114,2.745e+3,
278.50257,9.225e+2,
278.79204,3.211e+2,
281.25597,5.485e+2,
281.35824,1.379e+3,
283.99769,3.870e+4,
285.062,4.015e+3,
286.33166,1.169e+4,
291.35605,2.306e+3,
300.91335,8.227e+3,
303.27782,2.036e+3,
303.41148,1.493e+4,
314.18232,7.190e+2,
317.50348,2.165e+4,
326.23305,3.412e+4,
328.31399,,3.394e+3
333.06073,4.553e+3,
335.19538,,4.848e+3
357.53255,,2.538e+2
380.10104,6.062e+3,
452.47334,3.285e+3,
533.23391,,1.171e+3
556.19094,,1.978e+3
558.88153,,1.557e+3
563.16738,5.196e+2,
579.88578,,2.051e+3
597.02927,1.645e+2,
603.76046,1.461e+2,
607.76304,,1.170e+2
607.97742,,9.010e+1
645.35421,,7.588e+3
684.41863,,3.629e+3
905.8886,,5.763e+2
906.3649,,4.407e+2
