Ritz wavelength (nm),Sr I (1.1e-02),Sr II (7.9e-01)
201.8657,,5.474e+2
205.1869,,1.095e+3
215.285,,1.474e+5
216.5928,,1.049e+4
216.5989,,2.107e+5
225.32588,4.466e+1,
227.5221,8.401e+1,
228.20004,,1.538e+4
230.7264,1.579e+2,
232.2356,,2.516e+4
232.45313,,2.779e+3
235.4319,2.751e+2,
242.35705,,3.053e+3
242.80949,3.049e+2,
247.15967,,6.107e+3
256.94711,1.259e+2,
330.17324,6.922e+2,
346.44531,,4.979e+5
347.48891,,5.520e+4
407.77094,,5.404e+6
416.17918,,7.000e+4
421.55193,,2.707e+6
425.2939,2.368e+2,
430.5443,,1.508e+5
431.3157,1.785e+2,
432.64449,8.849e+1,
436.1711,2.769e+2,
440.6009,4.084e+2,
441.484,,7.644e+2
443.8043,4.424e+2,
448.0545,2.904e+2,
460.7333,4.032e+4,
467.829,7.617e+2,
472.22769,2.128e+3,
474.19221,1.431e+3,
475.5508,3.767e+2,
478.43198,1.101e+3,
481.18799,5.319e+3,
483.20425,1.271e+3,
485.50448,1.062e+3,
486.87005,1.921e+3,
486.91724,3.027e+2,
487.249,3.076e+3,
487.60745,1.013e+3,
489.198,2.759e+3,
489.2642,2.429e+2,
496.2263,5.493e+3,
496.7942,8.203e+2,
515.604,1.384e+3,
521.29787,9.138e+1,
522.21992,9.853e+2,
522.92697,1.092e+3,
523.85479,2.115e+3,
525.68986,3.896e+3,
530.311,,1.460e+3
532.9811,4.038e+2,
537.913,,2.529e+3
545.08373,1.090e+3,
548.08638,5.857e+3,
548.6135,8.284e+2,
550.4181,2.924e+3,
552.1768,2.077e+3,
553.4799,1.229e+3,
554.005,9.361e+2,
581.938,,6.386e+2
634.57265,1.533e+2,
636.3906,1.641e+2,
636.9918,2.667e+2,
638.0729,3.865e+2,
638.64581,8.028e+2,
638.8201,6.211e+2,
640.8463,3.174e+3,
644.66536,1.115e+2,
650.3992,2.143e+3,
654.6788,4.072e+2,
655.0244,4.485e+3,
661.72651,1.275e+3,
664.35372,3.505e+2,
679.10198,7.185e+2,
687.83128,2.180e+3,
707.0072,3.391e+3,
716.7142,4.053e+2,
723.2128,4.379e+2,
730.94166,2.898e+3,
762.14999,6.214e+2,
767.3077,4.387e+2,
868.93,,1.521e+4
871.983,,1.853e+3
