Ritz wavelength (nm),Ta I (3.7e-02)
252.6351,7.317e+2
255.1097,5.155e+2
277.5881,1.167e+3
289.1837,1.128e+3
291.4109,3.918e+2
302.7474,6.082e+2
312.7865,3.055e+1
316.8265,2.255e+1
317.029,4.897e+2
320.5471,3.433e+1
326.0143,2.434e+1
331.7915,3.346e+2
333.7791,7.074e+1
338.3834,1.992e+1
340.6937,5.041e+2
341.9714,1.171e+2
346.377,2.062e+2
348.4621,4.556e+1
348.8847,3.063e+1
349.7845,4.133e+2
350.3868,4.364e+2
350.4961,1.366e+2
351.1019,3.126e+2
355.3418,2.842e+1
360.7405,4.367e+2
362.5215,6.314e+1
362.661,6.690e+2
364.205,5.138e+2
365.7491,3.188e+1
373.1012,5.390e+1
375.4515,5.505e+1
378.4246,2.159e+2
379.2019,6.436e+1
382.6844,4.479e+1
383.6611,4.544e+1
384.8037,9.713e+1
385.8572,2.356e+1
391.8518,9.736e+1
392.2769,1.496e+2
399.6165,1.337e+2
399.928,7.305e+1
400.3688,2.625e+1
400.6825,1.010e+2
402.6936,1.468e+2
402.9928,1.613e+2
403.0675,3.053e+1
404.0866,9.541e+1
406.1377,2.727e+2
406.4595,1.607e+2
406.7211,4.729e+1
406.789,1.169e+2
409.7177,2.386e+1
410.5012,8.081e+1
413.6201,1.568e+2
414.7879,1.688e+2
417.5179,1.686e+2
420.589,1.343e+2
430.295,1.044e+2
437.881,4.881e+1
438.606,8.106e+1
439.844,4.024e+1
440.25,1.222e+2
441.574,1.356e+2
444.104,3.766e+1
444.173,5.517e+1
447.351,1.016e+2
451.097,2.807e+2
451.146,4.320e+1
451.418,1.786e+1
452.108,3.470e+1
453.08,2.084e+2
454.715,2.840e+1
455.368,5.823e+1
456.585,1.868e+2
457.432,1.538e+2
458.069,1.979e+1
461.951,2.161e+2
463.304,4.622e+1
466.914,1.196e+2
468.187,2.365e+2
468.485,3.653e+1
468.527,2.862e+1
469.19,1.629e+2
470.609,7.029e+1
474.014,1.996e+2
475.804,4.019e+1
476.898,1.686e+2
478.092,1.614e+2
481.275,1.717e+2
482.542,1.409e+2
483.217,7.133e+1
485.215,6.200e+1
488.395,1.047e+2
490.456,1.123e+2
492.09,2.386e+1
492.127,8.439e+1
492.6,1.094e+2
493.641,2.259e+2
496.975,3.992e+1
501.253,7.666e+1
503.732,2.697e+2
504.331,1.090e+2
506.787,1.565e+2
506.988,1.560e+1
508.223,2.509e+1
508.737,6.117e+1
509.073,7.043e+1
509.522,2.511e+1
513.647,1.788e+2
514.162,4.768e+1
514.369,9.005e+1
514.762,3.776e+1
516.181,4.671e+1
521.843,1.798e+1
521.867,6.453e+1
523.539,2.519e+1
529.501,6.460e+1
533.612,4.110e+1
534.956,8.079e+1
535.466,5.686e+1
539.597,3.000e+1
540.252,1.279e+2
543.527,7.933e+1
549.945,5.748e+1
550.566,1.637e+1
551.89,2.189e+2
554.517,1.223e+1
562.07,6.816e+1
563.57,1.930e+1
564.019,4.150e+1
564.591,1.899e+2
569.924,4.271e+1
571.656,9.525e+0
576.654,2.086e+1
576.791,3.618e+1
578.069,5.135e+1
581.11,1.165e+2
584.965,3.300e+1
587.735,3.045e+2
591.651,2.626e+1
593.062,1.028e+1
593.975,1.113e+2
594.403,2.166e+2
599.723,2.727e+2
602.072,7.366e+1
604.538,3.156e+2
604.724,1.195e+2
614.453,3.228e+1
624.982,2.754e+1
625.872,2.023e+1
628.792,2.584e+1
628.931,2.560e+1
630.958,1.861e+2
632.51,4.253e+1
633.291,1.726e+1
634.598,1.510e+1
636.085,6.150e+1
638.942,4.589e+2
639.217,1.460e+1
642.862,6.101e+1
643.08,3.456e+2
645.038,3.319e+2
645.583,1.268e+1
648.531,7.698e+2
650.547,1.945e+2
651.439,1.495e+2
651.613,1.739e+2
661.19,1.345e+2
662.126,6.190e+1
667.37,7.873e+1
670.638,1.477e+1
675.585,9.596e+0
677.172,5.030e+1
678.897,2.843e+1
679.927,4.291e+0
686.51,5.961e+0
686.624,2.624e+2
692.74,1.817e+2
692.849,2.028e+2
695.123,5.582e+1
695.389,6.202e+1
696.615,1.684e+2
696.948,1.671e+1
703.148,1.644e+1
708.539,7.314e+0
709.302,1.674e+1
725.026,2.869e+1
731.985,1.198e+1
732.264,1.725e+1
740.789,1.776e+2
746.772,2.225e+1
802.65,3.127e+1
803.908,8.811e+0
806.906,2.400e+1
824.893,1.012e+1
826.486,1.626e+1
841.572,6.629e+0
