Ritz wavelength (nm),Ti I (1.8e-02),Ti II (9.6e-01),Ti III (2.1e-02)
191.061231,,1.195e+4,
191.09538,,1.127e+4,
194.851,,,5.279e+0
200.7357,,,7.397e-2
200.7586,,,2.611e-2
201.0801,,,1.175e-1
209.7301,,,2.160e-1
209.9856,,,1.190e-1
210.3625,,,2.665e-2
210.4852,,,3.185e-2
210.5104,,,4.923e-2
219.9216,,,1.491e-1
223.7762,,,1.756e-1
226.40181,1.067e+2,,
227.67016,4.348e+2,,
227.9967,4.318e+2,,
229.98591,2.490e+2,,
230.273678,2.838e+2,,
230.56742,3.263e+2,,
233.1346,,,1.497e+1
233.1655,,,1.254e+1
233.434,,,1.327e+1
233.8999,,,3.135e+1
234.6783,,,5.687e+1
237.499,,,2.933e+1
238.45193,5.247e+1,,
241.3987,,,7.073e+1
241.83617,5.639e+1,,
242.13047,8.426e+1,,
242.42502,1.388e+2,,
242.82157,5.172e+1,,
244.016464,,2.744e+3,
244.09841,7.440e+1,,
245.043467,,3.651e+3,
251.6066,,,1.505e+2
251.743139,,2.635e+3,
251.90245,3.402e+1,,
252.05415,1.319e+2,,
252.463894,,3.327e+3,
252.5603,,2.136e+4,
252.7985,5.470e+1,,
252.974783,,2.060e+3,
252.98707,2.191e+2,,
253.125172,,1.503e+4,
253.46194,,8.126e+3,
253.587019,,6.773e+3,
254.19177,3.459e+2,,
255.598614,,1.169e+4,
256.7556,,,3.917e+1
257.103221,,5.724e+3,
257.6463,,,1.567e+1
259.02538,4.254e+1,,
259.36407,6.418e+1,,
259.65865,8.123e+1,,
259.99146,4.503e+2,,
260.51403,5.953e+2,,
261.12878,7.535e+2,,
261.14701,2.218e+2,,
261.99389,1.953e+2,,
263.15336,1.658e+2,,
263.24164,1.925e+2,,
263.544765,,1.558e+3,
263.85639,,2.071e+3,
264.10953,7.818e+2,,
264.202702,,3.046e+3,
264.42632,9.979e+2,,
264.586532,,5.323e+3,
264.66344,1.463e+3,,
265.71879,3.337e+1,,
266.19653,9.358e+1,,
266.95929,1.341e+2,,
267.99208,2.112e+2,,
271.729709,,1.206e+3,
273.32525,5.546e+2,,
273.52863,2.435e+2,,
274.65423,,4.926e+3,
275.160617,,8.530e+3,
275.268469,,2.169e+3,
275.749927,,1.154e+3,
275.82567,,1.206e+3,
275.879645,,3.608e+2,
276.128656,,1.642e+3,
276.415711,,6.069e+2,
276.481497,,2.680e+3,
280.481965,,1.176e+4,
281.022863,,1.606e+4,
281.02987,,2.744e+3,
281.781443,,1.412e+4,
