Ritz wavelength (nm),Tm I (9.4e-03),Tm II (9.0e-01)
251.3778,3.929e+1,
252.702,8.945e+1,
252.7857,2.926e+1,
254.981,2.146e+1,
255.2766,2.353e+2,
258.3421,1.778e+1,
259.6491,1.214e+2,
260.1091,7.820e+1,
262.2464,4.728e+1,
284.1124,3.704e+1,
285.4166,1.938e+2,
291.4839,1.099e+2,
293.2967,1.017e+2,
297.3218,2.757e+2,
304.687,2.262e+2,
308.1124,2.573e+2,
312.2533,2.391e+2,
313.1255,,2.847e+5
317.2654,2.625e+2,
318.0563,4.776e+1,
323.374,9.532e+1,
324.6959,1.521e+2,
325.1782,6.548e+1,
327.17743,6.850e+1,
329.63046,9.583e+1,
332.49793,5.241e+1,
334.99881,3.952e+2,
336.2615,,1.454e+5
336.37843,5.066e+1,
338.0683,9.271e+1,
339.31868,2.071e+2,
339.78701,2.145e+2,
340.5972,8.872e+1,
341.0048,2.655e+2,
341.1895,4.855e+1,
341.2591,7.852e+2,
341.6586,1.157e+2,
341.76937,9.020e+1,
341.8626,1.924e+1,
342.508,,1.520e+5
342.9329,6.497e+2,
344.15,,9.485e+4
344.56658,7.343e+1,
344.7351,1.608e+2,
345.3667,,8.213e+4
346.2197,,2.117e+5
346.75097,3.207e+2,
347.66898,4.590e+2,
348.09732,3.133e+2,
348.73774,9.236e+2,
349.94441,7.994e+1,
351.31264,5.451e+1,
351.39948,9.250e+1,
351.9427,8.299e+1,
355.5816,4.781e+2,
356.387,1.711e+2,
356.735,1.208e+2,
356.98068,1.780e+2,
357.52903,1.134e+2,
357.56544,3.214e+1,
358.6067,5.976e+2,
360.43982,1.386e+1,
363.84113,5.834e+2,
364.67035,3.182e+2,
364.8855,4.864e+1,
367.50287,3.114e+1,
370.0256,,8.746e+4
370.1363,,6.347e+4
371.7918,5.271e+3,
374.40681,2.967e+3,
375.1812,6.563e+2,
375.98248,2.993e+1,
376.1333,,1.164e+5
376.1914,,8.278e+4
376.80669,4.054e+1,
379.13091,3.377e+1,
379.576,,1.280e+5
379.8541,6.515e+2,
380.208,1.186e+2,
380.3146,2.946e+1,
380.7721,3.844e+2,
382.63861,7.096e+1,
383.03906,1.122e+1,
384.0872,4.459e+2,
384.78304,1.188e+1,
384.802,,1.665e+5
386.308,2.427e+1,
388.12491,1.957e+1,
388.31312,2.683e+3,
388.73471,1.260e+3,
389.66168,7.548e+1,
391.6476,2.314e+3,
391.71475,3.641e+1,
392.14468,2.343e+1,
393.72847,3.981e+1,
394.9272,1.233e+3,
397.66787,6.389e+1,
402.4229,1.965e+2,
402.56146,7.406e+1,
402.63712,3.694e+1,
404.4473,1.699e+2,
405.58056,7.124e+1,
407.72181,4.202e+1,
409.41809,2.924e+3,
410.27318,1.632e+1,
410.58381,3.210e+3,
410.79289,9.011e+1,
412.54792,1.777e+1,
413.8331,5.470e+2,
413.83909,1.999e+2,
415.86,5.620e+1,
418.0903,1.145e+1,
418.76162,2.724e+3,
420.373,1.307e+3,
422.2673,2.308e+2,
424.215,,2.798e+4
426.0489,3.907e+1,
427.1709,1.004e+2,
429.8364,1.016e+2,
433.9626,1.302e+1,
434.1335,1.312e+1,
434.6482,5.718e+1,
435.9927,4.305e+2,
436.7238,2.795e+1,
436.8645,1.233e+1,
437.5135,1.494e+1,
438.6431,1.806e+2,
439.4421,7.749e+1,
439.5956,6.967e+1,
439.6496,3.599e+1,
439.9723,3.199e+1,
442.2305,2.119e+1,
442.5962,2.390e+1,
442.633,3.199e+1,
444.2734,7.910e+1,
444.7586,4.681e+1,
445.4038,1.542e+2,
446.608,2.035e+1,
446.7983,2.538e+1,
447.0016,1.449e+1,
451.6684,1.498e+1,
451.9649,4.250e+1,
451.9741,2.385e+1,
452.4821,4.250e+1,
453.2155,8.236e+1,
454.8597,1.771e+2,
456.4678,1.313e+2,
457.6613,2.358e+1,
459.9017,3.605e+1,
460.4851,5.420e+1,
461.3965,6.440e+1,
462.1716,5.458e+1,
462.6968,7.062e+1,
463.3951,6.310e+1,
467.5321,1.361e+2,
468.1921,6.764e+1,
468.511,4.769e+1,
468.6922,1.575e+1,
469.1113,5.218e+1,
470.1568,5.166e+1,
472.4263,1.881e+1,
473.3337,1.197e+2,
475.9908,1.024e+2,
480.7478,3.336e+1,
480.8679,4.289e+1,
481.3496,1.810e+1,
482.8963,2.819e+1,
483.5749,2.948e+1,
484.459,2.319e+1,
484.6884,2.286e+1,
485.1757,5.953e+1,
487.0365,5.636e+1,
487.9194,5.347e+1,
488.3677,5.024e+1,
488.7341,1.244e+1,
490.9736,3.654e+1,
491.7077,1.551e+1,
492.3825,1.981e+2,
492.773,5.047e+1,
494.8352,2.161e+1,
495.7172,3.918e+2,
497.1259,9.829e+1,
498.5129,3.602e+1,
502.112,2.181e+1,
504.3503,3.138e+1,
506.0898,2.837e+1,
506.667,2.452e+2,
507.1062,1.540e+1,
507.2422,8.623e+1,
507.352,3.393e+1,
510.7533,1.277e+2,
511.397,1.309e+1,
514.2883,6.883e+1,
519.911,3.708e+1,
521.337,1.270e+2,
521.8034,1.793e+1,
530.02,3.974e+1,
530.7116,2.155e+2,
531.227,2.433e+1,
532.3827,1.995e+1,
533.903,3.535e+1,
538.516,1.781e+1,
541.373,2.918e+1,
556.6,3.604e+1,
563.1404,7.431e+1,
567.5837,1.503e+2,
571.579,2.926e+1,
576.4292,3.729e+1,
589.5634,6.521e+1,
590.157,3.409e+1,
597.1263,1.514e+1,
