Ritz wavelength (nm),V I (2.1e-02),V II (9.7e-01),V III (1.1e-02)
180.56065,,9.213e+1,
180.59217,,2.669e+2,
180.649034,,3.619e+2,
181.21705,,2.910e+2,
181.59318,,1.979e+2,
182.28112,,1.590e+2,
183.03783,,1.329e+2,
183.357586,,2.154e+2,
183.88287,,3.556e+2,
183.89075,,2.311e+2,
185.09499,,3.030e+2,
186.14063,,2.438e+2,
186.237722,,1.479e+3,
186.7498,,1.513e+2,
186.945342,,4.308e+2,
186.949099,,1.054e+3,
187.109296,,3.230e+2,
187.339447,,1.731e+2,
187.445198,,3.139e+2,
187.605958,,8.729e+2,
187.647878,,4.816e+2,
187.701746,,2.518e+2,
187.889875,,1.392e+2,
188.400757,,6.980e+2,
188.589522,,2.479e+2,
190.52018,,7.997e+1,
190.78094,,3.684e+3,
190.80792,,4.254e+1,
190.835466,,1.989e+3,
190.85214,,5.705e+2,
190.937686,,7.345e+2,
191.11056,,4.355e+1,
191.19033,,9.587e+2,
191.240493,,1.152e+3,
191.25267,,3.992e+2,
191.31191,,4.376e+2,
191.372002,,9.546e+2,
191.45981,,1.652e+2,
191.49394,,3.138e+2,
191.93414,,8.758e+1,
191.9421,,8.958e+1,
192.48732,,7.258e+1,
192.963768,,1.186e+3,
193.745151,,1.057e+3,
193.872395,,4.249e+2,
194.087707,,1.128e+3,
194.128164,,9.863e+2,
194.139555,,1.192e+3,
194.237118,,8.319e+2,
194.53685,,2.962e+2,
194.564736,,6.753e+2,
197.262996,,1.293e+2,
197.662768,,4.277e+2,
197.897281,,1.518e+2,
198.005198,,5.119e+2,
198.059371,,3.449e+2,
200.114522,,1.940e+2,
200.145193,,1.239e+2,
200.165361,,2.468e+2,
200.478739,,2.811e+3,
200.688887,,1.380e+3,
200.765098,,2.154e+2,
201.11496,,2.294e+2,
201.418773,,2.266e+3,
201.420776,,7.126e+2,
201.49202,,1.458e+2,
201.502635,,1.727e+2,
201.55594,,2.904e+2,
201.56525,,2.782e+2,
201.57583,,1.331e+2,
201.650477,,3.222e+2,
201.655299,,3.112e+2,
202.356513,,1.771e+3,
205.484865,,7.711e+2,
205.734824,,3.531e+2,
205.834026,,4.927e+2,
206.2957,,5.068e+1,
206.57537,,6.317e+2,
206.67943,,5.496e+1,
206.878755,,6.760e+2,
207.24242,,2.360e+2,
207.486574,,2.810e+2,
207.6847,,8.601e+2,
207.75431,,4.110e+2,
207.77635,,6.183e+2,
209.03266,,2.925e+2,
209.536195,,2.417e+2,
209.593756,,2.256e+2,
209.914548,,1.269e+3,
210.117653,,1.894e+3,
210.352413,,9.008e+2,
210.368218,,2.422e+3,
210.46446,,2.447e+1,
210.73985,,3.059e+1,
211.10402,,1.159e+2,
211.403558,,4.552e+2,
