Ritz wavelength (nm),W I (4.7e-02),W II (9.5e-01),W III (2.7e-03)
185.079,,,2.159e+0
196.045,,,1.040e+0
198.4333,,,2.296e+0
198.6037,,,1.656e+1
198.8405,,,3.174e+0
200.1722,,,1.584e+1
202.5462,,,1.688e+0
202.5647,,,8.046e-1
203.0739,,,5.940e+0
204.08718,,3.836e+3,
204.7277,,,5.804e+0
204.963568,,1.477e+4,
207.8344,,,2.944e+1
207.911797,,9.055e+4,
209.2094,,,2.410e+1
209.2753,,,2.793e+1
209.475078,,3.954e+4,
210.067481,,1.153e+4,
210.618726,,1.243e+4,
211.2833,,,4.305e+0
211.3522,,,1.327e+1
211.887453,,1.296e+4,
212.157561,,3.294e+3,
216.3649,,,1.744e+0
216.3787,,,5.001e+0
216.99379,,3.144e+3,
218.222413,,5.630e+3,
218.936277,,8.375e+3,
219.344812,,4.635e+3,
219.452796,,6.412e+3,
222.5901,,2.180e+4,
224.519428,,1.103e+4,
224.875783,,4.325e+4,
225.073448,,1.326e+4,
227.022816,,8.305e+3,
227.7584,5.821e+2,,
229.4198,,,5.858e-1
230.381904,,1.835e+4,
231.3175,5.104e+2,,
232.6492,,,9.674e-1
232.831255,,6.426e+3,
233.37717,,7.042e+3,
234.797,1.805e+2,,
235.881659,,5.986e+3,
236.3068,1.069e+3,,
236.7692,2.159e+2,,
237.4468,1.198e+3,,
239.03701,,1.503e+4,
239.292809,,1.200e+4,
239.510062,,1.494e+3,
239.707924,,2.697e+4,
240.527291,,1.338e+3,
240.558,1.172e+3,,
242.4211,1.305e+3,,
242.749013,,1.054e+4,
242.9786,,,2.355e+0
243.1081,5.931e+2,,
243.3982,1.310e+3,,
243.5962,5.608e+3,,
244.4056,9.619e+2,,
245.14765,,6.554e+3,
245.1994,1.078e+3,,
245.4973,1.320e+3,,
245.5504,1.469e+3,,
245.6532,1.013e+3,,
245.9299,1.332e+3,,
246.4307,4.037e+2,,
246.652281,,1.239e+4,
246.6848,1.431e+3,,
247.2508,8.793e+2,,
247.415,2.389e+3,,
247.779535,,1.495e+4,
248.0128,9.324e+2,,
248.0658,6.679e+1,,
248.1439,3.685e+3,,
248.2096,2.855e+2,,
248.8769,,2.317e+4,
248.923102,,3.577e+4,
248.98957,,1.100e+3,
249.5264,9.611e+2,,
249.663635,,6.280e+3,
250.47,6.667e+2,,
250.6026,3.267e+2,,
250.7596,,,1.525e+0
250.8737,4.015e+2,,
251.814217,,3.530e+3,
252.204068,,1.021e+4,
252.3409,1.043e+3,,
253.3637,4.321e+2,,
254.1696,8.560e+1,,
254.5342,6.196e+2,,
254.7139,1.935e+3,,
254.909657,,9.527e+2,
