Ritz wavelength (nm),Xe I (4.1e-01),Xe II (5.9e-01)
396.75405,1.597e+1,
433.052,,6.449e+0
441.482,,5.954e+0
450.0979,2.731e+1,
460.304,,2.203e+1
462.4276,8.119e+1,
467.1226,1.202e+2,
469.7021,2.574e+1,
473.4152,4.365e+1,
480.7019,2.824e+1,
484.3293,2.355e+1,
484.432,,8.658e+1
487.649,,6.524e+0
491.6506,3.346e+1,
492.3151,3.406e+1,
526.044,,2.650e+0
526.198,,3.495e+0
529.221,,6.524e+1
537.239,,1.403e+1
541.914,,3.748e+1
543.897,,5.764e+0
547.261,,7.792e+0
553.106,,5.320e+0
571.96,,3.688e+0
597.642,,1.397e+1
603.619,,5.498e+0
605.115,,1.246e+1
609.757,,1.297e+1
611.1949,1.106e+1,
619.8256,1.235e+1,
627.086,,1.622e+0
627.754,,2.639e+0
648.7765,1.923e+1,
653.3156,1.153e+1,
666.6963,2.058e+1,
680.572,,1.122e+0
686.6842,1.882e+1,
688.2154,1.676e+2,
697.6182,5.432e+1,
699.088,,2.125e+1
704.7366,1.197e+1,
711.9598,3.180e+2,
728.5302,8.365e+1,
738.6004,3.225e+1,
739.3794,1.391e+2,
742.4037,1.759e+1,
744.1938,1.351e+1,
764.2023,3.928e+2,
780.2649,3.474e+1,
788.7393,2.031e+2,
796.7338,6.795e+1,
806.1339,6.683e+1,
820.6335,4.183e+2,
823.1634,3.106e+3,
826.652,3.030e+2,
828.0117,7.163e+2,
834.6823,1.328e+3,
834.746,2.255e+1,
840.9191,2.058e+2,
857.6022,3.475e+1,
862.4216,2.735e+1,
864.8504,4.797e+1,
869.2162,3.624e+1,
881.941,5.043e+3,
893.0837,4.601e+2,
895.2251,8.797e+2,
895.2787,2.448e+1,
904.5448,1.542e+3,
916.2653,1.614e+3,
930.6622,9.290e+1,
