Ritz wavelength (nm),Y I (1.1e-02),Y II (9.0e-01)
294.84025,5.176e+2,
297.45861,7.966e+2,
298.425284,1.369e+3,
299.525466,7.415e+1,
299.6943,1.961e+2,
300.52598,7.399e+1,
302.228076,1.494e+2,
304.536308,2.498e+2,
317.9416,,1.013e+4
319.56132,,1.344e+5
320.02691,,1.286e+5
320.33203,,1.523e+5
321.668,,3.328e+5
324.22725,,5.439e+5
344.88056,,1.098e+4
349.60797,,8.863e+4
351.05176,1.259e+1,
354.90027,,2.195e+5
355.26902,6.777e+2,
357.60514,9.141e+1,
358.45156,,1.665e+5
360.07325,,7.573e+5
360.19155,,2.844e+5
361.1043,,4.329e+5
362.09363,6.955e+3,
362.8702,,8.355e+4
363.31212,,3.774e+5
366.46107,,1.540e+5
369.25229,4.266e+1,
371.02873,,1.203e+6
374.75523,,5.805e+4
377.43299,,7.436e+5
377.65573,,6.967e+4
378.86936,,4.012e+5
381.83414,,4.864e+4
383.28908,,1.994e+5
387.82868,,1.419e+4
391.81682,4.666e+1,
395.03494,,1.594e+5
398.2592,,1.554e+5
398.97799,7.830e+1,
403.98222,7.605e+2,
407.736,7.753e+3,
408.37033,1.170e+3,
408.62186,1.234e+1,
410.23691,1.128e+4,
412.49058,,1.190e+4
412.829876,1.059e+4,
414.28358,7.768e+3,
416.750671,1.676e+3,
417.41339,1.450e+3,
417.75296,,2.658e+5
420.4694,,1.011e+4
423.25415,3.145e+1,
423.5728,,1.602e+4
423.5934,1.466e+3,
430.9622,,8.873e+4
431.78625,2.359e+1,
435.8724,,2.562e+4
436.60258,2.861e+2,
437.4933,,5.733e+5
437.93265,1.149e+2,
438.54726,9.727e+1,
439.4008,5.584e+1,
439.801,,5.312e+4
441.74311,5.032e+1,
442.2585,,2.933e+4
443.73401,1.946e+2,
444.36502,2.978e+2,
447.69471,6.156e+2,
447.74436,5.053e+2,
448.44371,8.441e+1,
448.72741,4.692e+2,
448.74634,1.180e+3,
449.17366,8.483e+1,
450.59441,1.590e+3,
451.35737,2.326e+2,
451.40066,4.679e+2,
452.77815,1.938e+3,
453.40865,6.918e+1,
454.43068,5.744e+2,
455.93627,3.696e+2,
456.49314,5.366e+1,
458.1324,1.440e+2,
458.177,8.463e+1,
458.2161,8.825e+1,
459.65271,2.988e+2,
460.4793,3.500e+2,
461.29898,1.615e+2,
464.36881,1.821e+3,
465.37837,2.186e+2,
465.83188,9.542e+2,
467.48486,1.710e+3,
468.2324,,1.298e+4
468.97666,4.749e+2,
469.45524,1.624e+1,
470.88512,9.756e+1,
472.58421,1.342e+2,
473.22799,2.418e+2,
475.2787,7.100e+2,
476.09753,3.542e+2,
476.29523,3.696e+1,
478.01647,8.382e+1,
478.10305,4.543e+2,
478.6577,,1.152e+4
478.68762,9.438e+2,
479.92999,5.848e+2,
480.43103,2.493e+2,
480.48008,3.827e+2,
481.96372,4.541e+2,
482.16251,1.720e+2,
482.21191,8.449e+2,
482.3304,,1.831e+4
483.91453,3.364e+2,
483.9861,3.868e+3,
484.56655,2.533e+3,
485.26766,1.811e+3,
485.4861,,9.904e+4
485.67126,3.356e+2,
485.98428,1.429e+3,
488.3682,,2.579e+5
488.66389,2.577e+2,
489.34376,4.345e+2,
490.00844,5.691e+2,
490.0119,,1.873e+5
490.61075,4.470e+2,
492.6328,8.907e+1,
494.85552,8.151e+1,
495.00055,3.306e+1,
507.01887,2.044e+2,
508.7419,,1.523e+5
512.3211,,3.774e+4
520.041,,6.620e+4
520.5723,,1.075e+5
522.85293,7.707e+1,
538.06294,4.653e+2,
539.0812,6.055e+1,
542.4361,5.074e+2,
546.62434,1.659e+2,
546.6464,4.633e+3,
546.84698,8.554e+2,
547.3385,,1.152e+4
548.073,,1.246e+4
549.3149,2.875e+2,
549.55813,2.861e+2,
549.7406,,3.081e+4
550.3466,1.830e+3,
550.9895,,2.431e+4
551.3647,5.386e+2,
552.16952,4.965e+2,
552.75472,3.447e+3,
554.16302,1.541e+2,
554.45051,3.012e+2,
554.4612,,9.709e+3
554.6009,,9.509e+3
555.09989,9.727e+1,
555.64185,3.475e+2,
556.77598,4.256e+2,
557.74153,1.180e+3,
558.10767,1.614e+2,
559.09526,1.144e+2,
559.41243,1.432e+2,
560.63348,3.703e+2,
563.01301,1.873e+3,
563.29072,1.076e+2,
567.52677,3.538e+2,
567.56411,9.505e+1,
569.36325,1.551e+2,
570.67133,8.892e+2,
571.49454,4.762e+1,
572.8887,,8.305e+3
573.20899,1.587e+2,
576.56561,5.216e+2,
578.77013,4.811e+1,
582.18374,1.027e+2,
583.22494,8.770e+1,
587.99297,6.788e+1,
590.29106,1.215e+2,
594.99872,9.004e+1,
598.18794,1.118e+2,
600.9184,5.631e+2,
608.79405,1.722e+2,
619.1718,6.048e+2,
622.2578,1.155e+2,
640.20062,3.550e+1,
643.50036,8.167e+2,
643.7169,1.403e+2,
644.38455,6.264e+1,
653.85696,5.496e+2,
670.07022,3.393e+2,
681.51454,1.032e+2,
684.51939,2.223e+2,
700.98807,6.950e+1,
703.51507,9.952e+1,
705.41891,6.389e+1,
788.1881,,2.903e+4
